SymbolA,SymbolB
ENSG00000196839,ENSG00000196604
ENSG00000165626,ENSG00000167526
ENSG00000165626,ENSG00000162521
ENSG00000165626,ENSG00000130255
ENSG00000165626,ENSG00000174444
ENSG00000165626,ENSG00000149273
ENSG00000165626,ENSG00000108561
ENSG00000165626,ENSG00000134569
ENSG00000165626,ENSG00000114030
ENSG00000205089,ENSG00000109971
ENSG00000205089,ENSG00000138709
ENSG00000205089,ENSG00000164885
ENSG00000105383,ENSG00000133195
ENSG00000105383,ENSG00000162735
ENSG00000105383,ENSG00000160014
ENSG00000105383,ENSG00000148444
ENSG00000108591,ENSG00000109971
ENSG00000108591,ENSG00000111832
ENSG00000108591,ENSG00000156711
ENSG00000177558,ENSG00000028116
ENSG00000177558,ENSG00000127022
ENSG00000177558,ENSG00000044574
ENSG00000177558,ENSG00000005206
ENSG00000177558,ENSG00000169100
ENSG00000177558,ENSG00000125691
ENSG00000177558,ENSG00000167552
ENSG00000177558,ENSG00000167553
ENSG00000177558,ENSG00000057252
ENSG00000177558,ENSG00000130150
ENSG00000101323,ENSG00000069424
ENSG00000133265,ENSG00000109971
ENSG00000133265,ENSG00000196604
ENSG00000133265,C10orf137
ENSG00000133265,ENSG00000076685
ENSG00000133265,ENSG00000109381
ENSG00000100364,ENSG00000134308
ENSG00000100364,ENSG00000166913
ENSG00000100364,ENSG00000175793
ENSG00000100364,ENSG00000170027
ENSG00000100364,ENSG00000108953
ENSG00000100364,ENSG00000164924
ENSG00000100364,ENSG00000128245
ENSG00000100364,ENSG00000101391
ENSG00000100364,ENSG00000178502
ENSG00000100364,ENSG00000197548
ENSG00000100364,ENSG00000165392
ENSG00000100364,ENSG00000068903
KIAA1967,ENSG00000109971
KIAA1967,ENSG00000069424
KIAA1967,ENSG00000101323
KIAA1967,ENSG00000143702
KIAA1967,ENSG00000258947
KIAA1967,ENSG00000261456
KIAA1967,ENSG00000171444
ENSG00000123684,ENSG00000196604
ENSG00000123684,ENSG00000169067
ENSG00000168904,ENSG00000144381
ENSG00000168904,ENSG00000282100
ENSG00000168904,ENSG00000109971
ENSG00000168904,ENSG00000204390
ENSG00000168904,ENSG00000166266
ENSG00000168904,ENSG00000165416
ENSG00000168904,ENSG00000110497
ENSG00000124260,ENSG00000108773
ENSG00000124260,ENSG00000114166
ENSG00000124260,ENSG00000140396
ENSG00000124260,CSRP2BP
ENSG00000124260,ENSG00000163872
ENSG00000124260,ENSG00000267978
ENSG00000124260,ENSG00000196604
ENSG00000124260,ENSG00000075624
ENSG00000124260,ENSG00000257923
ENSG00000124260,ANKRD32
ENSG00000124260,ENSG00000172943
ENSG00000124260,ENSG00000119042
ENSG00000124260,ENSG00000180530
ENSG00000124260,ENSG00000036549
ENSG00000124260,ENSG00000198034
ENSG00000124260,ENSG00000060749
ENSG00000124260,ENSG00000104626
ENSG00000124260,ENSG00000167987
ENSG00000124260,ENSG00000065970
ENSG00000124260,PES 1.00
ENSG00000124260,ENSG00000171148
ENSG00000124260,ENSG00000204856
ENSG00000124260,ENSG00000123143
ENSG00000124260,ENSG00000143190
ENSG00000124260,ENSG00000173581
ENSG00000124260,ENSG00000204536
ENSG00000124260,ENSG00000140577
ENSG00000124260,ENSG00000163159
ENSG00000156711,ENSG00000196604
ENSG00000130429,ENSG00000163466
ENSG00000130429,ENSG00000136950
ENSG00000130429,ENSG00000162704
ENSG00000130429,ENSG00000138071
ENSG00000130429,ENSG00000111229
ENSG00000130429,ENSG00000133627
ENSG00000130429,ENSG00000115091
ENSG00000130429,ENSG00000241553
ENSG00000130429,ENSG00000143157
ENSG00000130429,ENSG00000125458
ENSG00000171497,ENSG00000126088
ENSG00000163644,ENSG00000137992
ENSG00000163644,ENSG00000083123
ENSG00000163644,ENSG00000248098
ENSG00000179041,ENSG00000177600
ENSG00000179041,ENSG00000137818
ENSG00000179041,ENSG00000174444
ENSG00000179041,ENSG00000115053
ENSG00000179041,ENSG00000065978
ENSG00000179041,ENSG00000185298
ENSG00000179041,ENSG00000106344
ENSG00000179041,ENSG00000148303
ENSG00000179041,ENSG00000115524
ENSG00000179041,ENSG00000184967
ENSG00000179041,ENSG00000145425
ENSG00000179041,ENSG00000164587
ENSG00000179041,ENSG00000124614
ENSG00000179041,ENSG00000140988
ENSG00000179041,ENSG00000108592
ENSG00000179041,ENSG00000149273
ENSG00000179041,ENSG00000129351
ENSG00000179041,ENSG00000165732
ENSG00000179041,ENSG00000089157
ENSG00000179041,ENSG00000100316
ENSG00000179041,ENSG00000135250
ENSG00000179041,ENSG00000132153
ENSG00000179041,ENSG00000089009
ENSG00000179041,HIST1H1E
ENSG00000179041,ENSG00000127483
ENSG00000179041,ENSG00000163214
ENSG00000179041,ENSG00000105193
ENSG00000179041,ENSG00000132382
ENSG00000179041,ENSG00000063244
ENSG00000179041,ENSG00000244509
ENSG00000179041,ENSG00000122965
ENSG00000179041,ENSG00000139168
ENSG00000179041,ENSG00000063177
ENSG00000179041,ENSG00000161016
ENSG00000179041,ENSG00000105939
ENSG00000179041,ENSG00000132463
ENSG00000179041,ENSG00000171490
ENSG00000179041,ENSG00000074071
ENSG00000179041,ENSG00000132676
ENSG00000179041,ENSG00000188846
ENSG00000179041,ENSG00000181163
ENSG00000179041,ENSG00000107937
ENSG00000179041,ENSG00000160208
ENSG00000179041,ENSG00000137154
ENSG00000179041,ENSG00000111641
