gene_a,gene_b
ENSG00000181885,ENSG00000243772
ENSG00000158296,ENSG00000168032
ENSG00000000005,ENSG00000168032
ENSG00000168032,ENSG00000171812
ENSG00000167740,ENSG00000213619
ENSG00000069482,ENSG00000213995
ENSG00000184292,ENSG00000213995
ENSG00000006534,ENSG00000213995
ENSG00000168938,ENSG00000213995
ENSG00000159224,ENSG00000213995
ENSG00000181035,ENSG00000213995
ENSG00000114204,ENSG00000213995
ENSG00000162078,ENSG00000213995
ENSG00000168703,ENSG00000213995
ENSG00000166794,ENSG00000213995
ENSG00000090339,ENSG00000213995
ENSG00000105550,ENSG00000213995
ENSG00000108823,ENSG00000213995
ENSG00000173372,ENSG00000213995
ENSG00000163902,ENSG00000213995
ENSG00000102181,ENSG00000213995
ENSG00000174808,ENSG00000213995
ENSG00000122862,ENSG00000213995
ENSG00000161249,ENSG00000213995
ENSG00000162729,ENSG00000213995
ENSG00000165828,ENSG00000213995
ENSG00000213995,ENSG00000223953
ENSG00000198885,ENSG00000213995
ENSG00000128567,ENSG00000213995
ENSG00000155304,ENSG00000213995
ENSG00000117298,ENSG00000213995
ENSG00000176076,ENSG00000213995
ENSG00000152558,ENSG00000213995
ENSG00000132718,ENSG00000213995
ENSG00000129910,ENSG00000213995
ENSG00000133466,ENSG00000213995
ENSG00000197487,ENSG00000213995
ENSG00000116157,ENSG00000213995
ENSG00000213995,ENSG00000230657
ENSG00000196811,ENSG00000213995
ENSG00000174992,ENSG00000213995
ENSG00000105954,ENSG00000213995
ENSG00000132872,ENSG00000213995
ENSG00000103024,ENSG00000213995
ENSG00000204279,ENSG00000213995
ENSG00000164822,ENSG00000213995
ENSG00000113240,ENSG00000213995
ENSG00000128228,ENSG00000213995
ENSG00000139163,ENSG00000213995
ENSG00000127863,ENSG00000213995
ENSG00000106366,ENSG00000213995
ENSG00000112183,ENSG00000244025
ENSG00000112183,ENSG00000189030
ENSG00000100146,ENSG00000112183
ENSG00000103326,ENSG00000112183
ENSG00000112183,ENSG00000158552
ENSG00000112183,ENSG00000178381
ENSG00000162599,ENSG00000219545
ENSG00000196437,ENSG00000219545
ENSG00000153233,ENSG00000219545
ENSG00000075568,ENSG00000219545
ENSG00000196792,ENSG00000219545
ENSG00000000457,ENSG00000219545
ENSG00000160058,ENSG00000219545
ENSG00000117906,ENSG00000219545
ENSG00000166426,ENSG00000219545
ENSG00000169740,ENSG00000189132
ENSG00000113328,ENSG00000169740
ENSG00000109061,ENSG00000169740
ENSG00000169740,ENSG00000258890
ENSG00000144118,ENSG00000169740
ENSG00000112877,ENSG00000169740
ENSG00000128245,ENSG00000169740
ENSG00000120686,ENSG00000169740
ENSG00000159882,ENSG00000169740
ENSG00000132031,ENSG00000169740
ENSG00000130544,ENSG00000169740
ENSG00000169740,ENSG00000172346
ENSG00000133878,ENSG00000169740
ENSG00000107018,ENSG00000169740
ENSG00000142619,ENSG00000169740
ENSG00000165060,ENSG00000169740
ENSG00000130684,ENSG00000169740
ENSG00000137203,ENSG00000169740
ENSG00000160256,ENSG00000169740
ENSG00000169740,ENSG00000171813
ENSG00000069482,ENSG00000121335
ENSG00000044012,ENSG00000069482
ENSG00000069482,ENSG00000164692
ENSG00000069482,ENSG00000198756
ENSG00000069482,ENSG00000168938
ENSG00000069482,ENSG00000139985
ENSG00000069482,ENSG00000159224
ENSG00000069482,ENSG00000239697
ENSG00000069482,ENSG00000122585
ENSG00000069482,ENSG00000213759
ENSG00000069482,ENSG00000114204
ENSG00000069482,ENSG00000123500
ENSG00000069482,ENSG00000162078
ENSG00000069482,ENSG00000168703
ENSG00000069482,ENSG00000139352
ENSG00000069482,ENSG00000140939
ENSG00000069482,ENSG00000111215
ENSG00000069482,ENSG00000109610
ENSG00000069482,ENSG00000131831
ENSG00000069482,ENSG00000137731
ENSG00000069482,ENSG00000160180
ENSG00000069482,ENSG00000166794
ENSG00000069482,ENSG00000159189
ENSG00000069482,ENSG00000163235
ENSG00000069482,ENSG00000244687
ENSG00000069482,ENSG00000215547
ENSG00000049089,ENSG00000069482
ENSG00000069482,ENSG00000266094
ENSG00000069482,ENSG00000100095
ENSG00000069482,ENSG00000142694
ENSG00000069482,ENSG00000143502
ENSG00000069482,ENSG00000144224
ENSG00000069482,ENSG00000205670
ENSG00000069482,ENSG00000108823
ENSG00000069482,ENSG00000173372
ENSG00000069482,ENSG00000102181
ENSG00000069482,ENSG00000163430
ENSG00000069482,ENSG00000122862
ENSG00000069482,ENSG00000161249
ENSG00000069482,ENSG00000165828
ENSG00000069482,ENSG00000170373
ENSG00000069482,ENSG00000124225
ENSG00000069482,ENSG00000168634
ENSG00000069482,ENSG00000155760
ENSG00000069482,ENSG00000164871
ENSG00000069482,ENSG00000250510
ENSG00000069482,ENSG00000198885
ENSG00000069482,ENSG00000128567
ENSG00000069482,ENSG00000176485
ENSG00000069482,ENSG00000133328
ENSG00000069482,ENSG00000176209
ENSG00000069482,ENSG00000074842
ENSG00000069482,ENSG00000113119
ENSG00000069482,ENSG00000155304
ENSG00000069482,ENSG00000273590
ENSG00000069482,ENSG00000197536
ENSG00000069482,ENSG00000212747
ENSG00000069482,ENSG00000167618
ENSG00000069482,ENSG00000277632
ENSG00000069482,ENSG00000135960
ENSG00000069482,ENSG00000182149
ENSG00000069482,ENSG00000197273
ENSG00000069482,ENSG00000171209
ENSG00000069482,ENSG00000171201
ENSG00000069482,ENSG00000132718
ENSG00000069482,ENSG00000129910
ENSG00000069482,ENSG00000197487
ENSG00000069482,ENSG00000181617
ENSG00000069482,ENSG00000092051
ENSG00000069482,ENSG00000172247
ENSG00000069482,ENSG00000116157
ENSG00000069482,ENSG00000141526
ENSG00000069482,ENSG00000166922
ENSG00000069482,ENSG00000230657
ENSG00000069482,ENSG00000221946
ENSG00000069482,ENSG00000142871
ENSG00000069482,ENSG00000174992
ENSG00000069482,ENSG00000105954
ENSG00000069482,ENSG00000095752
ENSG00000069482,ENSG00000175121
ENSG00000069482,ENSG00000103024
ENSG00000069482,ENSG00000110203
ENSG00000069482,ENSG00000164822
ENSG00000069482,ENSG00000185303
ENSG00000069482,ENSG00000128228
ENSG00000069482,ENSG00000122643
ENSG00000011201,ENSG00000069482
ENSG00000069482,ENSG00000139163
ENSG00000069482,ENSG00000124233
ENSG00000069482,ENSG00000262576
ENSG00000069482,ENSG00000106366
ENSG00000069482,ENSG00000135222
ENSG00000069482,ENSG00000228474
ENSG00000106631,ENSG00000175707
ENSG00000148153,ENSG00000175707
ENSG00000100146,ENSG00000175707
ENSG00000141741,ENSG00000175707
ENSG00000173039,ENSG00000175707
ENSG00000164330,ENSG00000175707
