PROT1,PROT2
A0A024RAD5,ENSG00000163902
A0A024RAD5,ENSG00000163902
A0A024RAD5,ENSG00000118705
A0A024RAD5,ENSG00000118705
A0A024RAD5,ENSG00000134910
A0A024RAD5,ENSG00000129562
A0A024RAD5,ENSG00000129562
A0A024RAD5,ENSG00000163527
A0A024RAV5,ENSG00000118137
A0A024RAV5,ENSG00000078061
A0A075B5G3,ENSG00000169174
A0A075B5G3,ENSG00000169174
A0A075B5G3,ENSG00000169174
A0A075B5G3,ENSG00000169174
ENSG00000211746,ENSG00000211809
ENSG00000211746,ENSG00000211809
ENSG00000211746,ENSG00000211809
ENSG00000211746,ENSG00000277734
ENSG00000211746,ENSG00000277734
ENSG00000211746,ENSG00000277734
ENSG00000211746,ENSG00000277734
ENSG00000211746,ENSG00000206503
ENSG00000211746,ENSG00000206503
ENSG00000211746,ENSG00000206503
ENSG00000211746,ENSG00000206503
ENSG00000211746,ENSG00000120215
ENSG00000211789,ENSG00000211789
ENSG00000211789,ENSG00000211721
ENSG00000211789,ENSG00000211721
ENSG00000211789,ENSG00000211721
ENSG00000211789,ENSG00000211753
ENSG00000211789,ENSG00000211772
ENSG00000211789,ENSG00000211772
ENSG00000211789,ENSG00000211772
ENSG00000211789,ENSG00000277734
ENSG00000211789,ENSG00000277734
ENSG00000211789,ENSG00000211751
ENSG00000211789,ENSG00000206503
ENSG00000211789,ENSG00000206503
ENSG00000211789,ENSG00000206503
ENSG00000211789,ENSG00000206503
ENSG00000211789,ENSG00000206503
ENSG00000211809,ENSG00000211772
ENSG00000211809,ENSG00000211772
ENSG00000211809,ENSG00000211772
ENSG00000211809,ENSG00000206503
ENSG00000211809,ENSG00000206503
ENSG00000211809,ENSG00000206503
A0A0A8WFP6,A0A173ADG5
ENSG00000211794,ENSG00000276953
ENSG00000211794,ENSG00000276953
ENSG00000211794,ENSG00000276953
ENSG00000211794,ENSG00000276953
ENSG00000211794,ENSG00000276953
ENSG00000211794,ENSG00000276953
ENSG00000211794,ENSG00000276953
ENSG00000211794,ENSG00000276953
ENSG00000211794,ENSG00000276953
ENSG00000211794,ENSG00000276953
ENSG00000211794,ENSG00000276953
ENSG00000211794,ENSG00000276953
ENSG00000211794,ENSG00000276953
ENSG00000211794,ENSG00000276953
ENSG00000211794,ENSG00000211721
ENSG00000211794,ENSG00000211721
ENSG00000211794,ENSG00000211772
ENSG00000211794,ENSG00000211772
ENSG00000211794,ENSG00000211772
ENSG00000211794,ENSG00000211772
ENSG00000211794,ENSG00000211772
ENSG00000211794,ENSG00000211772
ENSG00000211794,ENSG00000211772
