bait.Gene.name,prey.Gene.name,enrichment
ENSG00000174799,ENSG00000138279,1.981821
ENSG00000174799,ENSG00000107186,1.344213
ENSG00000174799,ENSG00000153140,5.411424
ENSG00000174799,ENSG00000079841,3.11826
ENSG00000174799,ENSG00000078674,8.472578
ENSG00000174799,ENSG00000104218,4.966726
ENSG00000174799,ENSG00000161996,3.927338
ENSG00000174799,ENSG00000119685,4.519467
ENSG00000174799,ENSG00000082438,1.565545
ENSG00000174799,C1orf86;FAAP20,4.176435
ENSG00000174799,ENSG00000215041,6.31853
ENSG00000174799,FOPNL,5.413217
ENSG00000174799,ENSG00000101773,3.498281
ENSG00000174799,ENSG00000122483,6.412601
ENSG00000174799,ENSG00000175455,4.476666
ENSG00000174799,ENSG00000105738,2.013157
ENSG00000174799,ENSG00000046651,7.095243
ENSG00000174799,FGFR1OP,4.862618
ENSG00000174799,ENSG00000128731,4.339193
ENSG00000174799,ENSG00000118137,3.775055
ENSG00000174799,ENSG00000072274,2.174448
ENSG00000174799,ENSG00000155368,3.657165
ENSG00000174799,ENSG00000120885,1.478068
ENSG00000174799,ENSG00000114302,4.228783
ENSG00000174799,ENSG00000204713,2.738907
ENSG00000174799,ENSG00000147400,2.888294
ENSG00000174799,ENSG00000257315,2.206724
ENSG00000174799,ENSG00000173230,3.88859
ENSG00000174799,ENSG00000078674,8.248382
ENSG00000174799,ENSG00000104218,6.819779
ENSG00000174799,ENSG00000198920,6.804356
ENSG00000174799,ENSG00000176155,5.130433
ENSG00000174799,ENSG00000168014,5.71799
ENSG00000174799,ENSG00000143702,3.173742
ENSG00000174799,ENSG00000107897,2.677631
ENSG00000174799,ENSG00000135837,4.333403
ENSG00000174799,ENSG00000171467,1.137061
ENSG00000174799,ENSG00000174799,8.748849
ENSG00000174799,ENSG00000144824,4.619112
ENSG00000174799,ENSG00000150477,4.596365
ENSG00000174799,HEATR2,2.127177
ENSG00000174799,ENSG00000101752,7.04203
ENSG00000174799,ENSG00000162222,2.991949
ENSG00000174799,ENSG00000151208,2.317485
ENSG00000174799,ENSG00000083535,6.369368
ENSG00000174799,WDR67,4.42393
ENSG00000174799,ENSG00000095066,4.216536
ENSG00000174799,ENSG00000130158,3.412658
ENSG00000174799,ENSG00000151466,3.648257
ENSG00000174799,ENSG00000120647,8.870842
ENSG00000174799,ENSG00000120647,5.538169
ENSG00000174799,ENSG00000140859,3.114192
ENSG00000174799,KIAA1731,6.389363
ENSG00000174799,C5orf42,2.967082
ENSG00000174799,ENSG00000157637,2.250186
ENSG00000174799,ENSG00000136146,1.615669
ENSG00000174799,ENSG00000101413,3.148218
ENSG00000174799,ENSG00000090989,4.683788
ENSG00000174799,ENSG00000112877,8.294027
ENSG00000174799,WDR8;WRAP73,6.959218
ENSG00000174799,ENSG00000165804,1.853022
ENSG00000174799,ENSG00000118412,4.584249
ENSG00000174799,WBP7,3.092171
ENSG00000174799,AZI1,9.144945
ENSG00000174799,AZI1,5.479475
ENSG00000174799,ENSG00000110756,2.922573
ENSG00000174799,ENSG00000117155,5.292343
ENSG00000174799,ENSG00000104983,4.941259
ENSG00000075131,ENSG00000161526,1.780764
ENSG00000075131,ENSG00000165525,2.720031
ENSG00000075131,ENSG00000179172,3.093611
ENSG00000075131,ENSG00000138101,3.229722
ENSG00000075131,ENSG00000174851,2.494076
ENSG00000075131,ENSG00000130707,2.889479
ENSG00000075131,ENSG00000112118,3.240315
ENSG00000075131,ENSG00000169221,1.242055
ENSG00000075131,ENSG00000110987,2.655308
ENSG00000075131,ENSG00000080603,2.26654
ENSG00000075131,ENSG00000242265,1.200775
ENSG00000075131,ENSG00000148187,1.447208
ENSG00000075131,C3orf37,2.343306
ENSG00000075131,ENSG00000196233,1.459175
ENSG00000075131,ENSG00000147536,3.566692
ENSG00000075131,ENSG00000181938,6.128118
ENSG00000075131,ENSG00000075131,10.20007
ENSG00000075131,ENSG00000088930,1.245534
ENSG00000075131,ENSG00000092853,5.580344
ENSG00000075131,ENSG00000146109,1.236672
ENSG00000075131,ENSG00000102316,1.681461
ENSG00000075131,ENSG00000111602,10.00268
ENSG00000075131,ENSG00000111602,6.709752
ENSG00000075131,ENSG00000083937,2.230453
ENSG00000138801,ENSG00000175581,2.832138
ENSG00000138801,ENSG00000198682,13.45337
ENSG00000138801,ENSG00000070814,1.777059
ENSG00000138801,ENSG00000173905,3.825461
ENSG00000138801,ENSG00000138801,7.354403
ENSG00000138801,ENSG00000118137,4.139731
ENSG00000138801,ENSG00000072274,2.462818
ENSG00000138801,ENSG00000155368,3.109517
ENSG00000138801,ENSG00000134057,2.074084
ENSG00000138801,ATP5O,0.9270492
ENSG00000138801,ENSG00000162521,0.9210128
ENSG00000138801,ENSG00000143641,1.830773
ENSG00000138801,ENSG00000112992,1.542153
ENSG00000138801,ENSG00000144589,3.083967
ENSG00000138801,ENSG00000162222,3.188878
ENSG00000138801,ENSG00000132424,1.359477
ENSG00000138801,ENSG00000095066,4.584809
ENSG00000138801,ENSG00000157637,2.135494
ENSG00000138801,ENSG00000067704,2.714659
ENSG00000138801,ENSG00000196405,12.44134
ENSG00000138801,ENSG00000118412,4.421165
ENSG00000138801,ENSG00000113300,3.004927
ENSG00000138801,WBP7,3.12932
ENSG00000138801,ENSG00000102316,1.560332
ENSG00000138801,ENSG00000110756,2.655145
ENSG00000138801,ENSG00000083937,2.243185
ENSG00000100603,ENSG00000134709,3.287869
ENSG00000100603,ENSG00000076924,2.986807
ENSG00000100603,ENSG00000053371,1.218116
ENSG00000100603,ENSG00000171566,2.431738
ENSG00000100603,ENSG00000021776,2.733557
ENSG00000100603,ENSG00000168438,3.210185
ENSG00000100603,ENSG00000144028,2.670862
ENSG00000100603,ENSG00000116752,2.792794
ENSG00000100603,ENSG00000150687,1.718245
ENSG00000100603,ENSG00000164609,2.375519
ENSG00000100603,ENSG00000117614,2.473715
ENSG00000100603,ENSG00000160211,2.814246
ENSG00000100603,ENSG00000257315,2.417581
ENSG00000100603,ENSG00000069424,2.120843
ENSG00000100603,ENSG00000144674,2.323918
ENSG00000100603,ENSG00000100603,4.522275
ENSG00000100603,ENSG00000071859,1.373244
ENSG00000100603,ENSG00000067596,2.514793
ENSG00000100603,ENSG00000273611,2.05701
ENSG00000100603,ENSG00000174231,2.626833
ENSG00000100603,ENSG00000180628,0.9345742
ENSG00000100603,ENSG00000152413,6.088499
ENSG00000100603,ISY1;RAB43,2.939232
ENSG00000100603,ENSG00000104859,2.121684
ENSG00000100603,ENSG00000162642,2.198324
ENSG00000100603,ENSG00000160799,2.676461
ENSG00000100603,ENSG00000124782,2.721013
ENSG00000100603,DGCR14,1.626573
ENSG00000100603,ENSG00000060688,2.713719
ENSG00000100603,ENSG00000166788,10.27265
ENSG00000100603,ENSG00000132773,2.121758
ENSG00000100603,ENSG00000096401,3.020813
ENSG00000100603,ENSG00000129911,2.130307
ENSG00000100603,ENSG00000101343,3.171033
ENSG00000100603,ENSG00000117148,3.00932
ENSG00000100603,ENSG00000162923,2.198524
ENSG00000100603,ENSG00000134851,2.335427
ENSG00000100603,ENSG00000051128,9.69712
ENSG00000100603,ENSG00000086589,2.273685
ENSG00000100603,ENSG00000150316,2.087567
ENSG00000100603,ENSG00000240682,2.298553
ENSG00000100603,ENSG00000110107,2.3429
ENSG00000100603,ENSG00000084072,2.734468
ENSG00000100603,ENSG00000137168,3.247716
ENSG00000237649,ENSG00000175581,3.129881
ENSG00000237649,ENSG00000120533,1.990839
ENSG00000237649,ENSG00000248333,2.358708
ENSG00000237649,ENSG00000102753,3.973678
ENSG00000237649,ENSG00000186432,4.833056
ENSG00000237649,ENSG00000197724,1.152261
ENSG00000237649,ENSG00000115524,2.092359
ENSG00000237649,ENSG00000126698,1.636291
ENSG00000237649,ENSG00000105085,1.332845
ENSG00000237649,ENSG00000170454,1.391951
ENSG00000237649,ENSG00000072274,1.973726
ENSG00000237649,ENSG00000137309,1.469061
ENSG00000237649,ENSG00000158711,4.820951
ENSG00000237649,ENSG00000204390,1.234022
ENSG00000237649,ENSG00000126883,4.386998
ENSG00000237649,ENSG00000119707,1.544064
ENSG00000237649,ENSG00000124789,5.313031
ENSG00000237649,ENSG00000153201,5.167322
ENSG00000237649,ENSG00000182481,2.69091
ENSG00000237649,ENSG00000003756,1.762606
ENSG00000237649,ENSG00000110713,4.91971
ENSG00000237649,ENSG00000111581,5.055761
ENSG00000237649,ENSG00000134765,2.908594
ENSG00000237649,ENSG00000198231,2.066788
ENSG00000237649,ENSG00000085872,1.455466
ENSG00000237649,ENSG00000060339,1.885337
ENSG00000237649,ENSG00000102900,6.079091
ENSG00000237649,ENSG00000163002,5.58991
ENSG00000237649,ENSG00000132424,2.23929
ENSG00000237649,ENSG00000081154,1.868028
ENSG00000237649,ENSG00000085415,4.611739
ENSG00000237649,C3orf37,2.008969
ENSG00000237649,ENSG00000066117,1.645054
ENSG00000237649,ENSG00000130158,3.771001
ENSG00000237649,ENSG00000237649,7.797588
ENSG00000237649,ENSG00000101160,1.423785
ENSG00000237649,ENSG00000093000,5.508671
ENSG00000237649,ENSG00000130749,1.986667
ENSG00000237649,ENSG00000110756,2.877745
ENSG00000237649,ENSG00000134255,2.246902
ENSG00000086827,ENSG00000151779,5.79328
ENSG00000086827,ENSG00000168818,5.853891
ENSG00000086827,ENSG00000204308,3.801495
ENSG00000086827,ENSG00000148606,2.808629
ENSG00000086827,ENSG00000090054,2.24068
ENSG00000086827,ENSG00000086827,9.894418
ENSG00000086827,ENSG00000070961,2.812892
ENSG00000086827,ENSG00000184445,11.24914
ENSG00000086827,ENSG00000113734,11.44339
ENSG00000086827,ENSG00000135249,13.26005
ENSG00000086827,ENSG00000184178,11.26449
ENSG00000086827,ENSG00000092108,12.64084
ENSG00000086827,ENSG00000161800,1.006275
ENSG00000086827,ENSG00000174442,11.38291
ENSG00000086827,ENSG00000053501,12.14612
ENSG00000086827,ENSG00000119559,12.18488
ENSG00000119638,ENSG00000149499,11.21067
ENSG00000119638,ENSG00000167553,4.312415
ENSG00000119638,ENSG00000196230,4.227417
ENSG00000119638,ENSG00000066629,8.961228
ENSG00000119638,ENSG00000125746,10.36527
ENSG00000119638,ENSG00000125746,8.065085
ENSG00000119638,ENSG00000152818,2.475688
ENSG00000119638,ENSG00000088986,2.989543
ENSG00000119638,ENSG00000188229,3.507834
ENSG00000119638,ENSG00000144426,1.483174
ENSG00000119638,ENSG00000163527,3.512254
ENSG00000119638,ENSG00000119638,9.212629
ENSG00000119638,ENSG00000151414,9.135007
ENSG00000119638,ENSG00000124541,0.9275038
ENSG00000119638,ENSG00000143924,11.7179
ENSG00000154839,ENSG00000122483,3.817807
ENSG00000154839,ENSG00000144381,3.431719
ENSG00000154839,ENSG00000165480,13.88192
ENSG00000154839,KIAA1967,7.050566
ENSG00000154839,SKA2;SKA2L,8.68912
ENSG00000154839,ENSG00000154839,12.94845
ENSG00000169679,ENSG00000204371,1.968787
ENSG00000169679,SEPT6,2.829313
ENSG00000169679,ENSG00000157911,3.543038
ENSG00000169679,ENSG00000157895,1.053601
ENSG00000169679,ENSG00000035664,1.666406
ENSG00000169679,ENSG00000135899,1.32509
ENSG00000169679,ENSG00000092439,2.309561
ENSG00000169679,C1orf86;FAAP20,4.175595
ENSG00000169679,ENSG00000101773,3.202831
ENSG00000169679,ENSG00000104517,3.276538
ENSG00000169679,ENSG00000119414,2.978919
ENSG00000169679,ENSG00000136816,2.929595
ENSG00000169679,ENSG00000090054,2.427015
ENSG00000169679,ENSG00000169679,8.634888
ENSG00000169679,ENSG00000154473,4.851442
ENSG00000169679,ENSG00000081913,2.028099
ENSG00000169679,ENSG00000116675,2.643254
ENSG00000169679,ENSG00000122952,5.174523
ENSG00000169679,ENSG00000078061,3.031564
ENSG00000169679,ENSG00000120885,1.478737
ENSG00000169679,ENSG00000137124,3.480992
ENSG00000169679,ENSG00000121879,3.751092
ENSG00000169679,ENSG00000138095,2.388454
ENSG00000169679,ENSG00000132676,1.234954
ENSG00000169679,ENSG00000109861,2.369051
ENSG00000169679,ENSG00000051180,2.941883
ENSG00000169679,ENSG00000113448,3.053836
ENSG00000169679,ENSG00000117399,5.415828
ENSG00000169679,ENSG00000104823,2.609479
ENSG00000169679,ENSG00000163125,1.670046
ENSG00000169679,GPAM;RP11,2.901552
ENSG00000169679,ENSG00000160783,4.830039
ENSG00000169679,ENSG00000119471,3.082358
