bait.Gene.name,prey.Gene.name,neg_log_p,bait.IDs,prey.IDs
ANAPC13,MARCH6,4.484377,Q9BS18,O60337;B4DT33;B4DKJ2
CDC26,MARCH6,Inf,Q8NHZ8,O60337;B4DT33;B4DKJ2
CENPH,MARCH6,11.58021,Q9H3R5,O60337;B4DT33;B4DKJ2
KIF22,MARCH6,3.84567,Q14807;B7Z265;H3BRB3,O60337;B4DT33;B4DKJ2
SEPT2,SEPT2,5.203154,Q15019,Q15019
SEPT2,SEPT2,6.327802,Q15019,Q15019-2
SEPT6,SEPT2,2.946582,Q14141;Q14141-2;Q14141-4;B1AMS2;F5H1J5;B4E049,Q15019;Q15019-2;B5MCX3;C9J2Q4;H7C2Y0
SEPT7,SEPT2,3.623344,Q16181;E7ES33;E7EPK1;B4DNE4;G3V1Q4;H0Y3Y4;H0YFF6,Q15019;Q15019-2;B5MCX3;C9J2Q4;H7C2Y0
SEPT9,SEPT2,5.003412,Q9UHD8;Q9UHD8-7;Q9UHD8-2,Q15019;Q15019-2;B5MCX3;H7C2Y0;C9J2Q4
SEPT11,SEPT2,Inf,Q9NVA2;D6RGI3;D6RER5;Q9NVA2-2;D6RDU5,Q15019;Q15019-2;B5MCX3;C9J2Q4;H7C2Y0
ANLN,SEPT2,1.980495,Q9NQW6,Q15019-2;Q15019;B5MCX3;H7C2Y0;C9J2Q4
EZH2,SEPT2,2.259904,Q15910;Q15910-3;Q15910-2;Q15910-4;Q15910-5,Q15019-2;Q15019;B5MCX3;H7C2Y0;C9J2Q4
HSPA5,SEPT2,2.515299,P11021,Q15019-2;Q15019;B5MCX3;H7C2Y0;C9J2Q4
TGS1,SEPT2,1.592599,Q96RS0,Q15019-2;Q15019;B5MCX3;H7C2Y0;C9J2Q4
SEPT9,SEPT5,1.390767,Q9UHD8;Q9UHD8-7;Q9UHD8-2,G3XAH0;C9JM82;B4DJ62;Q99719-2;Q99719;F8W9E5;E7EQM7;E7EPG2;E7EX32
SEPT2,SEPT6,5.260622,Q15019,Q14141;Q14141-2;Q14141-4;B1AMS2;F5H1J5;B4E049
SEPT6,SEPT6,2.257204,Q14141;Q14141-2;Q14141-4;B1AMS2;F5H1J5;B4E049,Q14141;Q14141-2;Q14141-4;B1AMS2;F5H1J5;B4E049
SEPT7,SEPT6,3.270359,Q16181;E7ES33;E7EPK1;B4DNE4;G3V1Q4;H0Y3Y4;H0YFF6,Q14141;Q14141-2;Q14141-4;B1AMS2;F5H1J5;B4E049
SEPT9,SEPT6,3.450694,Q9UHD8;Q9UHD8-7;Q9UHD8-2,Q14141;Q14141-2;Q14141-4;B1AMS2;F5H1J5
SEPT11,SEPT6,3.52324,Q9NVA2;D6RGI3;D6RER5;Q9NVA2-2;D6RDU5,Q14141;Q14141-2;Q14141-4;B1AMS2;F5H1J5;B4E049
ANLN,SEPT6,1.845256,Q9NQW6,Q14141-2;Q14141-4;B1AMS2;Q14141;F5H1J5;B4E049
BUB1,SEPT6,3.477379,O43683,Q14141-2;Q14141-4;B1AMS2;Q14141;F5H1J5;B4E049;Q14141-3
HSPA5,SEPT6,4.145495,P11021,Q14141-2;Q14141-4;B1AMS2;Q14141;F5H1J5;B4E049
SEPT2,SEPT7,6.187871,Q15019,Q16181;E7ES33;E7EPK1;B4DNE4;H0Y3Y4;H0YFF6
SEPT2,SEPT7,2.385202,Q15019,Q16181-2
SEPT6,SEPT7,4.065156,Q14141;Q14141-2;Q14141-4;B1AMS2;F5H1J5;B4E049,Q16181-2;E7ES33;E7EPK1;Q16181;B4DNE4;G3V1Q4;H0Y3Y4;H0YFF6
SEPT7,SEPT7,6.109871,Q16181;E7ES33;E7EPK1;B4DNE4;G3V1Q4;H0Y3Y4;H0YFF6,Q16181;E7ES33;E7EPK1;B4DNE4;G3V1Q4;H0Y3Y4;H0YFF6
SEPT7,SEPT7,1.656565,Q16181;E7ES33;E7EPK1;B4DNE4;G3V1Q4;H0Y3Y4;H0YFF6,Q16181-2
SEPT9,SEPT7,10.28419,Q9UHD8;Q9UHD8-7;Q9UHD8-2,Q16181;E7ES33;E7EPK1;B4DNE4;G3V1Q4;H0Y3Y4;H0YFF6
