bait.Gene.name,prey.Gene.name
ENSG00000129055,MARCH6
ENSG00000176386,MARCH6
ENSG00000153044,MARCH6
ENSG00000079616,MARCH6
SEPT2,SEPT2
SEPT2,SEPT2
SEPT6,SEPT2
SEPT7,SEPT2
SEPT9,SEPT2
SEPT11,SEPT2
ENSG00000011426,SEPT2
ENSG00000106462,SEPT2
ENSG00000044574,SEPT2
ENSG00000137574,SEPT2
SEPT9,SEPT5
SEPT2,SEPT6
SEPT6,SEPT6
SEPT7,SEPT6
SEPT9,SEPT6
SEPT11,SEPT6
ENSG00000011426,SEPT6
ENSG00000169679,SEPT6
ENSG00000044574,SEPT6
SEPT2,SEPT7
SEPT2,SEPT7
SEPT6,SEPT7
SEPT7,SEPT7
SEPT7,SEPT7
SEPT9,SEPT7
SEPT9,SEPT7
SEPT11,SEPT7
SEPT11,SEPT7
ENSG00000011426,SEPT7
ENSG00000044574,SEPT7
ENSG00000100345,SEPT7
ENSG00000137574,SEPT7
SEPT2,SEPT8
SEPT7,SEPT8
SEPT9,SEPT8
SEPT9,SEPT8
SEPT11,SEPT8
SEPT2,SEPT9
SEPT6,SEPT9
SEPT7,SEPT9
SEPT9,SEPT9
SEPT9,SEPT9
SEPT11,SEPT9
ENSG00000011426,SEPT9
ENSG00000128595,SEPT9
ENSG00000044574,SEPT9
ENSG00000167977,SEPT9
SEPT2,SEPT10
SEPT6,SEPT10
SEPT7,SEPT10
SEPT9,SEPT10
SEPT9,SEPT10
SEPT11,SEPT10
ENSG00000011426,SEPT10
ENSG00000044574,SEPT10
ENSG00000137574,SEPT10
SEPT2,SEPT11
SEPT7,SEPT11
SEPT9,SEPT11
SEPT11,SEPT11
ENSG00000108679,SEPT15
ENSG00000108424,ENSG00000094914
ENSG00000111581,ENSG00000094914
ENSG00000111581,ENSG00000094914
ENSG00000124789,ENSG00000094914
ENSG00000110713,ENSG00000094914
ENSG00000153201,ENSG00000094914
ENSG00000180198,ENSG00000094914
ENSG00000103275,ENSG00000094914
ENSG00000075624,ENSG00000115977
ENSG00000011426,ENSG00000115977
ENSG00000175416,ENSG00000115977
ENSG00000141367,ENSG00000115977
ENSG00000178950,ENSG00000115977
ENSG00000075218,ENSG00000115977
ENSG00000044574,ENSG00000115977
ENSG00000050405,ENSG00000115977
ENSG00000100345,ENSG00000115977
ENSG00000197879,ENSG00000115977
ENSG00000213639,ENSG00000115977
ENSG00000176986,ENSG00000115977
ENSG00000075785,ENSG00000087884
ENSG00000147403,ENSG00000127837
ENSG00000122882,ENSG00000131043
ENSG00000127774,ENSG00000131043
ENSG00000128052,ENSG00000131043
ENSG00000175792,ENSG00000131043
ENSG00000178363,AARS
ENSG00000127314,ENSG00000124608
ENSG00000121957,ENSG00000157426
ENSG00000153187,ENSG00000275700
ENSG00000174996,ENSG00000275700
ENSG00000147403,ENSG00000275700
ENSG00000258366,ENSG00000275700
ENSG00000175792,ENSG00000275700
ENSG00000185722,ENSG00000107331
ENSG00000141367,ENSG00000107331
ENSG00000186566,ENSG00000107331
ENSG00000196878,ENSG00000107331
ENSG00000136997,ENSG00000107331
ENSG00000133026,ENSG00000107331
ENSG00000156453,ENSG00000107331
ENSG00000122512,ENSG00000107331
ENSG00000118508,ENSG00000107331
ENSG00000136104,ENSG00000107331
ENSG00000167985,ENSG00000107331
ENSG00000106609,ENSG00000107331
ENSG00000128245,ENSG00000107331
ENSG00000152240,ENSG00000064687
ENSG00000138668,ENSG00000064687
ENSG00000073350,ENSG00000064687
ENSG00000197860,ENSG00000064687
ENSG00000134243,ENSG00000064687
ENSG00000135316,ENSG00000064687
ENSG00000107779,ENSG00000115657
ENSG00000135750,ENSG00000131269
ENSG00000135750,ENSG00000103222
ENSG00000204859,ENSG00000125257
NUPL1,ENSG00000114770
ENSG00000130766,ENSG00000114770
ENSG00000108774,ENSG00000101986
ENSG00000075785,ENSG00000101986
ENSG00000101558,ENSG00000101986
ENSG00000151502,ENSG00000101986
ENSG00000107779,ENSG00000117528
ENSG00000108561,ENSG00000117528
ENSG00000101421,ENSG00000117528
FAM134A,ENSG00000117528
FAM82A2,ENSG00000117528
ENSG00000111711,ENSG00000117528
ENSG00000133703,ENSG00000117528
ENSG00000126777,ENSG00000117528
ENSG00000105357,ENSG00000117528
ENSG00000196396,ENSG00000117528
ENSG00000075785,ENSG00000117528
ENSG00000086598,ENSG00000117528
ENSG00000137216,ENSG00000117528
ENSG00000101558,ENSG00000117528
ENSG00000012048,ENSG00000164163
ENSG00000094804,ENSG00000164163
ENSG00000197892,ENSG00000164163
ENSG00000149577,ENSG00000164163
ENSG00000079246,ENSG00000164163
ENSG00000125107,ENSG00000204574
ENSG00000074266,ENSG00000204574
ENSG00000104412,ENSG00000204574
ENSG00000105202,ENSG00000204574
ENSG00000125844,ENSG00000204574
ENSG00000164296,ENSG00000204574
ENSG00000164109,ENSG00000033050
ENSG00000167842,ENSG00000033050
ENSG00000066136,ENSG00000033050
ENSG00000181163,ENSG00000033050
ENSG00000011485,ENSG00000033050
ENSG00000147403,ENSG00000033050
ENSG00000072501,ENSG00000033050
ENSG00000101337,ENSG00000033050
ENSG00000138768,ENSG00000033050
ENSG00000044574,ENSG00000161204
ENSG00000105568,ENSG00000161204
ENSG00000113558,ENSG00000161204
ENSG00000068366,ENSG00000160179
ENSG00000182287,ENSG00000160179
SGOL1,ENSG00000160179
ENSG00000075624,ENSG00000118777
ENSG00000101421,ENSG00000118777
ENSG00000113758,ENSG00000118777
ENSG00000137312,ENSG00000118777
ENSG00000111711,ENSG00000118777
ENSG00000133026,ENSG00000118777
ENSG00000128833,ENSG00000118777
ENSG00000169851,ENSG00000118777
ENSG00000076201,ENSG00000118777
ENSG00000108774,ENSG00000118777
ENSG00000075785,ENSG00000118777
ENSG00000171992,ENSG00000118777
ENSG00000086598,ENSG00000118777
ENSG00000140416,ENSG00000118777
ENSG00000014123,ENSG00000118777
ENSG00000119541,ENSG00000118777
ENSG00000104517,ENSG00000144827
ENSG00000221838,ENSG00000248487
ENSG00000103995,ENSG00000248487
ENSG00000108679,ENSG00000248487
ENSG00000009307,ENSG00000204427
ENSG00000014123,ENSG00000163686
ENSG00000136754,ENSG00000136754
ENSG00000175866,ENSG00000136754
ENSG00000197265,ENSG00000136754
ENSG00000135540,ENSG00000136754
ENSG00000156876,ENSG00000136754
ENSG00000136754,ENSG00000138443
ENSG00000135540,ENSG00000138443
ENSG00000114354,ENSG00000154175
ENSG00000089053,ENSG00000097007
ENSG00000102189,ENSG00000097007
ENSG00000204859,ENSG00000097007
SEPT9,ENSG00000099204
ENSG00000075624,ENSG00000099204
ENSG00000011426,ENSG00000099204
ENSG00000178363,ENSG00000099204
ENSG00000198898,ENSG00000099204
ENSG00000123374,ENSG00000099204
ENSG00000082438,ENSG00000099204
ENSG00000113758,ENSG00000099204
ENSG00000196924,ENSG00000099204
ENSG00000196924,ENSG00000099204
ENSG00000136068,ENSG00000099204
ENSG00000132589,ENSG00000099204
ENSG00000140575,ENSG00000099204
ENSG00000129250,ENSG00000099204
ENSG00000050405,ENSG00000099204
ENSG00000050405,ENSG00000099204
ENSG00000101367,ENSG00000099204
