A,B
ENSG00000003056,ENSG00000105355
ENSG00000003056,ENSG00000125447
ENSG00000004478,ENSG00000113580
ENSG00000004478,ENSG00000080824
ENSG00000004478,ENSG00000170606
ENSG00000004478,ENSG00000110958
ENSG00000004478,ENSG00000096060
ENSG00000004478,ENSG00000096384
ENSG00000004478,ENSG00000169083
ENSG00000001617,ENSG00000198753
ENSG00000001617,ENSG00000099250
ENSG00000001617,ENSG00000118257
ENSG00000001626,ENSG00000165280
ENSG00000001626,ENSG00000114302
ENSG00000001626,ENSG00000188191
ENSG00000001626,ENSG00000078401
ENSG00000001626,ENSG00000183574
ENSG00000001626,ENSG00000080824
ENSG00000001626,ENSG00000170606
ENSG00000001626,ENSG00000142875
ENSG00000001626,ENSG00000065054
ENSG00000001626,ENSG00000109971
ENSG00000001626,ENSG00000047932
ENSG00000001626,ENSG00000284096
ENSG00000001626,ENSG00000127928
ENSG00000001626,ENSG00000165059
ENSG00000001626,ENSG00000109062
ENSG00000001626,ENSG00000283777
ENSG00000001626,ENSG00000135744
ENSG00000001626,ENSG00000092820
ENSG00000001626,ENSG00000277943
ENSG00000001626,ENSG00000169252
ENSG00000001626,ENSG00000108946
ENSG00000001626,ENSG00000172156
ENSG00000001626,ENSG00000174827
ENSG00000001626,ENSG00000078369
ENSG00000001626,ENSG00000225697
ENSG00000001626,ENSG00000107562
ENSG00000001626,ENSG00000180210
ENSG00000048028,ENSG00000067369
ENSG00000048028,ENSG00000150991
ENSG00000048028,ENSP00000479618
ENSG00000006611,ENSG00000111052
ENSG00000006611,ENSG00000137474
ENSG00000006611,ENSG00000213977
ENSG00000006611,ENSG00000169994
ENSG00000006611,ENSG00000107736
ENSG00000006611,ENSG00000184144
ENSG00000006611,ENSG00000182040
ENSG00000006451,ENSG00000116903
ENSG00000006451,ENSG00000112685
ENSG00000006451,ENSG00000017797
ENSG00000006451,ENSP00000352834
ENSG00000006453,ENSG00000106299
ENSG00000006116,ENSG00000151062
ENSG00000006116,ENSG00000130433
ENSG00000006116,ENSG00000182389
ENSG00000006116,ENSG00000105605
