A,B
YAL055W,YGR133W
Q0045,Q0275
YEL053C,YPR051W
YER050C,YKL003C
YGR165W,YNL137C
YGR143W,YMR200W
Q0105,YOR065W
YAL033W,YHR062C
YDR322W,YDR462W
YCR046C,YKL170W
YBL026W,YLR438CA
YDR041W,YDR175C
YIR008C,YKL045W
YGR102C,YMR293C
YDL040C,YHR013C
YKL186C,YPL169C
YMR312W,YPL101W
YLR105C,YPL083C
YDR041W,YPR166C
YDR390C,YPR180W
YCR035C,YGR095C
YMR106C,YMR284W
YJL096W,YKR085C
YDL201W,YDR165W
YCL016C,YHR191C
YGR215W,YPR166C
YBR282W,YDR405W
YDR121W,YJL065C
YER029C,YLR147C
YDR299W,YER127W
Q0105,YJL166W
YLR246W,YOL110W
YDR255C,YIL097W
YCR009C,YDR388W
YBR002C,YDL193W
YIL093C,YJR101W
YCR003W,YJL063C
YGR076C,YML009C
YMR024W,YPR100W
YKR081C,YOR294W
YAR008W,YPL083C
YML014W,YNR046W
YBL080C,YMR293C
YBR120C,YPL215W
YJL035C,YLR316C
YGR285C,YHR064C
YDR367W,YKL004W
YDR228C,YOR250C
YDR237W,YDR462W
Q0105,YDR529C
YHL004W,YIL093C
YJL096W,YPR100W
YGR181W,YJR135WA
YKR038C,YKR095WA
YKL206C,YLR199C
YMR125W,YPL178W
YNL081C,YNR037C
YLR405W,YPL108W
YLR312WA,YMR024W
YKL138C,YMR286W
YDR175C,YGR215W
YJL125C,YNL062C
YOL076W,YPR131C
YBL002W,YBL003C
YOL111C,YOR164C
YKL141W,YOR297C
YIL093C,YPL118W
YKR006C,YPR100W
YBL021C,YOR358W
YDR245W,YJL183W
YGR143W,YJL174W
YEL044W,YNL059C
YBR221C,YER178W
YDR362C,YPL007C
YDL207W,YDR192C
YLR170C,YPR029C
YKR068C,YOR115C
YKR006C,YML025C
YFR004W,YIL075C
YDL165W,YPR072W
YBR254C,YDR108W
YNL230C,YPL046C
YNR046W,YOL124C
YDL166C,YJL191W
YOR158W,YPL013C
YCR047C,YNR046W
YCL017C,YER048WA
YDR123C,YOL108C
YDL006W,YDR162C
YDL160CA,YOL086WA
YER029C,YGR074W
YDR388W,YGL090W
YDL002C,YPL235W
YNL025C,YPL042C
YLR417W,YPL002C
YHL001W,YOR312C
YDL111C,YHR069C
YER082C,YLL011W
YAR008W,YMR059W
YBR122C,YNL252C
YGR063C,YML010W
YJR102C,YLR417W
YGR255C,YOL096C
YJR088C,YKL207W
YFL022C,YLR060W
YDL105W,YDR288W
YBR257W,YIR015W
YMR240C,YOR319W
YDR176W,YDR448W
YGR262C,YML036W
YGR158C,YNL232W
YNL287W,YPL010W
YIL027C,YLL014W
YGL112C,YMR236W
YJL006C,YML112W
YGR002C,YNL107W
YDR116C,YKL167C
YDL030W,YJL203W
YGR095C,YOL142W
YIL062C,YKL013C
YHR051W,YNL052W
YDR064W,YNL308C
YDR337W,YMR188C
YGR074W,YLR275W
YGR083C,YLR291C
YKL172W,YOL077C
YJL096W,YMR286W
YKL058W,YOR194C
YDR397C,YER159C
YBR251W,YDR175C
YLL045C,YMR121C
YOR069W,YOR132W
YER050C,YPL118W
YKL141W,YLL041C
Q0275,YGL191W
YDR322W,YNL005C
YPL210C,YPL243W
YER090W,YKL211C
YJR104C,YMR038C
YHR187W,YMR312W
YDR320CA,YKL138CA
YHR188C,YLR459W
YHR148W,YJR002W
YCL052C,YJR013W
YIL034C,YKL007W
YGL105W,YGR264C
YBL041W,YFR050C
