"orf_name_a" "gene_name_a" "orf_name_b" "gene_name_b" "n_publications" "n_methods" "n_evidence" "Zone" "GI_PCC" "CS_PCC" "GE_PCC"
"1" "Q0105" "COB" "YOR065W" "CYT1" 2 2 2 "C" NA NA NA
"2" "Q0120" "BI4" "YLR382C" "NAM2" 3 2 4 "D" NA NA NA
"3" "Q0130" "OLI1" "Q0130" "OLI1" 3 2 3 "D" NA NA NA
"4" "Q0250" "COX2" "YDR231C" "COX20" 4 4 5 "D" NA NA NA
"5" "R0020C" "REP1" "R0020C" "REP1" 1 3 3 "D" NA NA NA
"6" "R0020C" "REP1" "R0040C" "REP2" 1 3 3 "D" NA NA NA
"7" "R0040C" "REP2" "R0040C" "REP2" 1 3 3 "D" NA NA NA
"8" "YAL002W" "VPS8" "YDL077C" "VAM6" 2 2 2 "A" 0.19979 0.424323129239061 0.5025
"9" "YAL002W" "VPS8" "YKR014C" "YPT52" 2 1 2 "B" 0.0996 0.0879520120037441 0.2381
"10" "YAL002W" "VPS8" "YLR148W" "PEP3" 4 3 5 "A" 0.14031 NA 0.3111
"11" "YAL002W" "VPS8" "YLR396C" "VPS33" 5 2 5 "A" 0.25776 NA 0.4894
"12" "YAL002W" "VPS8" "YMR231W" "PEP5" 6 2 7 "A" 0.14985 NA 0.4762
"13" "YAL002W" "VPS8" "YOR089C" "VPS21" 7 3 8 "C" 0.35036 0.701871325544071 0.1424
"14" "YAL003W" "EFB1" "YKL081W" "TEF4" 1 2 2 "A" NA NA 0.5935
"15" "YAL003W" "EFB1" "YLR249W" "YEF3" 1 2 2 "C" NA NA 0.6132
"16" "YAL005C" "SSA1" "YCL032W" "STE50" 2 2 2 "C" -0.02329 -0.217227592576255 NA
"17" "YAL005C" "SSA1" "YDL127W" "PCL2" 1 2 2 "B" -0.02926 0.101389276516457 NA
"18" "YAL005C" "SSA1" "YER059W" "PCL6" 2 2 2 "B" 0.05166 0.262877956213369 NA
"19" "YAL005C" "SSA1" "YGL215W" "CLG1" 1 2 2 "B" 0.01978 -0.314066729811094 NA
"20" "YAL005C" "SSA1" "YHR023W" "MYO1" 2 3 3 "B" NA NA NA
"21" "YAL005C" "SSA1" "YHR117W" "TOM71" 3 2 3 "C" 0.00288 -0.0825657507609138 NA
"22" "YAL005C" "SSA1" "YIL050W" "PCL7" 2 2 2 "B" -0.01423 -0.185443976226187 NA
"23" "YAL005C" "SSA1" "YLR078C" "BOS1" 2 3 3 "C" 0.01973 NA NA
"24" "YAL005C" "SSA1" "YMR229C" "RRP5" 3 3 3 "B" 0.03366 NA NA
"25" "YAL005C" "SSA1" "YNL124W" "NAF1" 2 2 2 "C" NA NA NA
"26" "YAL005C" "SSA1" "YNL289W" "PCL1" 1 2 2 "B" NA 0.325223377100579 NA
"27" "YAL005C" "SSA1" "YOR027W" "STI1" 7 5 9 "B" -0.04461 -0.168529953473024 NA
"28" "YAL005C" "SSA1" "YPL106C" "SSE1" 13 10 21 "C" -0.03378 NA NA
"29" "YAL007C" "ERP2" "YGL200C" "EMP24" 2 2 2 "A" 0.01064 0.162930367824146 0.6755
"30" "YAL007C" "ERP2" "YHR110W" "ERP5" 2 2 2 "B" -0.00185 -0.149303277872444 0.3183
"31" "YAL007C" "ERP2" "YOR016C" "ERP4" 2 2 2 "C" 0.01613 0.159572005986929 0.5144
"32" "YAL011W" "SWC3" "YDR190C" "RVB1" 3 5 5 "A" -0.00037 NA 0.3103
"33" "YAL011W" "SWC3" "YFL039C" "ACT1" 3 4 4 "A" 0.0106 NA 0.0332
"34" "YAL011W" "SWC3" "YHR158C" "KEL1" 2 1 2 "B" -0.03211 0.145233311422824 NA
"35" "YAL011W" "SWC3" "YLR399C" "BDF1" 2 2 2 "A" 0.12795 NA 0.3834
"36" "YAL011W" "SWC3" "YOR127W" "RGA1" 2 1 2 "B" -0.06111 0.215554141286139 0.3471
"37" "YAL011W" "SWC3" "YOR269W" "PAC1" 2 1 2 "C" 0.02998 0.0185230669157263 0.3354
"38" "YAL014C" "SYN8" "YER133W" "GLC7" 3 2 3 "C" -0.12034 NA 0.0686
"39" "YAL016W" "TPD3" "YML109W" "ZDS2" 2 2 2 "A" NA NA 0.2147
"40" "YAL016W" "TPD3" "YNL127W" "FAR11" 2 2 2 "B" NA NA 0.3381
"41" "YAL019W" "FUN30" "YDR225W" "HTA1" 2 2 2 "C" 0.01182 0.141425969511464 0.2394
"42" "YAL019W" "FUN30" "YJL090C" "DPB11" 1 2 2 "C" 0.03211 NA 0.364
"43" "YAL020C" "ATS1" "YBL071W-A" "KTI11" 5 7 11 "C" 0.12508 NA NA
"44" "YAL020C" "ATS1" "YKR048C" "NAP1" 2 2 3 "C" 0.04546 0.184034153112895 NA
"45" "YAL021C" "CCR4" "YCR093W" "CDC39" 11 5 12 "A" 0.24974 NA 0.4453
"46" "YAL021C" "CCR4" "YDR443C" "SSN2" 2 2 3 "B" 0.03625 0.149730435205827 0.533
"47" "YAL021C" "CCR4" "YFL028C" "CAF16" 2 2 2 "B" -0.01482 -0.0969802212934051 0.1813
"48" "YAL021C" "CCR4" "YGR092W" "DBF2" 4 2 5 "C" -0.00451 0.248443244377257 0.2434
"49" "YAL021C" "CCR4" "YKR036C" "CAF4" 2 2 2 "B" -0.01278 -0.162139069651029 NA
"50" "YAL021C" "CCR4" "YML098W" "TAF13" 2 2 2 "B" -0.04129 NA 0.3016
"51" "YAL021C" "CCR4" "YNL025C" "SSN8" 2 2 2 "B" -0.03083 NA 0.1936
"52" "YAL021C" "CCR4" "YNR052C" "POP2" 16 7 22 "A" NA NA 0.2244
"53" "YAL023C" "PMT2" "YDL093W" "PMT5" 1 2 2 "D" 0.02099 NA NA
"54" "YAL023C" "PMT2" "YDL095W" "PMT1" 6 3 6 "D" 0.4517 NA 0.7839
"55" "YAL024C" "LTE1" "YBR160W" "CDC28" 2 2 2 "B" 0.12734 NA 0.3526
"56" "YAL024C" "LTE1" "YNL098C" "RAS2" 4 4 6 "C" 0.0299 0.113306550767085 0.0769
"57" "YAL025C" "MAK16" "YHR088W" "RPF1" 1 2 2 "C" 0.33263 NA NA
"58" "YAL025C" "MAK16" "YKL014C" "URB1" 1 3 3 "C" NA NA NA
"59" "YAL025C" "MAK16" "YLR002C" "NOC3" 1 2 2 "C" 0.14335 NA NA
"60" "YAL025C" "MAK16" "YLR276C" "DBP9" 1 3 3 "D" 0.18295 NA NA
"61" "YAL025C" "MAK16" "YNL002C" "RLP7" 1 2 2 "C" 0.2197 NA NA
"62" "YAL025C" "MAK16" "YOR206W" "NOC2" 2 3 3 "C" NA NA NA
"63" "YAL026C" "DRS2" "YBR164C" "ARL1" 1 2 2 "C" 0.09783 0.119735929998079 NA
"64" "YAL026C" "DRS2" "YCR094W" "CDC50" 10 7 12 "D" NA 0.596138345990025 NA
"65" "YAL026C" "DRS2" "YDR497C" "ITR1" 1 2 2 "D" -0.01499 -0.246716865909541 NA
"66" "YAL026C" "DRS2" "YEL022W" "GEA2" 2 2 3 "C" NA NA NA
"67" "YAL026C" "DRS2" "YJL153C" "INO1" 1 2 2 "D" -0.04012 0.0421054948234633 NA
"68" "YAL026C" "DRS2" "YJL204C" "RCY1" 2 3 3 "D" 0.20401 0.638612290543629 NA
"69" "YAL026C" "DRS2" "YKL212W" "SAC1" 1 2 2 "D" 0.05157 NA NA
"70" "YAL026C" "DRS2" "YML072C" "TCB3" 1 2 2 "D" -0.00802 -0.199132137974664 NA
"71" "YAL026C" "DRS2" "YNL321W" "VNX1" 1 2 2 "D" NA -0.0339851163159656 NA
"72" "YAL026C" "DRS2" "YNL323W" "LEM3" 3 3 3 "D" NA 0.127675761078042 NA
"73" "YAL027W" "SAW1" "YLR135W" "SLX4" 1 2 2 "C" 0.02318 0.383328156655252 0.3562
"74" "YAL027W" "SAW1" "YML095C" "RAD10" 2 3 3 "A" 0.04732 0.368682561434396 0.4893
"75" "YAL027W" "SAW1" "YPL022W" "RAD1" 6 4 8 "A" 0.0321 0.364463516976568 0.2881
"76" "YAL029C" "MYO4" "YBR130C" "SHE3" 15 7 19 "A" -0.00201 0.431626817225933 0.2396
"77" "YAL029C" "MYO4" "YKL130C" "SHE2" 8 4 9 "A" 0.01924 0.0807263426809204 0.3565
"78" "YAL029C" "MYO4" "YOR035C" "SHE4" 3 4 4 "C" 0.05213 NA -0.001
"79" "YAL030W" "SNC1" "YGR009C" "SEC9" 5 3 5 "A" 0.02917 NA NA
"80" "YAL030W" "SNC1" "YGR142W" "BTN2" 2 2 3 "C" -0.00389 0.28321346241194 NA
"81" "YAL030W" "SNC1" "YJL036W" "SNX4" 3 2 3 "B" 0.02817 -0.0240928163316017 NA
"82" "YAL030W" "SNC1" "YJL204C" "RCY1" 2 2 3 "C" 0.01215 0.0222511489580563 NA
"83" "YAL030W" "SNC1" "YPL232W" "SSO1" 6 4 6 "A" 0.04192 0.199865346871828 NA
"84" "YAL031C" "GIP4" "YCL027W" "FUS1" 2 2 2 "D" -0.04945 -0.0312882280049979 0.2916
"85" "YAL032C" "PRP45" "YDR416W" "SYF1" 2 2 2 "A" NA NA 0.5255
"86" "YAL032C" "PRP45" "YER013W" "PRP22" 3 3 3 "C" 0.34882 NA 0.5221
"87" "YAL032C" "PRP45" "YLR117C" "CLF1" 2 2 2 "A" 0.45336 NA 0.6061
"88" "YAL032C" "PRP45" "YLR424W" "SPP382" 2 3 3 "A" -0.00106 NA 0.4875
"89" "YAL032C" "PRP45" "YPL151C" "PRP46" 2 3 3 "A" 0.40908 NA 0.5737
"90" "YAL033W" "POP5" "YBL018C" "POP8" 2 2 2 "A" NA NA 0.568
"91" "YAL033W" "POP5" "YBR257W" "POP4" 5 4 5 "A" 0.01748 NA 0.27
"92" "YAL033W" "POP5" "YGR030C" "POP6" 2 2 2 "A" 0.34004 NA NA
"93" "YAL033W" "POP5" "YHR062C" "RPP1" 3 3 3 "A" -0.01241 NA 0.4341
"94" "YAL034W-A" "MTW1" "YBR211C" "AME1" 6 3 6 "B" 0.23743 NA 0.379
"95" "YAL034W-A" "MTW1" "YGR179C" "OKP1" 2 2 2 "B" 0.2318 NA 0.5985
"96" "YAL034W-A" "MTW1" "YIR010W" "DSN1" 18 8 20 "A" 0.256 NA 0.5157
"97" "YAL034W-A" "MTW1" "YJR112W" "NNF1" 7 5 7 "A" 0.1643 NA 0.4549
"98" "YAL034W-A" "MTW1" "YMR117C" "SPC24" 4 3 4 "B" 0.23245 NA 0.4033
"99" "YAL034W-A" "MTW1" "YOL069W" "NUF2" 2 2 2 "B" 0.09261 NA 0.4292
"100" "YAL035W" "FUN12" "YDL081C" "RPP1A" 1 2 2 "B" NA NA 0.3692
"101" "YAL035W" "FUN12" "YMR260C" "TIF11" 4 4 7 "C" NA NA 0.3456
"102" "YAL036C" "RBG1" "YDR152W" "GIR2" 1 2 2 "D" 0.00092 0.143303036908295 0.5904
"103" "YAL036C" "RBG1" "YOR091W" "TMA46" 6 4 7 "D" -0.01861 0.107223216758813 NA
"104" "YAL038W" "CDC19" "YDR510W" "SMT3" 2 2 2 "D" 0.01726 NA 0.3337
"105" "YAL038W" "CDC19" "YHR023W" "MYO1" 1 2 2 "C" NA NA 0.0245
"106" "YAL038W" "CDC19" "YNL307C" "MCK1" 1 2 2 "D" -0.0152 NA 0.2257
"107" "YAL040C" "CLN3" "YBR160W" "CDC28" 13 6 14 "C" 0.07192 NA 0.2164
"108" "YAL040C" "CLN3" "YPL014W" "CIP1" 2 2 2 "D" -0.02184 -0.00161481938712727 NA
"109" "YAL041W" "CDC24" "YBL085W" "BOI1" 3 3 3 "C" 0.04241 NA 0.3188
"110" "YAL041W" "CDC24" "YBR200W" "BEM1" 22 8 29 "A" 0.02752 NA 0.5125
"111" "YAL041W" "CDC24" "YER114C" "BOI2" 2 2 2 "C" 0.11757 NA 0.4334
"112" "YAL041W" "CDC24" "YGR152C" "RSR1" 6 3 6 "B" 0.04119 NA 0.0975
"113" "YAL041W" "CDC24" "YGR221C" "TOS2" 2 1 2 "A" 0.03152 NA NA
"114" "YAL041W" "CDC24" "YHL007C" "STE20" 2 2 2 "C" NA NA 0.4929
"115" "YAL041W" "CDC24" "YIL079C" "AIR1" 2 1 2 "B" -0.00344 NA 0.2246
"116" "YAL041W" "CDC24" "YJL157C" "FAR1" 8 4 10 "A" NA NA NA
"117" "YAL041W" "CDC24" "YJL187C" "SWE1" 2 1 2 "C" 0.0175 NA 0.2518
"118" "YAL041W" "CDC24" "YLR206W" "ENT2" 2 1 2 "C" -0.01153 NA 0.4838
"119" "YAL041W" "CDC24" "YLR229C" "CDC42" 9 5 10 "A" 0.15166 NA 0.2058
"120" "YAL041W" "CDC24" "YOL070C" "NBA1" 1 2 2 "C" 0.00949 NA 0.3461
"121" "YAL041W" "CDC24" "YOR212W" "STE4" 5 3 7 "A" NA NA 0.1942
"122" "YAL041W" "CDC24" "YPL161C" "BEM4" 2 2 2 "A" 0.10498 NA 0.3401
"123" "YAL042W" "ERV46" "YML067C" "ERV41" 4 3 4 "A" 0.12145 0.657005062796662 0.2258
"124" "YAL043C" "PTA1" "YGR156W" "PTI1" 6 3 7 "A" NA NA 0.4376
"125" "YAL043C" "PTA1" "YKR002W" "PAP1" 9 4 10 "A" 0.03847 NA 0.4834
"126" "YAL043C" "PTA1" "YLR277C" "YSH1" 8 3 8 "A" NA NA 0.5318
"127" "YAL043C" "PTA1" "YNL222W" "SSU72" 8 5 11 "A" 0.27744 NA 0.2619
"128" "YAL047C" "SPC72" "YAL047C" "SPC72" 4 4 5 "A" NA NA NA
"129" "YAL047C" "SPC72" "YEL061C" "CIN8" 2 1 2 "B" NA NA NA
"130" "YAL047C" "SPC72" "YGL212W" "VAM7" 2 2 2 "C" NA NA NA
"131" "YAL047C" "SPC72" "YGR218W" "CRM1" 2 2 3 "B" NA NA NA
