A,B
Q0045,YLR163C
Q0045,Q0050
Q0050,YLR395C
Q0050,YGL191W
Q0050,YHR051W
Q0050,Q0250
Q0050,YGL187C
Q0050,YMR256C
Q0050,YLR038C
Q0050,YDL067C
Q0050,Q0275
Q0050,Q0045
Q0050,YNL052W
Q0060,YEL024W
Q0060,YFR033C
Q0060,YGR183C
Q0060,YLR163C
Q0060,YJL166W
Q0060,YLR038C
Q0060,YGL187C
Q0065,YGR183C
Q0065,YJL166W
Q0065,YLR163C
Q0065,YFR033C
Q0065,YEL024W
Q0065,YLR038C
Q0065,YGL187C
Q0070,YFR033C
Q0070,YEL024W
Q0070,YJL166W
Q0070,YLR163C
Q0070,YGR183C
Q0070,YGL187C
Q0070,YLR038C
Q0080,YGR020C
Q0080,YEL051W
Q0080,YPR036W
Q0080,YOR332W
Q0080,YHR026W
Q0080,YDL185W
Q0080,YCL005WA
Q0080,YBR127C
Q0080,YOR270C
Q0080,YMR054W
Q0080,YKL080W
Q0080,YLR447C
Q0080,YEL027W
Q0080,YPR020W
Q0080,YPL234C
Q0080,YDR322CA
Q0080,YHR039CA
Q0085,YOR270C
Q0085,YER154W
Q0085,YJR119C
Q0085,YCL005WA
Q0085,YMR176W
Q0085,YDR322CA
Q0105,Q0120
Q0105,YNR018W
Q0105,YEL039C
Q0105,YJR048W
Q0110,YDR529C
Q0110,YFR033C
Q0110,YGR183C
Q0110,YJL166W
Q0110,YLR163C
Q0115,YGR183C
Q0115,YLR163C
Q0115,YJL166W
Q0115,YDR529C
Q0115,YFR033C
Q0120,YHR001WA
Q0120,Q0105
Q0120,YBL045C
Q0130,YOR332W
Q0130,YEL051W
Q0130,YPR036W
Q0130,YGR020C
Q0130,YBR127C
Q0130,YHR026W
Q0130,YDL185W
Q0130,YCL005WA
Q0130,YDR322CA
Q0130,YHR039CA
Q0130,YEL027W
Q0130,YKL080W
Q0130,YMR054W
Q0130,YOR270C
Q0130,YLR447C
Q0130,YPL234C
Q0140,YNL081C
Q0140,YLR439W
Q0140,YNL252C
Q0140,YPR100W
Q0140,YNR022C
Q0140,YDR296W
Q0140,YPL173W
Q0140,YDR115W
Q0140,YKR006C
Q0140,YNL284C
Q0140,YFR049W
Q0140,YKR085C
Q0140,YMR024W
Q0140,YHR147C
Q0140,YJL063C
Q0140,YJL096W
Q0140,YEL050C
Q0140,YDR322W
Q0140,YCR046C
Q0140,YKL170W
Q0140,YBR282W
Q0140,YMR193W
Q0140,YGR220C
Q0140,YDR462W
Q0140,YML025C
Q0140,YKL138C
Q0140,YDR036C
Q0140,YDR405W
Q0140,YLR312WA
Q0140,YBL038W
Q0140,YBR122C
Q0140,YNL177C
Q0140,YMR286W
Q0140,YGR076C
Q0140,YDR237W
Q0140,YHR059W
Q0140,YCR003W
Q0140,YCR071C
Q0140,YML009C
Q0140,YNL122C
Q0140,YNL005C
Q0140,YPL183WA
Q0140,YOR150W
Q0250,YNR018W
Q0250,Q0050
Q0250,YJR048W
Q0250,YGL226W
Q0250,YBR037C
Q0250,YEL039C
Q0250,YDR231C
Q0250,YKL192C
Q0250,YBR024W
Q0275,Q0050
Q0275,YNR018W
Q0275,YLR163C
YAL001C,YPR186C
YAL003W,YDL081C
YAL003W,YGL123W
YAL003W,YIR038C
YAL003W,YLR075W
YAL003W,YGL103W
YAL003W,YJR123W
YAL003W,YBL092W
