A,B
Q0045,YGL187C
Q0045,YHR051W
Q0045,YIL111W
Q0045,YNL052W
Q0045,YLR038C
Q0045,YNR018W
Q0045,YHR001WA
Q0045,YLR395C
Q0045,Q0275
Q0045,YDL067C
Q0045,YMR256C
Q0045,YPR191W
Q0045,YFR033C
Q0045,YGL191W
Q0045,YEL024W
Q0045,YOR065W
Q0045,YDR529C
Q0045,Q0105
Q0045,YDR119WA
Q0045,Q0250
Q0045,YBL045C
Q0045,YJL166W
Q0045,YGR183C
Q0060,Q0250
Q0060,YHR051W
Q0060,Q0275
Q0065,Q0250
Q0065,Q0275
Q0065,YHR051W
Q0070,Q0275
Q0070,Q0250
Q0070,YHR051W
Q0080,YPL271W
Q0080,Q0085
Q0080,YJR121W
Q0080,YDR298C
Q0080,YPL078C
Q0080,YDR377W
Q0080,YKL016C
Q0080,YDL004W
Q0080,YBL099W
Q0080,Q0130
Q0080,YBR039W
Q0080,YOL077WA
Q0080,YML081CA
Q0080,YLR295C
Q0085,YHR039CA
Q0085,YPL271W
Q0085,YEL051W
Q0085,YPR036W
Q0085,YGR020C
Q0085,YOR332W
Q0085,YKL016C
Q0085,YLR447C
Q0085,YOL077WA
Q0085,YPL234C
Q0085,YLR295C
Q0085,YJR121W
Q0085,YDL185W
Q0085,YHR026W
Q0085,YDR298C
Q0085,YPL078C
Q0085,YDR377W
Q0085,YBR127C
Q0085,YDL004W
Q0085,YMR054W
Q0085,YBL099W
Q0085,Q0130
Q0085,YBR039W
Q0085,YKL080W
Q0085,Q0080
Q0085,YML081CA
Q0085,YPR020W
Q0085,YEL027W
Q0105,YGR183C
Q0105,YHR051W
Q0105,YIL111W
Q0105,YGL187C
Q0105,YLR038C
Q0105,Q0045
Q0105,YNL052W
Q0105,YLR395C
Q0105,YHR001WA
Q0105,YPR191W
Q0105,YDL067C
Q0105,Q0275
Q0105,YMR256C
Q0105,YGL191W
Q0105,YEL024W
Q0105,YFR033C
Q0105,YDR529C
Q0105,YOR065W
Q0105,YJL166W
Q0105,YLR163C
Q0105,YBL045C
Q0105,Q0250
Q0105,YDR119WA
Q0110,YOR065W
Q0110,YEL024W
Q0115,YOR065W
Q0115,YEL024W
Q0120,YEL024W
Q0120,YPR191W
Q0120,YGR183C
Q0120,YJL166W
Q0120,YLR163C
Q0120,YDR529C
Q0120,YOR065W
Q0120,YFR033C
Q0130,Q0085
Q0130,YDR377W
Q0130,YDL004W
Q0130,YJR121W
Q0130,YDR298C
Q0130,YPL078C
Q0130,YPL271W
Q0130,YML081CA
Q0130,YPR020W
Q0130,YBR039W
Q0130,Q0080
Q0130,YBL099W
Q0130,YKL016C
Q0130,YOL077WA
Q0130,YLR295C
Q0140,YDL045WA
Q0140,YMR158W
Q0140,YOR158W
Q0140,YGR165W
Q0140,YBL090W
Q0140,YNR036C
Q0140,YGL129C
Q0140,YDR347W
Q0140,YPL118W
Q0140,YHL004W
Q0140,YNL137C
Q0140,YDR337W
Q0140,YBR146W
Q0140,YKL003C
Q0140,YJR113C
Q0140,YPR166C
Q0140,YDR175C
Q0140,YIL093C
Q0140,YGR215W
Q0140,YJR101W
Q0140,YER050C
Q0140,YGR084C
Q0140,YPL013C
Q0140,YKL155C
Q0140,YNR037C
Q0140,YDR494W
Q0140,YMR188C
Q0140,YHR075C
Q0140,YNL306W
Q0140,YDR041W
Q0140,YBR251W
Q0250,YIL111W
Q0250,YGR183C
Q0250,YEL024W
Q0250,YDL067C
Q0250,YLR038C
Q0250,YNL052W
Q0250,YGL187C
Q0250,YBL045C
Q0250,YHR001WA
Q0250,Q0275
Q0250,Q0045
Q0250,YHR051W
Q0250,YDR119WA
Q0250,Q0070
Q0250,YDR529C
Q0250,Q0060
Q0250,YFR033C
Q0250,YLR395C
Q0250,Q0065
Q0250,YOR065W
Q0250,YPR191W
Q0250,YMR256C
Q0250,YLR163C
Q0250,YJL166W
Q0250,Q0105
Q0250,YGL191W
Q0275,YPR191W
Q0275,YGR183C
Q0275,Q0060
Q0275,YFR033C
Q0275,YGL187C
Q0275,YLR038C
Q0275,YGL191W
Q0275,YDR529C
Q0275,YOR065W
Q0275,YNL052W
Q0275,Q0045
Q0275,YLR395C
Q0275,YBL045C
Q0275,YJL166W
Q0275,Q0065
Q0275,Q0105
Q0275,YHR001WA
Q0275,Q0250
Q0275,YDR119WA
Q0275,Q0070
Q0275,YDL067C
Q0275,YEL024W
Q0275,YHR051W
Q0275,YIL111W
Q0275,YMR256C
YAL001C,YNL039W
YAL001C,YGR246C
YAL001C,YOR110W
YAL001C,YGR047C
YAL001C,YPL007C
YAL001C,YDR362C
YAL001C,YBR123C
YAL001C,YER148W
YAL002W,YLR396C
YAL002W,YDL077C
YAL002W,YDR495C
YAL002W,YPL045W
YAL002W,YOR089C
YAL002W,YLR148W
YAL002W,YMR231W
YAL002W,YKR014C
YAL003W,YBR118W
YAL003W,YKL056C
YAL003W,YKL081W
YAL003W,YPL048W
YAL003W,YPR080W
YAL003W,YGR201C
YAL005C,YPL106C
YAL005C,YNL064C
YAL005C,YHR117W
YAL005C,YOR027W
YAL005C,YLL024C
YAL005C,YMR186W
YAL005C,YPL240C
YAL005C,YJL034W
YAL005C,YNL007C
YAL007C,YML012W
YAL009W,YHR004C
YAL010C,YNL026W
YAL010C,YOL009C
YAL010C,YGL219C
YAL010C,YMR203W
YAL010C,YLL006W
YAL011W,YNL107W
YAL011W,YPL129W
YAL011W,YDR485C
YAL011W,YDL002C
YAL011W,YLR052W
YAL011W,YDR334W
YAL011W,YJL081C
YAL011W,YNL059C
YAL011W,YDR190C
YAL011W,YOR189W
YAL011W,YML041C
YAL011W,YFL039C
YAL011W,YLR385C
YAL011W,YPL235W
YAL011W,YLR399C
YAL011W,YFL013C
YAL011W,YGR002C
YAL011W,YLR085C
YAL011W,YBR231C
YAL011W,YGL150C
YAL013W,YMR075W
YAL013W,YPL139C
YAL013W,YKL185W
YAL013W,YKR029C
YAL013W,YBR095C
YAL013W,YLR183C
YAL013W,YCR033W
YAL013W,YOL004W
YAL013W,YNL330C
YAL013W,YNL097C
YAL013W,YBR103W
YAL013W,YER088C
YAL013W,YGL194C
YAL013W,YPR023C
YAL013W,YMR053C
YAL013W,YDR207C
YAL013W,YNL309W
YAL013W,YPL181W
YAL013W,YMR263W
YAL013W,YBL054W
YAL013W,YIL084C
YAL013W,YDL076C
YAL016W,YOR178C
YAL016W,YOR014W
YAL016W,YKL193C
YAL016W,YDL047W
YAL016W,YIL153W
YAL016W,YDL188C
YAL016W,YDR028C
YAL016W,YKL190W
YAL016W,YML057W
YAL016W,YDR075W
YAL016W,YGL190C
YAL016W,YNL201C
YAL016W,YER133W
