ORF1	NAME1	ORF2	NAME2
YLR100W	ERG27	YLR144C	ACF2
YDL222C	FMP45	YKL094W	YJU3
YLR332W	MID2	YMR212C	EFR3
YKL051W	SFK1	YLR332W	MID2
YFR051C	RET2	YLR083C	EMP70
YBR106W	PHO88	YMR149W	SWP1
YLR079W	SIC1	YLR345W	YLR345W
YDL125C	HNT1	YDL125C	HNT1
YDR293C	SSD1	YPL119C	DBP1
YDR011W	SNQ2	YDR011W	SNQ2
YNL078W	NIS1	YOR393W	ERR1
YOR341W	RPA190	YPR110C	RPC40
YGR055W	MUP1	YGR055W	MUP1
YBR106W	PHO88	YIL027C	KRE27
YBR267W	REI1	YGL099W	LSG1
YGL006W	PMC1	YKR007W	MEH1
YDR264C	AKR1	YIL048W	NEO1
YAR002C-A	ERP1	YHR123W	EPT1
YBR264C	YPT10	YER136W	GDI1
YKL013C	ARC19	YLR370C	ARC18
YKR089C	TGL4	YLR144C	ACF2
YGR054W	YGR054W	YGR054W	YGR054W
YHR108W	GGA2	YOR109W	INP53
YLR110C	CCW12	YLR350W	ORM2
YMR070W	MOT3	YMR070W	MOT3
YFL048C	EMP47	YML067C	ERV41
YDR398W	UTP5	YGR128C	UTP8
YAR002C-A	ERP1	YBR106W	PHO88
YLL028W	TPO1	YOR153W	PDR5
YHR094C	HXT1	YJL151C	SNA3
YJL153C	INO1	YMR120C	ADE17
YER068W	MOT2	YJR091C	JSN1
YML072C	TCB3	YPL221W	FLC1
YNL130C	CPT1	YPL246C	RBD2
YDR190C	RVB1	YHR034C	PIH1
YDL168W	SFA1	YLR077W	YLR077W
YGL002W	ERP6	YML012W	ERV25
YNL031C	HHT2	YPL127C	HHO1
YER090W	TRP2	YGL137W	SEC27
YNL265C	IST1	YNL265C	IST1
YDR324C	UTP4	YJL069C	UTP18
YEL051W	VMA8	YJL153C	INO1
YGR284C	ERV29	YML016C	PPZ1
YKL002W	DID4	YKL002W	DID4
YLR450W	HMG2	YPL139C	UME1
YGL137W	SEC27	YOR327C	SNC2
YBL039C	URA7	YLR027C	AAT2
YDR541C	YDR541C	YGL133W	ITC1
YGL056C	SDS23	YIL121W	QDR2
YBR296C-A	YBR296C-A	YJL030W	MAD2
YGL137W	SEC27	YGR037C	ACB1
YIL121W	QDR2	YML072C	TCB3
YBR002C	RER2	YPR113W	PIS1
YIL027C	KRE27	YOL005C	RPB11
YDL192W	ARF1	YOL137W	BSC6
YDR105C	TMS1	YJL178C	ATG27
YGL207W	SPT16	YNR065C	YNR065C
YGL001C	ERG26	YML012W	ERV25
YER118C	SHO1	YGL203C	KEX1
YCL037C	SRO9	YGL014W	PUF4
YML072C	TCB3	YML072C	TCB3
YML086C	ALO1	YMR120C	ADE17
YDR100W	TVP15	YGL137W	SEC27
YGL055W	OLE1	YGL055W	OLE1
YBL071W-A	KTI11	YGR200C	ELP2
YER020W	GPA2	YPR138C	MEP3
YDL204W	RTN2	YHR007C	ERG11
YEL051W	VMA8	YJL151C	SNA3
YBR234C	ARC40	YLR370C	ARC18
YCR021C	HSP30	YGR130C	YGR130C
YCR028C-A	RIM1	YDL222C	FMP45
YGL137W	SEC27	YNL138W	SRV2
YER020W	GPA2	YOR273C	TPO4
YAR002C-A	ERP1	YOL005C	RPB11
YGR159C	NSR1	YNL112W	DBP2
YKL051W	SFK1	YOR153W	PDR5
YJR108W	ABM1	YOR393W	ERR1
YDL165W	CDC36	YIL038C	NOT3
YGL077C	HNM1	YPR156C	TPO3
YBR207W	FTH1	YNL238W	KEX2
YLR033W	RSC58	YPL227C	ALG5
YER002W	NOP16	YOL077C	BRX1
YJL151C	SNA3	YPL058C	PDR12
YFR001W	LOC1	YNL186W	UBP10
YBR207W	FTH1	YOR316C	COT1
YLR258W	GSY2	YLR258W	GSY2
YDR293C	SSD1	YPL004C	LSP1
YJL151C	SNA3	YML013W	SEL1
YDL085W	NDE2	YDL198C	GGC1
YIL027C	KRE27	YJL192C	SOP4
YNL288W	CAF40	YPR042C	PUF2
YGR284C	ERV29	YML012W	ERV25
YBR006W	UGA2	YBR006W	UGA2
YFR004W	RPN11	YOR261C	RPN8
YGR065C	VHT1	YPL058C	PDR12
YDR238C	SEC26	YJL151C	SNA3
YGL203C	KEX1	YJL053W	PEP8
YLR033W	RSC58	YPL117C	IDI1
YLR350W	ORM2	YMR149W	SWP1
YGL137W	SEC27	YOR323C	PRO2
YHR072W	ERG7	YKL140W	TGL1
YHR039C	MSC7	YML012W	ERV25
YDR380W	ARO10	YIL034C	CAP2
YDR141C	DOP1	YGL203C	KEX1
YGR281W	YOR1	YPL058C	PDR12
YGR113W	DAM1	YGR161C	RTS3
YGR020C	VMA7	YGR037C	ACB1
YCR094W	CDC50	YFL047W	RGD2
YGL006W	PMC1	YGR163W	GTR2
YIR026C	YVH1	YKL051W	SFK1
YIL027C	KRE27	YLR350W	ORM2
YIL038C	NOT3	YNL197C	WHI3
YGR169C-A	YGR169C-A	YPL004C	LSP1
YCL021W-A	YCL021W-A	YFR025C	HIS2
YHR175W	CTR2	YPL246C	RBD2
YDL123W	SNA4	YGL006W	PMC1
YNL307C	MCK1	YOL147C	PEX11
YDR100W	TVP15	YJL178C	ATG27
YMR120C	ADE17	YOR133W	EFT1
YBR244W	GPX2	YPR156C	TPO3
YDR293C	SSD1	YDR293C	SSD1
YBL028C	YBL028C	YKL172W	EBP2
YKL096W-A	CWP2	YML086C	ALO1
YBR106W	PHO88	YNL336W	COS1
YER157W	COG3	YER157W	COG3
YDL222C	FMP45	YGR121C	MEP1
YFL038C	YPT1	YOL125W	YOL125W
YBR222C	PCS60	YBR222C	PCS60
YGR060W	ERG25	YML016C	PPZ1
YIL021W	RPB3	YOL005C	RPB11
YJL151C	SNA3	YMR296C	LCB1
YGL077C	HNM1	YPL265W	DIP5
YJR118C	ILM1	YOR054C	VHS3
YAR002C-A	ERP1	YLR350W	ORM2
YHR194W	MDM31	YPL117C	IDI1
YJL151C	SNA3	YKR007W	MEH1
YDR150W	NUM1	YLR084C	RAX2
YDR394W	RPT3	YGR232W	NAS6
YCR028C-A	RIM1	YCR093W	CDC39
YGL006W	PMC1	YOL129W	VPS68
YLR345W	YLR345W	YMR261C	TPS3
YDR497C	ITR1	YGR130C	YGR130C
YFL005W	SEC4	YOR370C	MRS6
YDL222C	FMP45	YLR219W	MSC3
YKL067W	YNK1	YKL067W	YNK1
YDR100W	TVP15	YDR264C	AKR1
YIR038C	GTT1	YPL246C	RBD2
YCR043C	YCR043C	YJL151C	SNA3
YBL007C	SLA1	YBL007C	SLA1
YGL210W	YPT32	YML086C	ALO1
YBR214W	SDS24	YFR040W	SAP155
YNL313C	YNL313C	YOR133W	EFT1
YCR021C	HSP30	YLR332W	MID2
YIL105C	SLM1	YIL105C	SLM1
YDR388W	RVS167	YLR337C	VRP1
YJR122W	CAF17	YNL295W	YNL295W
YGL077C	HNM1	YGL203C	KEX1
YOR145C	PNO1	YPL263C	KEL3
YGR284C	ERV29	YMR292W	GOT1
YBR207W	FTH1	YJL178C	ATG27
YDL222C	FMP45	YLR326W	YLR326W
YDL236W	PHO13	YLR420W	URA4
YNL112W	DBP2	YNL255C	GIS2
YGR060W	ERG25	YML012W	ERV25
YBR207W	FTH1	YGR020C	VMA7
YBR041W	FAT1	YDL052C	SLC1
YCL037C	SRO9	YER112W	LSM4
YBR283C	SSH1	YPR113W	PIS1
YHR089C	GAR1	YHR089C	GAR1
YHR052W	CIC1	YLR196W	PWP1
YLR378C	SEC61	YML012W	ERV25
YHR039C	MSC7	YMR292W	GOT1
YGR065C	VHT1	YLR413W	YLR413W
YCR030C	SYP1	YDR032C	PST2
YBR154C	RPB5	YPR133C	SPN1
YCR093W	CDC39	YPR072W	NOT5
YBR177C	EHT1	YIL124W	AYR1
YDR507C	GIN4	YPL058C	PDR12
YHR114W	BZZ1	YLR337C	VRP1
YOR117W	RPT5	YOR259C	RPT4
YBR296C-A	YBR296C-A	YJL092W	HPR5
YBR234C	ARC40	YDR129C	SAC6
YGL203C	KEX1	YKR088C	TVP38
YIL009W	FAA3	YPL058C	PDR12
YDL123W	SNA4	YJL154C	VPS35
YLR337C	VRP1	YNL243W	SLA2
YDR264C	AKR1	YOR104W	PIN2
YGL002W	ERP6	YOR016C	ERP4
YDL224C	WHI4	YNL288W	CAF40
YBL034C	STU1	YOL069W	NUF2
YDL182W	LYS20	YDL182W	LYS20
YDR501W	PLM2	YHR094C	HXT1
YEL039C	CYC7	YNL229C	URE2
YER090W	TRP2	YJL060W	BNA3
YBR288C	APM3	YBR288C	APM3
YBR041W	FAT1	YLL012W	YEH1
YDR398W	UTP5	YMR093W	UTP15
YKR035W-A	DID2	YLR025W	SNF7
YKR072C	SIS2	YML016C	PPZ1
YBL017C	PEP1	YMR010W	YMR010W
YCR093W	CDC39	YGL014W	PUF4
YGL048C	RPT6	YOR259C	RPT4
YGR055W	MUP1	YJL151C	SNA3
YJL060W	BNA3	YOR327C	SNC2
YER166W	DNF1	YIL068C	SEC6
YHL009C	YAP3	YLR336C	SGD1
YBL102W	SFT2	YFL048C	EMP47
YER035W	EDC2	YNL118C	DCP2
YDR497C	ITR1	YLR332W	MID2
YDL111C	RRP42	YGL120C	PRP43
YGR055W	MUP1	YGR065C	VHT1
YDL192W	ARF1	YHR094C	HXT1
YDR501W	PLM2	YML016C	PPZ1
YHR007C	ERG11	YLR332W	MID2
YER020W	GPA2	YGR138C	TPO2
YCR030C	SYP1	YGL077C	HNM1
YHR072W	ERG7	YKL094W	YJU3
YDL222C	FMP45	YDR032C	PST2
YAR002W	NUP60	YLR347C	KAP95
YCR028C-A	RIM1	YKL054C	DEF1
YGR055W	MUP1	YGR281W	YOR1
YLR332W	MID2	YOR104W	PIN2
YLL034C	RIX7	YLL034C	RIX7
YFR010W	UBP6	YMR136W	GAT2
YDR478W	SNM1	YOR393W	ERR1
YCR077C	PAT1	YDL165W	CDC36
YGR284C	ERV29	YOR016C	ERP4
YCR030C	SYP1	YNL283C	WSC2
YGR105W	VMA21	YMR123W	PKR1
YKL054C	DEF1	YNL118C	DCP2
YER057C	HMF1	YJL148W	RPA34
YBR023C	CHS3	YGL203C	KEX1
YDL213C	NOP6	YNL186W	UBP10
YER023W	PRO3	YGL137W	SEC27
YDR189W	SLY1	YJL151C	SNA3
YOR181W	LAS17	YOR181W	LAS17
YDL100C	GET3	YGL020C	GET1
YMR058W	FET3	YMR149W	SWP1
YAL053W	FLC2	YGL203C	KEX1
YDR501W	PLM2	YPL058C	PDR12
YBL029C-A	YBL029C-A	YDL222C	FMP45
YHR108W	GGA2	YPR029C	APL4
YHR008C	SOD2	YNL295W	YNL295W
YDL192W	ARF1	YMR010W	YMR010W
YCR021C	HSP30	YPR124W	CTR1
YNL197C	WHI3	YOR204W	DED1
YDL212W	SHR3	YGR191W	HIP1
YER112W	LSM4	YNL255C	GIS2
YCR028C-A	RIM1	YKL051W	SFK1
YNL116W	DMA2	YOR393W	ERR1
YGR105W	VMA21	YGR106C	YGR106C
YER082C	UTP7	YLL011W	SOF1
YAL021C	CCR4	YPR072W	NOT5
YBR283C	SSH1	YDL092W	SRP14
YEL061C	CIN8	YER042W	MXR1
YDR324C	UTP4	YJL109C	UTP10
YDL222C	FMP45	YGL077C	HNM1
YDR419W	RAD30	YMR161W	HLJ1
YBR296C-A	YBR296C-A	YOL077C	BRX1
YGR065C	VHT1	YML072C	TCB3
YNL016W	PUB1	YNL197C	WHI3
YGR080W	TWF1	YNL138W	SRV2
YJL153C	INO1	YOR120W	GCY1
YCR093W	CDC39	YNL288W	CAF40
YLR350W	ORM2	YML031W	NDC1
YBL039W-A	YBL039W-A	YPL186C	UIP4
YGR054W	YGR054W	YNR051C	BRE5
YHR094C	HXT1	YMR011W	HXT2
YDL055C	PSA1	YGR130C	YGR130C
YPL265W	DIP5	YPL265W	DIP5
YER145C	FTR1	YLR326W	YLR326W
YGL203C	KEX1	YGR229C	SMI1
YHR096C	HXT5	YPL058C	PDR12
YLL028W	TPO1	YLR219W	MSC3
YGL203C	KEX1	YPL221W	FLC1
YDL192W	ARF1	YML012W	ERV25
YGR281W	YOR1	YML072C	TCB3
YLR332W	MID2	YOL105C	WSC3
YLL043W	FPS1	YML016C	PPZ1
YDL222C	FMP45	YNL283C	WSC2
YCR043C	YCR043C	YDR503C	LPP1
YDR293C	SSD1	YJL153C	INO1
YHR001W	OSH7	YLR332W	MID2
YDL215C	GDH2	YLL001W	DNM1
YHR136C	SPL2	YOL138C	YOL138C
YBL102W	SFT2	YFL041W	FET5
YEL051W	VMA8	YGR105W	VMA21
YDL160C	DHH1	YOR204W	DED1
YDL160C	DHH1	YDR378C	LSM6
YML058W-A	HUG1	YMR105C	PGM2
YML012W	ERV25	YMR015C	ERG5
YBR215W	HPC2	YGL078C	DBP3
YBR154C	RPB5	YPR086W	SUA7
YAR002C-A	ERP1	YIL043C	CBR1
YGL014W	PUF4	YKL054C	DEF1
YML012W	ERV25	YMR123W	PKR1
YDL222C	FMP45	YNL173C	MDG1
YJR034W	PET191	YOR195W	SLK19
YBR053C	YBR053C	YNL339C	YRF1-6
YHR175W	CTR2	YJL178C	ATG27
YLL028W	TPO1	YLR326W	YLR326W
YGR121C	MEP1	YKL051W	SFK1
YLR200W	YKE2	YNL153C	GIM3
YCR093W	CDC39	YER112W	LSM4
YBR244W	GPX2	YDL222C	FMP45
YHR094C	HXT1	YPL058C	PDR12
YIL027C	KRE27	YMR272C	SCS7
YCR077C	PAT1	YDL160C	DHH1
YGL019W	CKB1	YOR061W	CKA2
YDR479C	PEX29	YLR089C	YLR089C
YGL203C	KEX1	YGL203C	KEX1
YBR036C	CSG2	YDL212W	SHR3
YGR130C	YGR130C	YOR273C	TPO4
YDL160C	DHH1	YNL016W	PUB1
YCL039W	GID7	YCL039W	GID7
YER105C	NUP157	YKL068W	NUP100
YJR133W	XPT1	YJR133W	XPT1
YAL053W	FLC2	YCR030C	SYP1
YLR129W	DIP2	YNL186W	UBP10
YER157W	COG3	YJL151C	SNA3
YDR293C	SSD1	YGL178W	MPT5
YEL051W	VMA8	YMR120C	ADE17
