ORF1,ORF2
YLR100W,YLR144C
YDL222C,YKL094W
YLR332W,YMR212C
YKL051W,YLR332W
YFR051C,YLR083C
YBR106W,YMR149W
YLR079W,YLR345W
YDL125C,YDL125C
YDR293C,YPL119C
YDR011W,YDR011W
YNL078W,YOR393W
YOR341W,YPR110C
YGR055W,YGR055W
YBR106W,YIL027C
YBR267W,YGL099W
YGL006W,YKR007W
YDR264C,YIL048W
YAR002CA,YHR123W
YBR264C,YER136W
YKL013C,YLR370C
YKR089C,YLR144C
YGR054W,YGR054W
YHR108W,YOR109W
YLR110C,YLR350W
YMR070W,YMR070W
YFL048C,YML067C
YDR398W,YGR128C
YAR002CA,YBR106W
YLL028W,YOR153W
YHR094C,YJL151C
YJL153C,YMR120C
YER068W,YJR091C
YML072C,YPL221W
YNL130C,YPL246C
YDR190C,YHR034C
YDL168W,YLR077W
YGL002W,YML012W
YNL031C,YPL127C
YER090W,YGL137W
YNL265C,YNL265C
YDR324C,YJL069C
YEL051W,YJL153C
YGR284C,YML016C
YKL002W,YKL002W
YLR450W,YPL139C
YGL137W,YOR327C
YBL039C,YLR027C
YDR541C,YGL133W
YGL056C,YIL121W
YBR296CA,YJL030W
YGL137W,YGR037C
YIL121W,YML072C
YBR002C,YPR113W
YIL027C,YOL005C
YDL192W,YOL137W
YDR105C,YJL178C
YGL207W,YNR065C
YGL001C,YML012W
YER118C,YGL203C
YCL037C,YGL014W
YML072C,YML072C
YML086C,YMR120C
YDR100W,YGL137W
YGL055W,YGL055W
YBL071WA,YGR200C
YER020W,YPR138C
YDL204W,YHR007C
YEL051W,YJL151C
YBR234C,YLR370C
YCR021C,YGR130C
YCR028CA,YDL222C
YGL137W,YNL138W
YER020W,YOR273C
YAR002CA,YOL005C
YGR159C,YNL112W
YKL051W,YOR153W
YJR108W,YOR393W
YDL165W,YIL038C
YGL077C,YPR156C
YBR207W,YNL238W
YLR033W,YPL227C
YER002W,YOL077C
YJL151C,YPL058C
YFR001W,YNL186W
YBR207W,YOR316C
YLR258W,YLR258W
YDR293C,YPL004C
YJL151C,YML013W
YDL085W,YDL198C
YIL027C,YJL192C
YNL288W,YPR042C
YGR284C,YML012W
YBR006W,YBR006W
YFR004W,YOR261C
YGR065C,YPL058C
YDR238C,YJL151C
YGL203C,YJL053W
YLR033W,YPL117C
YLR350W,YMR149W
YGL137W,YOR323C
YHR072W,YKL140W
YHR039C,YML012W
YDR380W,YIL034C
YDR141C,YGL203C
YGR281W,YPL058C
YGR113W,YGR161C
YGR020C,YGR037C
YCR094W,YFL047W
YGL006W,YGR163W
YIR026C,YKL051W
YIL027C,YLR350W
YIL038C,YNL197C
YGR169CA,YPL004C
YCL021WA,YFR025C
YHR175W,YPL246C
YDL123W,YGL006W
YNL307C,YOL147C
YDR100W,YJL178C
YMR120C,YOR133W
YBR244W,YPR156C
YDR293C,YDR293C
YBL028C,YKL172W
YKL096WA,YML086C
YBR106W,YNL336W
YER157W,YER157W
YDL222C,YGR121C
YFL038C,YOL125W
YBR222C,YBR222C
YGR060W,YML016C
YIL021W,YOL005C
YJL151C,YMR296C
YGL077C,YPL265W
YJR118C,YOR054C
YAR002CA,YLR350W
YHR194W,YPL117C
YJL151C,YKR007W
YDR150W,YLR084C
YDR394W,YGR232W
YCR028CA,YCR093W
YGL006W,YOL129W
YLR345W,YMR261C
YDR497C,YGR130C
YFL005W,YOR370C
YDL222C,YLR219W
YKL067W,YKL067W
YDR100W,YDR264C
YIR038C,YPL246C
YCR043C,YJL151C
YBL007C,YBL007C
YGL210W,YML086C
YBR214W,YFR040W
YNL313C,YOR133W
YCR021C,YLR332W
YIL105C,YIL105C
YDR388W,YLR337C
YJR122W,YNL295W
YGL077C,YGL203C
YOR145C,YPL263C
YGR284C,YMR292W
YBR207W,YJL178C
YDL222C,YLR326W
YDL236W,YLR420W
YNL112W,YNL255C
YGR060W,YML012W
YBR207W,YGR020C
YBR041W,YDL052C
YCL037C,YER112W
YBR283C,YPR113W
YHR089C,YHR089C
YHR052W,YLR196W
YLR378C,YML012W
YHR039C,YMR292W
YGR065C,YLR413W
YCR030C,YDR032C
YBR154C,YPR133C
YCR093W,YPR072W
YBR177C,YIL124W
YDR507C,YPL058C
YHR114W,YLR337C
YOR117W,YOR259C
YBR296CA,YJL092W
YBR234C,YDR129C
YGL203C,YKR088C
YIL009W,YPL058C
YDL123W,YJL154C
YLR337C,YNL243W
YDR264C,YOR104W
YGL002W,YOR016C
YDL224C,YNL288W
YBL034C,YOL069W
YDL182W,YDL182W
YDR501W,YHR094C
YEL039C,YNL229C
YER090W,YJL060W
YBR288C,YBR288C
YBR041W,YLL012W
YDR398W,YMR093W
YKR035WA,YLR025W
YKR072C,YML016C
YBL017C,YMR010W
YCR093W,YGL014W
YGL048C,YOR259C
YGR055W,YJL151C
YJL060W,YOR327C
YER166W,YIL068C
YHL009C,YLR336C
YBL102W,YFL048C
YER035W,YNL118C
YDR497C,YLR332W
