geneA	geneB	complex name	complex size
YGR032W	YLR342W	1,3-beta-glucan synthase complex	4
YGR032W	YPR054W	1,3-beta-glucan synthase complex	4
YGR032W	YPR165W	1,3-beta-glucan synthase complex	4
YLR342W	YPR054W	1,3-beta-glucan synthase complex	4
YLR342W	YPR165W	1,3-beta-glucan synthase complex	4
YPR054W	YPR165W	1,3-beta-glucan synthase complex	4
YGR240C	YMR205C	6-phosphofructokinase complex (GO)	2
YBL004W	YBR247C	90S preribosome	48
YBL004W	YCL059C	90S preribosome	48
YBL004W	YCR057C	90S preribosome	48
YBL004W	YDL014W	90S preribosome	48
YBL004W	YDL148C	90S preribosome	48
YBL004W	YDR064W	90S preribosome	48
YBL004W	YDR299W	90S preribosome	48
YBL004W	YDR324C	90S preribosome	48
YBL004W	YDR398W	90S preribosome	48
YBL004W	YDR449C	90S preribosome	48
YBL004W	YEL055C	90S preribosome	48
YBL004W	YER082C	90S preribosome	48
YBL004W	YER127W	90S preribosome	48
YBL004W	YGL171W	90S preribosome	48
YBL004W	YGR090W	90S preribosome	48
YBL004W	YGR128C	90S preribosome	48
YBL004W	YGR145W	90S preribosome	48
YBL004W	YHR148W	90S preribosome	48
YBL004W	YHR196W	90S preribosome	48
YBL004W	YJL069C	90S preribosome	48
YBL004W	YJL109C	90S preribosome	48
YBL004W	YJR002W	90S preribosome	48
YBL004W	YJR145C	90S preribosome	48
YBL004W	YKR060W	90S preribosome	48
YBL004W	YLL011W	90S preribosome	48
YBL004W	YLR003C	90S preribosome	48
YBL004W	YLR129W	90S preribosome	48
YBL004W	YLR186W	90S preribosome	48
YBL004W	YLR197W	90S preribosome	48
YBL004W	YLR222C	90S preribosome	48
YBL004W	YLR409C	90S preribosome	48
YBL004W	YMR093W	90S preribosome	48
YBL004W	YMR128W	90S preribosome	48
YBL004W	YNL075W	90S preribosome	48
YBL004W	YNL132W	90S preribosome	48
YBL004W	YOL010W	90S preribosome	48
YBL004W	YOR078W	90S preribosome	48
YBL004W	YOR096W	90S preribosome	48
YBL004W	YOR145C	90S preribosome	48
YBL004W	YOR310C	90S preribosome	48
YBL004W	YPL012W	90S preribosome	48
YBL004W	YPL126W	90S preribosome	48
YBL004W	YPL217C	90S preribosome	48
YBL004W	YPL266W	90S preribosome	48
YBL004W	YPR112C	90S preribosome	48
YBL004W	YPR137W	90S preribosome	48
YBL004W	YPR144C	90S preribosome	48
YBR247C	YCL059C	90S preribosome	48
YBR247C	YCR057C	90S preribosome	48
YBR247C	YDL014W	90S preribosome	48
YBR247C	YDL148C	90S preribosome	48
YBR247C	YDR064W	90S preribosome	48
YBR247C	YDR299W	90S preribosome	48
YBR247C	YDR324C	90S preribosome	48
YBR247C	YDR398W	90S preribosome	48
YBR247C	YDR449C	90S preribosome	48
YBR247C	YEL055C	90S preribosome	48
YBR247C	YER082C	90S preribosome	48
YBR247C	YER127W	90S preribosome	48
YBR247C	YGL171W	90S preribosome	48
YBR247C	YGR090W	90S preribosome	48
YBR247C	YGR128C	90S preribosome	48
YBR247C	YGR145W	90S preribosome	48
YBR247C	YHR148W	90S preribosome	48
YBR247C	YHR196W	90S preribosome	48
YBR247C	YJL069C	90S preribosome	48
YBR247C	YJL109C	90S preribosome	48
YBR247C	YJR002W	90S preribosome	48
YBR247C	YJR145C	90S preribosome	48
YBR247C	YKR060W	90S preribosome	48
YBR247C	YLL011W	90S preribosome	48
YBR247C	YLR003C	90S preribosome	48
YBR247C	YLR129W	90S preribosome	48
YBR247C	YLR186W	90S preribosome	48
YBR247C	YLR197W	90S preribosome	48
YBR247C	YLR222C	90S preribosome	48
YBR247C	YLR409C	90S preribosome	48
YBR247C	YMR093W	90S preribosome	48
YBR247C	YMR128W	90S preribosome	48
YBR247C	YNL075W	90S preribosome	48
YBR247C	YNL132W	90S preribosome	48
YBR247C	YOL010W	90S preribosome	48
YBR247C	YOR078W	90S preribosome	48
YBR247C	YOR096W	90S preribosome	48
YBR247C	YOR145C	90S preribosome	48
YBR247C	YOR310C	90S preribosome	48
YBR247C	YPL012W	90S preribosome	48
YBR247C	YPL126W	90S preribosome	48
YBR247C	YPL217C	90S preribosome	48
YBR247C	YPL266W	90S preribosome	48
YBR247C	YPR112C	90S preribosome	48
YBR247C	YPR137W	90S preribosome	48
YBR247C	YPR144C	90S preribosome	48
YCL059C	YCR057C	90S preribosome	48
YCL059C	YDL014W	90S preribosome	48
YCL059C	YDL148C	90S preribosome	48
YCL059C	YDR064W	90S preribosome	48
YCL059C	YDR299W	90S preribosome	48
YCL059C	YDR324C	90S preribosome	48
YCL059C	YDR398W	90S preribosome	48
YCL059C	YDR449C	90S preribosome	48
YCL059C	YEL055C	90S preribosome	48
YCL059C	YER082C	90S preribosome	48
YCL059C	YER127W	90S preribosome	48
YCL059C	YGL171W	90S preribosome	48
YCL059C	YGR090W	90S preribosome	48
YCL059C	YGR128C	90S preribosome	48
YCL059C	YGR145W	90S preribosome	48
YCL059C	YHR148W	90S preribosome	48
YCL059C	YHR196W	90S preribosome	48
YCL059C	YJL069C	90S preribosome	48
YCL059C	YJL109C	90S preribosome	48
YCL059C	YJR002W	90S preribosome	48
YCL059C	YJR145C	90S preribosome	48
YCL059C	YKR060W	90S preribosome	48
YCL059C	YLL011W	90S preribosome	48
YCL059C	YLR003C	90S preribosome	48
YCL059C	YLR129W	90S preribosome	48
YCL059C	YLR186W	90S preribosome	48
YCL059C	YLR197W	90S preribosome	48
YCL059C	YLR222C	90S preribosome	48
YCL059C	YLR409C	90S preribosome	48
YCL059C	YMR093W	90S preribosome	48
YCL059C	YMR128W	90S preribosome	48
YCL059C	YNL075W	90S preribosome	48
YCL059C	YNL132W	90S preribosome	48
YCL059C	YOL010W	90S preribosome	48
YCL059C	YOR078W	90S preribosome	48
YCL059C	YOR096W	90S preribosome	48
YCL059C	YOR145C	90S preribosome	48
YCL059C	YOR310C	90S preribosome	48
YCL059C	YPL012W	90S preribosome	48
YCL059C	YPL126W	90S preribosome	48
YCL059C	YPL217C	90S preribosome	48
YCL059C	YPL266W	90S preribosome	48
YCL059C	YPR112C	90S preribosome	48
YCL059C	YPR137W	90S preribosome	48
YCL059C	YPR144C	90S preribosome	48
YCR057C	YDL014W	90S preribosome	48
YCR057C	YDL148C	90S preribosome	48
YCR057C	YDR064W	90S preribosome	48
YCR057C	YDR299W	90S preribosome	48
YCR057C	YDR324C	90S preribosome	48
YCR057C	YDR398W	90S preribosome	48
YCR057C	YDR449C	90S preribosome	48
YCR057C	YEL055C	90S preribosome	48
YCR057C	YER082C	90S preribosome	48
YCR057C	YER127W	90S preribosome	48
YCR057C	YGL171W	90S preribosome	48
YCR057C	YGR090W	90S preribosome	48
YCR057C	YGR128C	90S preribosome	48
YCR057C	YGR145W	90S preribosome	48
YCR057C	YHR148W	90S preribosome	48
YCR057C	YHR196W	90S preribosome	48
YCR057C	YJL069C	90S preribosome	48
YCR057C	YJL109C	90S preribosome	48
YCR057C	YJR002W	90S preribosome	48
YCR057C	YJR145C	90S preribosome	48
YCR057C	YKR060W	90S preribosome	48
YCR057C	YLL011W	90S preribosome	48
YCR057C	YLR003C	90S preribosome	48
YCR057C	YLR129W	90S preribosome	48
YCR057C	YLR186W	90S preribosome	48
YCR057C	YLR197W	90S preribosome	48
YCR057C	YLR222C	90S preribosome	48
YCR057C	YLR409C	90S preribosome	48
YCR057C	YMR093W	90S preribosome	48
YCR057C	YMR128W	90S preribosome	48
YCR057C	YNL075W	90S preribosome	48
YCR057C	YNL132W	90S preribosome	48
YCR057C	YOL010W	90S preribosome	48
YCR057C	YOR078W	90S preribosome	48
YCR057C	YOR096W	90S preribosome	48
YCR057C	YOR145C	90S preribosome	48
YCR057C	YOR310C	90S preribosome	48
YCR057C	YPL012W	90S preribosome	48
YCR057C	YPL126W	90S preribosome	48
YCR057C	YPL217C	90S preribosome	48
YCR057C	YPL266W	90S preribosome	48
YCR057C	YPR112C	90S preribosome	48
YCR057C	YPR137W	90S preribosome	48
YCR057C	YPR144C	90S preribosome	48
YDL014W	YDL148C	90S preribosome	48
YDL014W	YDR064W	90S preribosome	48
YDL014W	YDR299W	90S preribosome	48
YDL014W	YDR324C	90S preribosome	48
YDL014W	YDR398W	90S preribosome	48
YDL014W	YDR449C	90S preribosome	48
YDL014W	YEL055C	90S preribosome	48
YDL014W	YER082C	90S preribosome	48
YDL014W	YER127W	90S preribosome	48
YDL014W	YGL171W	90S preribosome	48
YDL014W	YGR090W	90S preribosome	48
YDL014W	YGR128C	90S preribosome	48
