geneA,geneB
YNL037C,YOR136W
YOR136W,YNL037C
YIL082WA,YGR109WB
YGR109WB,YIL082WA
YGR240C,YMR205C
YMR205C,YGR240C
YMR095C,YMR096W
YMR096W,YMR095C
YMR189W,YDR019C
YDR019C,YMR189W
YPL231W,YKL182W
YKL182W,YPL231W
YHR208W,YGL009C
YGL009C,YHR208W
YHR137W,YDR380W
YDR380W,YHR137W
YHR143W,YLR286C
YLR286C,YHR143W
YNL209W,YDL229W
YDL229W,YNL209W
YKL182W,YNR016C
YNR016C,YKL182W
YAR015W,YLR359W
YLR359W,YAR015W
YHR143W,YGL028C
YGL028C,YHR143W
YKL152C,YHR174W
YBL003C,YBL002W
YBL002W,YBL003C
YHR174W,YKL152C
YAR015W,YMR120C
YMR120C,YAR015W
YLR058C,YMR120C
YMR120C,YLR058C
YLL062C,YLL061W
YLL061W,YLL062C
YLL053C,YLL052C
YLL052C,YLL053C
YDL081C,YDR382W
YDR382W,YDL081C
YDL037C,YDL039C
YDL039C,YDL037C
YHR208W,YKL120W
YKL120W,YHR208W
YKL216W,YLR420W
YLR420W,YKL216W
YDR224C,YDR225W
YDR225W,YDR224C
YCR012W,YKL152C
YKL152C,YCR012W
YIL169C,YOL155C
YOL155C,YIL169C
YJL108C,YJL107C
YJL107C,YJL108C
YDR234W,YJL200C
YJL200C,YDR234W
YGR142W,YBR101C
YDR050C,YKL060C
YBR101C,YGR142W
YKL060C,YDR050C
YKL152C,YDR050C
YDR050C,YKL152C
YLL024C,YMR186W
YMR186W,YLL024C
YER145C,YMR058W
YMR058W,YER145C
YKL120W,YGL009C
YGL009C,YKL120W
YAL038W,YHR174W
YHR174W,YAL038W
YKL152C,YKL060C
YKL060C,YKL152C
YJL088W,YER069W
YER069W,YJL088W
YLR304C,YOR136W
YOR136W,YLR304C
YNR068C,YNR069C
YNR069C,YNR068C
YFR030W,YJR137C
YJR137C,YFR030W
YPL231W,YNR016C
YGR061C,YGL234W
YGL234W,YGR061C
YNR016C,YPL231W
YJR010W,YKL001C
YKL001C,YJR010W
YLL026W,YPL240C
YLR304C,YNL037C
YPL240C,YLL026W
YNL037C,YLR304C
YMR120C,YLR359W
YLR359W,YMR120C
YOR027W,YPL240C
YJR010W,YJR137C
YPL240C,YOR027W
YJR137C,YJR010W
YHR143W,YER124C
YER124C,YHR143W
YAL038W,YKL060C
YKL060C,YAL038W
YOR128C,YMR120C
YMR120C,YOR128C
YCR012W,YGR192C
YGR192C,YCR012W
YAL038W,YLR044C
YLR044C,YAL038W
YKL043W,YKL044W
YKL044W,YKL043W
YCR012W,YHR174W
YHR174W,YCR012W
YKL152C,YAL038W
YAL038W,YKL152C
YGL187C,YHR051W
YHR051W,YGL187C
YAR015W,YGL234W
YGL234W,YAR015W
YGR060W,YLR056W
YOR128C,YAR015W
YAR015W,YOR128C
YLR056W,YGR060W
YNL142W,YKR039W
YCR024CB,YCR024CA
YCR024CA,YCR024CB
YKR039W,YNL142W
YIL164C,YIL165C
YLR286C,YER124C
YER124C,YLR286C
YIL165C,YIL164C
YPL018W,YPL017C
YPL017C,YPL018W
YOR341W,YPR010C
YPR010C,YOR341W
YCR100C,YCR099C
YCR099C,YCR100C
YKL152C,YGR192C
YGR192C,YKL152C
YLR058C,YMR189W
