A,B
YAL001C,YBL026W
YAL001C,YBL034C
YAL001C,YBL097W
YAL001C,YBR029C
YAL001C,YBR060C
YAL001C,YBR080C
YAL001C,YBR123C
YAL001C,YBR135W
YAL001C,YBR160W
YAL001C,YBR167C
YAL001C,YBR193C
YAL001C,YBR211C
YAL001C,YBR237W
YAL001C,YCR052W
YAL001C,YDL014W
YAL001C,YDL017W
YAL001C,YDL043C
YAL001C,YDL108W
YAL001C,YDL126C
YAL001C,YDL140C
YAL001C,YDL145C
YAL001C,YDL208W
YAL001C,YDL217C
YAL001C,YDR013W
YAL001C,YDR021W
YAL001C,YDR045C
YAL001C,YDR050C
YAL001C,YDR088C
YAL001C,YDR113C
YAL001C,YDR141C
YAL001C,YDR145W
YAL001C,YDR164C
YAL001C,YDR170C
YAL001C,YDR182W
YAL001C,YDR208W
YAL001C,YDR212W
YAL001C,YDR238C
YAL001C,YDR246W
YAL001C,YDR280W
YAL001C,YDR288W
YAL001C,YDR292C
YAL001C,YDR303C
YAL001C,YDR356W
YAL001C,YDR362C
YAL001C,YDR373W
YAL001C,YDR404C
YAL001C,YDR416W
YAL001C,YDR449C
YAL001C,YDR489W
YAL001C,YER094C
YAL001C,YER125W
YAL001C,YER133W
YAL001C,YER148W
YAL001C,YER157W
YAL001C,YFL034CB
YAL001C,YFL039C
YAL001C,YFR005C
YAL001C,YFR037C
YAL001C,YFR050C
YAL001C,YFR051C
YAL001C,YGL048C
YAL001C,YGL116W
YAL001C,YGL120C
YAL001C,YGL145W
YAL001C,YGR006W
YAL001C,YGR047C
YAL001C,YGR075C
YAL001C,YGR091W
YAL001C,YGR113W
YAL001C,YGR120C
YAL001C,YGR172C
YAL001C,YGR211W
YAL001C,YGR216C
YAL001C,YGR264C
YAL001C,YGR277C
YAL001C,YHR020W
YAL001C,YHR164C
YAL001C,YHR190W
YAL001C,YIL068C
YAL001C,YIL115C
YAL001C,YIL118W
YAL001C,YJL001W
YAL001C,YJL011C
YAL001C,YJL034W
YAL001C,YJL039C
YAL001C,YJL090C
YAL001C,YJL203W
YAL001C,YJR006W
YAL001C,YJR007W
YAL001C,YJR068W
YAL001C,YJR076C
YAL001C,YJR141W
YAL001C,YKL052C
YAL001C,YKL095W
YAL001C,YKL203C
YAL001C,YKR008W
YAL001C,YLL036C
YAL001C,YLL050C
YAL001C,YLR005W
YAL001C,YLR078C
YAL001C,YLR115W
YAL001C,YLR116W
YAL001C,YLR117C
YAL001C,YLR127C
YAL001C,YLR186W
YAL001C,YLR195C
YAL001C,YLR222C
YAL001C,YLR229C
YAL001C,YLR268W
YAL001C,YLR274W
YAL001C,YLR291C
YAL001C,YLR298C
YAL001C,YLR305C
YAL001C,YLR317W
YAL001C,YLR347C
YAL001C,YLR378C
YAL001C,YML098W
YAL001C,YML114C
YAL001C,YMR117C
YAL001C,YMR168C
YAL001C,YMR197C
YAL001C,YMR220W
YAL001C,YMR235C
YAL001C,YMR240C
YAL001C,YMR268C
YAL001C,YMR298W
YAL001C,YNL062C
YAL001C,YNL138W
YAL001C,YNR003C
YAL001C,YNR035C
YAL001C,YOL066C
YAL001C,YOL094C
YAL001C,YOR048C
YAL001C,YOR074C
YAL001C,YOR103C
YAL001C,YOR116C
YAL001C,YOR181W
YAL001C,YOR194C
YAL001C,YOR204W
YAL001C,YOR236W
YAL001C,YOR250C
YAL001C,YOR254C
YAL001C,YOR260W
YAL001C,YOR362C
YAL001C,YPL007C
YAL001C,YPL160W
YAL001C,YPR094W
YAL001C,YPR178W
YAL001C,YPR181C
YAL001C,YPR190C
YAL025C,YBL026W
YAL025C,YBL097W
YAL025C,YBL105C
YAL025C,YBR109C
YAL025C,YBR110W
YAL025C,YBR142W
YAL025C,YBR160W
YAL025C,YBR167C
YAL025C,YBR193C
YAL025C,YBR196C
YAL025C,YBR253W
YAL025C,YCL059C
YAL025C,YCR052W
YAL025C,YDL003W
YAL025C,YDL007W
YAL025C,YDL014W
YAL025C,YDL028C
YAL025C,YDL097C
YAL025C,YDL126C
YAL025C,YDL132W
YAL025C,YDL147W
YAL025C,YDR021W
YAL025C,YDR050C
YAL025C,YDR052C
YAL025C,YDR060W
YAL025C,YDR081C
YAL025C,YDR087C
YAL025C,YDR166C
YAL025C,YDR188W
YAL025C,YDR196C
YAL025C,YDR238C
YAL025C,YDR246W
YAL025C,YDR288W
YAL025C,YDR339C
YAL025C,YDR356W
YAL025C,YDR398W
YAL025C,YER133W
YAL025C,YFL009W
YAL025C,YFL045C
YAL025C,YGL022W
YAL025C,YGL048C
YAL025C,YGL092W
YAL025C,YGL116W
YAL025C,YGL137W
YAL025C,YGL233W
YAL025C,YGR092W
YAL025C,YGR119C
YAL025C,YGR156W
YAL025C,YHR027C
YAL025C,YHR069C
YAL025C,YHR088W
YAL025C,YHR164C
YAL025C,YHR166C
YAL025C,YHR188C
YAL025C,YIL062C
YAL025C,YIL106W
YAL025C,YIR010W
YAL025C,YJL005W
YAL025C,YJL050W
YAL025C,YJL081C
YAL025C,YJL091C
YAL025C,YJL174W
YAL025C,YJR065C
YAL025C,YKL021C
YAL025C,YKL052C
YAL025C,YKL089W
YAL025C,YKL095W
YAL025C,YKL112W
YAL025C,YKL145W
YAL025C,YKR086W
YAL025C,YLL011W
YAL025C,YLR026C
YAL025C,YLR045C
YAL025C,YLR071C
YAL025C,YLR078C
YAL025C,YLR103C
YAL025C,YLR115W
YAL025C,YLR116W
YAL025C,YLR197W
YAL025C,YLR268W
YAL025C,YLR276C
YAL025C,YLR298C
YAL025C,YLR316C
YAL025C,YLR340W
YAL025C,YLR459W
YAL025C,YML023C
YAL025C,YMR043W
YAL025C,YMR094W
YAL025C,YMR117C
YAL025C,YMR235C
YAL025C,YMR290C
YAL025C,YMR298W
YAL025C,YNL002C
YAL025C,YNR038W
YAL025C,YOL077C
YAL025C,YOL144W
YAL025C,YOR181W
YAL025C,YOR204W
YAL025C,YOR232W
YAL025C,YOR244W
YAL025C,YOR260W
YAL025C,YOR262W
YAL025C,YOR362C
YAL025C,YPL028W
YAL025C,YPL063W
YAL025C,YPL094C
YAL025C,YPL128C
YAL025C,YPL190C
YAL025C,YPR108W
YAL025C,YPR168W
YAL032C,YBL034C
YAL032C,YBL074C
YAL032C,YBR055C
YAL032C,YBR135W
YAL032C,YBR152W
YAL032C,YBR156C
YAL032C,YDL028C
YAL032C,YDL030W
YAL032C,YDL098C
YAL032C,YDL102W
YAL032C,YDL108W
YAL032C,YDL140C
YAL032C,YDL148C
YAL032C,YDL209C
YAL032C,YDR088C
YAL032C,YDR182W
YAL032C,YDR188W
YAL032C,YDR416W
YAL032C,YDR531W
YAL032C,YER094C
YAL032C,YGL116W
YAL032C,YGL120C
YAL032C,YGL137W
YAL032C,YGR006W
YAL032C,YGR099W
YAL032C,YGR172C
YAL032C,YGR278W
YAL032C,YHR058C
YAL032C,YHR122W
YAL032C,YIL048W
YAL032C,YIR006C
YAL032C,YJL011C
YAL032C,YJL025W
YAL032C,YJL174W
YAL032C,YJR017C
YAL032C,YKL095W
YAL032C,YKL173W
YAL032C,YKL196C
YAL032C,YKR022C
