A,B
YAL001C,YBL026W
YAL001C,YBL034C
YAL001C,YBL097W
YAL001C,YBR029C
YAL001C,YBR123C
YAL001C,YBR135W
YAL001C,YBR160W
YAL001C,YBR167C
YAL001C,YBR211C
YAL001C,YBR237W
YAL001C,YCR052W
YAL001C,YDL017W
YAL001C,YDL043C
YAL001C,YDL108W
YAL001C,YDL140C
YAL001C,YDR021W
YAL001C,YDR045C
YAL001C,YDR050C
YAL001C,YDR088C
YAL001C,YDR113C
YAL001C,YDR141C
YAL001C,YDR356W
YAL001C,YDR362C
YAL001C,YDR416W
YAL001C,YDR449C
YAL001C,YER148W
YAL001C,YFL039C
YAL001C,YFR005C
YAL001C,YGL120C
YAL001C,YGL145W
YAL001C,YGR006W
YAL001C,YGR047C
YAL001C,YGR075C
YAL001C,YGR091W
YAL001C,YGR211W
YAL001C,YGR216C
YAL001C,YGR277C
YAL001C,YHR020W
YAL001C,YHR164C
YAL001C,YJL001W
YAL001C,YJL011C
YAL001C,YJL039C
YAL001C,YJL090C
YAL001C,YJL203W
YAL001C,YJR006W
YAL001C,YJR007W
YAL001C,YJR141W
YAL001C,YKL052C
YAL001C,YKL095W
YAL001C,YKR008W
YAL001C,YLL036C
YAL001C,YLR078C
YAL001C,YLR116W
YAL001C,YLR117C
YAL001C,YLR127C
YAL001C,YLR222C
YAL001C,YLR268W
YAL001C,YLR291C
YAL001C,YLR298C
YAL001C,YLR317W
YAL001C,YLR347C
YAL001C,YMR117C
YAL001C,YMR197C
YAL001C,YMR220W
YAL001C,YMR240C
YAL001C,YMR268C
YAL001C,YNL062C
YAL001C,YNL138W
YAL001C,YNR003C
YAL001C,YOL094C
YAL001C,YOR048C
YAL001C,YOR116C
YAL001C,YOR204W
YAL001C,YOR236W
YAL001C,YOR250C
YAL001C,YOR254C
YAL001C,YOR260W
YAL001C,YPL007C
YAL001C,YPL160W
YAL001C,YPR094W
YAL001C,YPR178W
YAL001C,YPR190C
YAL025C,YBR109C
YAL025C,YBR110W
YAL025C,YBR142W
YAL025C,YBR193C
YAL025C,YBR196C
YAL025C,YBR253W
YAL025C,YDL003W
YAL025C,YDL007W
YAL025C,YDL014W
YAL025C,YDL028C
YAL025C,YDL097C
YAL025C,YDL126C
YAL025C,YDL132W
YAL025C,YDL147W
YAL025C,YDR050C
YAL025C,YDR052C
YAL025C,YDR060W
YAL025C,YDR081C
YAL025C,YDR087C
YAL025C,YDR238C
YAL025C,YDR356W
YAL025C,YER133W
YAL025C,YFL009W
YAL025C,YFL045C
YAL025C,YGL048C
YAL025C,YGL092W
YAL025C,YGL116W
YAL025C,YGL233W
YAL025C,YGR092W
YAL025C,YHR027C
YAL025C,YHR069C
YAL025C,YHR088W
YAL025C,YHR166C
YAL025C,YIL106W
YAL025C,YIR010W
YAL025C,YJL005W
YAL025C,YJL050W
YAL025C,YJL091C
YAL025C,YJL174W
YAL025C,YJR065C
YAL025C,YKL021C
YAL025C,YKL052C
YAL025C,YKL089W
YAL025C,YKL112W
YAL025C,YKL145W
YAL025C,YKR086W
YAL025C,YLR045C
YAL025C,YLR071C
YAL025C,YLR103C
YAL025C,YLR115W
YAL025C,YLR197W
YAL025C,YLR276C
YAL025C,YLR340W
YAL025C,YMR094W
YAL025C,YMR117C
YAL025C,YMR290C
YAL025C,YMR298W
YAL025C,YNL002C
YAL025C,YNR038W
YAL025C,YOL077C
YAL025C,YOL144W
YAL025C,YOR204W
YAL025C,YOR232W
YAL025C,YOR362C
YAL025C,YPL028W
YAL025C,YPL063W
YAL025C,YPR108W
YAL025C,YPR168W
YAL032C,YBL034C
YAL032C,YBL074C
YAL032C,YBR055C
YAL032C,YBR152W
YAL032C,YBR156C
YAL032C,YDL028C
YAL032C,YDL030W
YAL032C,YDL098C
YAL032C,YDL108W
YAL032C,YDL140C
YAL032C,YDL209C
YAL032C,YDR088C
YAL032C,YDR416W
YAL032C,YDR531W
YAL032C,YER094C
YAL032C,YGL120C
YAL032C,YGL137W
YAL032C,YGR006W
YAL032C,YGR099W
YAL032C,YGR172C
YAL032C,YGR278W
YAL032C,YHR058C
YAL032C,YHR122W
YAL032C,YIR006C
YAL032C,YJL011C
YAL032C,YJL025W
YAL032C,YJL174W
YAL032C,YJR017C
YAL032C,YKL095W
YAL032C,YKL173W
YAL032C,YKL196C
YAL032C,YKR022C
YAL032C,YKR086W
YAL032C,YLL036C
YAL032C,YLL050C
YAL032C,YLR117C
YAL032C,YLR268W
YAL032C,YLR298C
YAL032C,YML049C
YAL032C,YML127W
YAL032C,YMR213W
YAL032C,YNL038W
YAL032C,YNR011C
YAL032C,YOR116C
YAL032C,YOR250C
YAL032C,YPR016C
YAL032C,YPR086W
YAL032C,YPR094W
YAL033W,YBL076C
YAL033W,YBL105C
YAL033W,YBR029C
YAL033W,YBR109C
YAL033W,YBR123C
YAL033W,YBR167C
YAL033W,YBR234C
YAL033W,YDL045C
YAL033W,YDL126C
YAL033W,YDR002W
YAL033W,YDR045C
YAL033W,YDR228C
YAL033W,YDR246W
YAL033W,YDR292C
YAL033W,YDR362C
YAL033W,YDR416W
YAL033W,YDR437W
YAL033W,YDR449C
YAL033W,YFL034CB
YAL033W,YFR052W
YAL033W,YGL022W
YAL033W,YGL044C
YAL033W,YGR002C
YAL033W,YGR047C
YAL033W,YGR120C
YAL033W,YHR020W
YAL033W,YHR024C
YAL033W,YHR107C
YAL033W,YHR122W
YAL033W,YIL048W
YAL033W,YIL106W
YAL033W,YJL011C
YAL033W,YJL039C
YAL033W,YJL104W
YAL033W,YJR006W
YAL033W,YJR007W
YAL033W,YJR017C
YAL033W,YJR057W
YAL033W,YJR076C
YAL033W,YKL024C
YAL033W,YKL045W
YAL033W,YKL203C
YAL033W,YLL036C
YAL033W,YLR078C
YAL033W,YLR195C
YAL033W,YLR291C
YAL033W,YML046W
YAL033W,YMR033W
YAL033W,YMR061W
YAL033W,YMR200W
YAL033W,YMR239C
YAL033W,YMR268C
YAL033W,YNL062C
YAL033W,YNL118C
YAL033W,YNR003C
YAL033W,YNR043W
YAL033W,YOR116C
YAL033W,YOR224C
YAL033W,YOR250C
YAL033W,YOR262W
YAL033W,YPL007C
YAL033W,YPL028W
YAL033W,YPL063W
YAL033W,YPL190C
YAL033W,YPL204W
YAL033W,YPR181C
YAL033W,YPR190C
YAL034WA,YBR198C
YAL034WA,YBR211C
YAL034WA,YDL008W
YAL034WA,YDL140C
YAL034WA,YDR021W
YAL034WA,YDR081C
YAL034WA,YDR113C
YAL034WA,YDR527W
YAL034WA,YFL034CB
YAL034WA,YGL022W
YAL034WA,YGL093W
YAL034WA,YGL097W
YAL034WA,YGL130W
YAL034WA,YGL247W
YAL034WA,YGR002C
YAL034WA,YGR092W
YAL034WA,YGR119C
YAL034WA,YGR140W
YAL034WA,YGR179C
YAL034WA,YGR218W
YAL034WA,YGR274C
YAL034WA,YHR036W
YAL034WA,YIR010W
YAL034WA,YJL034W
YAL034WA,YJL039C
YAL034WA,YJL081C
YAL034WA,YJL097W
YAL034WA,YJL174W
YAL034WA,YJR112W
YAL034WA,YKL052C
YAL034WA,YLR005W
