A,B
YAL001C,YBR060C
YAL001C,YBR080C
YAL001C,YBR193C
YAL001C,YDL014W
YAL001C,YDL126C
YAL001C,YDL145C
YAL001C,YDL208W
YAL001C,YDL217C
YAL001C,YDR013W
YAL001C,YDR145W
YAL001C,YDR164C
YAL001C,YDR170C
YAL001C,YDR182W
YAL001C,YDR208W
YAL001C,YDR212W
YAL001C,YDR238C
YAL001C,YDR246W
YAL001C,YDR280W
YAL001C,YDR288W
YAL001C,YDR292C
YAL001C,YDR303C
YAL001C,YDR373W
YAL001C,YDR404C
YAL001C,YDR489W
YAL001C,YER094C
YAL001C,YER125W
YAL001C,YER133W
YAL001C,YER157W
YAL001C,YFL034CB
YAL001C,YFR037C
YAL001C,YFR050C
YAL001C,YFR051C
YAL001C,YGL048C
YAL001C,YGL116W
YAL001C,YGR113W
YAL001C,YGR120C
YAL001C,YGR172C
YAL001C,YGR264C
YAL001C,YHR190W
YAL001C,YIL068C
YAL001C,YIL115C
YAL001C,YIL118W
YAL001C,YJL034W
YAL001C,YJR068W
YAL001C,YJR076C
YAL001C,YKL203C
YAL001C,YLL050C
YAL001C,YLR005W
YAL001C,YLR115W
YAL001C,YLR186W
YAL001C,YLR195C
YAL001C,YLR229C
YAL001C,YLR274W
YAL001C,YLR305C
YAL001C,YLR378C
YAL001C,YML098W
YAL001C,YML114C
YAL001C,YMR168C
YAL001C,YMR235C
YAL001C,YMR298W
YAL001C,YNR035C
YAL001C,YOL066C
YAL001C,YOR074C
YAL001C,YOR103C
YAL001C,YOR181W
YAL001C,YOR194C
YAL001C,YOR362C
YAL001C,YPR181C
YAL025C,YBL026W
YAL025C,YBL097W
YAL025C,YBL105C
YAL025C,YBR160W
YAL025C,YBR167C
YAL025C,YCL059C
YAL025C,YCR052W
YAL025C,YDR021W
YAL025C,YDR166C
YAL025C,YDR188W
YAL025C,YDR196C
YAL025C,YDR246W
YAL025C,YDR288W
YAL025C,YDR339C
YAL025C,YDR398W
YAL025C,YGL022W
YAL025C,YGL137W
YAL025C,YGR119C
YAL025C,YGR156W
YAL025C,YHR164C
YAL025C,YHR188C
YAL025C,YIL062C
YAL025C,YJL081C
YAL025C,YKL095W
YAL025C,YLL011W
YAL025C,YLR026C
YAL025C,YLR078C
YAL025C,YLR116W
YAL025C,YLR268W
YAL025C,YLR298C
YAL025C,YLR316C
YAL025C,YLR459W
YAL025C,YML023C
YAL025C,YMR043W
YAL025C,YMR235C
YAL025C,YOR181W
YAL025C,YOR244W
YAL025C,YOR260W
YAL025C,YOR262W
YAL025C,YPL094C
YAL025C,YPL128C
YAL025C,YPL190C
YAL032C,YBR135W
YAL032C,YDL102W
YAL032C,YDL148C
YAL032C,YDR182W
YAL032C,YDR188W
YAL032C,YGL116W
YAL032C,YIL048W
YAL032C,YMR043W
YAL032C,YOR074C
YAL032C,YOR122C
YAL032C,YOR262W
YAL032C,YPL190C
YAL032C,YPL266W
YAL033W,YBL041W
YAL033W,YBR102C
YAL033W,YBR142W
YAL033W,YBR160W
YAL033W,YBR198C
YAL033W,YDL064W
YAL033W,YDL102W
YAL033W,YDL147W
YAL033W,YDL193W
YAL033W,YDR212W
YAL033W,YDR240C
YAL033W,YDR311W
YAL033W,YER094C
YAL033W,YER125W
YAL033W,YFR050C
YAL033W,YGL048C
YAL033W,YGL116W
YAL033W,YGL130W
YAL033W,YGR264C
YAL033W,YIL046W
YAL033W,YIL150C
YAL033W,YJL081C
YAL033W,YKL104C
YAL033W,YLR222C
YAL033W,YLR298C
YAL033W,YMR290C
YAL033W,YNL102W
YAL033W,YOL066C
YAL033W,YOL069W
YAL033W,YOR057W
YAL033W,YOR122C
YAL033W,YOR157C
YAL033W,YOR174W
YAL033W,YOR204W
YAL033W,YOR236W
YAL033W,YPL128C
YAL033W,YPR108W
YAL034WA,YBL034C
YAL034WA,YBR160W
YAL034WA,YDL030W
YAL034WA,YDL097C
YAL034WA,YDL143W
YAL034WA,YDL164C
YAL034WA,YDR188W
YAL034WA,YDR434W
YAL034WA,YGL145W
YAL034WA,YHR107C
YAL034WA,YHR164C
YAL034WA,YJR006W
YAL034WA,YLR127C
YAL034WA,YML077W
YAL034WA,YMR061W
YAL034WA,YMR197C
YAL034WA,YMR200W
YAL038W,YBL076C
YAL038W,YBR060C
YAL038W,YDL145C
YAL038W,YDL217C
YAL038W,YDR172W
YAL038W,YDR196C
YAL038W,YDR246W
YAL038W,YER125W
YAL038W,YGR002C
YAL038W,YGR113W
YAL038W,YGR156W
YAL038W,YHR107C
YAL038W,YJR076C
YAL038W,YJR093C
YAL038W,YKR086W
YAL038W,YLR347C
YAL038W,YMR268C
YAL038W,YNR053C
YAL038W,YOL069W
YAL038W,YOR020C
YAL038W,YOR254C
YAL038W,YOR326W
YAL038W,YPL010W
YAL038W,YPL028W
YAL038W,YPL190C
YAL038W,YPR016C
YAL041W,YBL041W
YAL041W,YBL050W
YAL041W,YBR110W
YAL041W,YBR152W
YAL041W,YBR211C
YAL041W,YBR234C
YAL041W,YDL008W
YAL041W,YDL028C
YAL041W,YDL064W
YAL041W,YDL084W
YAL041W,YDL087C
YAL041W,YDL108W
YAL041W,YDR044W
YAL041W,YDR086C
YAL041W,YDR164C
YAL041W,YDR302W
YAL041W,YDR404C
YAL041W,YDR437W
YAL041W,YDR498C
YAL041W,YDR531W
YAL041W,YFL038C
YAL041W,YFR027W
YAL041W,YGL093W
YAL041W,YGL098W
YAL041W,YGL116W
YAL041W,YGR074W
YAL041W,YGR113W
YAL041W,YGR119C
YAL041W,YGR120C
YAL041W,YGR195W
YAL041W,YGR216C
YAL041W,YGR218W
YAL041W,YGR277C
YAL041W,YHR027C
YAL041W,YHR118C
YAL041W,YIL046W
YAL041W,YIL106W
YAL041W,YIL115C
YAL041W,YIL144W
YAL041W,YIR011C
YAL041W,YJL050W
YAL041W,YJL074C
YAL041W,YJR017C
YAL041W,YJR042W
YAL041W,YJR057W
YAL041W,YJR068W
YAL041W,YKL018W
YAL041W,YKL022C
YAL041W,YLR026C
