geneA,geneB
YMR056C,YNL314W
YMR056C,YIL121W
YBR085W,YIL049W
YBR085W,YLR067C
YJR155W,YMR170C
YJR155W,YJL060W
YJR155W,YDR480W
YJR155W,YOL065C
YJR155W,YKL142W
YJR155W,YDR142C
YJR155W,YPR115W
YJR155W,YOR290C
YJR155W,YNL160W
YJR155W,YLR031W
YJR155W,YLR278C
YJR155W,YMR158CA
YJR155W,YNR064C
YJR155W,YOR376WA
YNL331C,YPR158W
YNL331C,YOR092W
YNL331C,YNL327W
YNL331C,YNL293W
YNL331C,YGR171C
YNL331C,YJL189W
YNL331C,YEL057C
YNL331C,YHL006C
YNL331C,YDL123W
YNL331C,YPR156C
YNL331C,YLL012W
YNL331C,YGL185C
YNL331C,YGR015C
YNL331C,YGR121WA
YNL331C,YNL200C
YNL331C,YPL108W
YNL331C,YNL237W
YNL331C,YJL056C
YOL165C,YPL095C
YOL165C,YJL153C
YOL165C,YDL233W
YOL165C,YKR103W
YOL165C,YOL161C
YOL165C,YFR034C
YOL165C,YBR088C
YOL165C,YPL163C
YOL165C,YOL055C
YOL165C,YLR306W
YOL165C,YER128W
YOL165C,YDR415C
YOL165C,YLR173W
YOL165C,YMR226C
YFL057C,YFR033C
YFL057C,YDR213W
YDL243C,YDL155W
YDL243C,YIL110W
YDL243C,YDR233C
YFL056C,YER057C
YFL056C,YIL121W
YNL141W,YMR300C
YHR047C,YEL047C
YHR047C,YGL183C
YHR047C,YGR213C
YHR047C,YER007CA
YHR047C,YMR071C
YBL074C,YJL031C
YBL074C,YJL031C
YBL074C,YPR057W
YBL074C,YGL174W
YBL074C,YCR063W
YBL074C,YMR213W
YBL074C,YLR117C
YBL074C,YGR278W
YBL074C,YLR323C
YBL074C,YLR323C
YBL074C,YNL245C
YBL074C,YOR319W
YBL074C,YIR005W
YBL074C,YJR050W
YBL074C,YPL213W
YBL074C,YHR156C
YBL074C,YBR282W
YBL074C,YOR160W
YBL074C,YBR119W
YBL074C,YBR188C
YBL074C,YDL043C
YBL074C,YKR086W
YBL074C,YGR006W
YBL074C,YNR011C
YBL074C,YER013W
YBL074C,YDR243C
YBL074C,YKL012W
YBL074C,YGL120C
YBL074C,YAL032C
YBL074C,YPL151C
YBL074C,YBR237W
YBL074C,YPR094W
YBL074C,YER102W
YBL074C,YML049C
YBL074C,YFR005C
YBL074C,YOR159C
YBL074C,YPR101W
YBL074C,YKL173W
YBL074C,YKL173W
YBL074C,YOR308C
YBL074C,YDR416W
YBL074C,YPR152C
YBL074C,YBR064W
YBR236C,YDR167W
YBR236C,YIL129C
YBR236C,YDL211C
YBR236C,YEL076C
YBR236C,YER076C
YBR236C,YNR073C
YBR236C,YGR034W
YKL112W,YKR024C
YKL112W,YBR281C
YKL112W,YLL035W
YKL112W,YKL176C
YKL112W,YBR297W
YKL112W,YIR033W
YKL112W,YKL089W
YKL112W,YLR195C
YKL112W,YBR221C
YKL112W,YCR027C
YKL112W,YJL136C
YKL112W,YHR021C
YKL112W,YCR045C
YKL112W,YBR269C
YKL112W,YBR058CA
YKL112W,YCL001WA
YKL112W,YCR050C
YKL112W,YCR061W
YKL112W,YCR085W
YKL112W,YCR087CA
YKL112W,YCR087W
YKL112W,YKL023W
YKL112W,YKL053W
YKL112W,YKL052C
YKL112W,YER172C
YKL112W,YER172C
YKL112W,YKL011C
YKL112W,YKR083C
YKL112W,YKL054C
YKL112W,YKL172W
YKL112W,YKL032C
YKL112W,YKR063C
YKL112W,YKL089W
YKL112W,YKL009W
YKL112W,YKL055C
YKL112W,YKR086W
YKL112W,YKL144C
YKL112W,YJL177W
YKL112W,YIL148W
YKL112W,YKR094C
YKL112W,YKL145W
YKL112W,YBL058W
YKL112W,YKL042W
YKL112W,YFL041WA
YKL112W,YKL095W
YKL112W,YFL039C
YKL112W,YFL039C
YKL112W,YFL039C
YKL112W,YFL039C
YKL112W,YFL039C
YKL112W,YFL039C
YKL112W,YFL039C
YKL112W,YFL039C
YKL112W,YLR370C
YKL112W,YOR181W
YMR072W,YBR120C
YMR072W,YBR003W
YMR072W,YPL132W
YMR072W,YLL018CA
YMR072W,YMR222C
YMR072W,YLR091W
YMR072W,YKL109W
YMR072W,YKL040C
YMR072W,YGR222W
YMR072W,YHR075C
YMR072W,YEL024W
YMR072W,YCR061W
YJR108W,YLR144C
YJR108W,YGL192W
YJR108W,YLR154CG
YJR108W,YMR013WA
YCR088W,YKL007W
YCR088W,YCL026CB
YCR088W,YNL260C
YCR088W,YER028C
YCR088W,YIL095W
YCR088W,YER067W
YCR088W,YPR102C
