A,B
YAL002W,YBL007C
YAL002W,YBR008C
YAL002W,YBR015C
YAL002W,YBR026C
YAL002W,YBR084W
YAL002W,YBR092C
YAL002W,YBR095C
YAL002W,YBR134W
YAL002W,YBR184W
YAL002W,YBR212W
YAL002W,YBR231C
YAL002W,YBR255W
YAL002W,YBR260C
YAL002W,YBR291C
YAL002W,YCL061C
YAL002W,YCR017C
YAL002W,YCR019W
YAL002W,YCR063W
YAL002W,YDL002C
YAL002W,YDL018C
YAL002W,YDL074C
YAL002W,YDL081C
YAL002W,YDL095W
YAL002W,YDL122W
YAL002W,YDL136W
YAL002W,YDL146W
YAL002W,YDL149W
YAL002W,YDL168W
YAL002W,YDL170W
YAL002W,YDL172C
YAL002W,YDL180W
YAL002W,YDL200C
YAL002W,YDL203C
YAL002W,YDL218W
YAL002W,YDL232W
YAL002W,YDL240W
YAL002W,YDL243C
YAL002W,YDR080W
YAL002W,YDR083W
YAL002W,YDR089W
YAL002W,YDR092W
YAL002W,YDR222W
YAL002W,YDR253C
YAL002W,YDR260C
YAL002W,YDR289C
YAL002W,YDR316W
YAL002W,YDR320C
YAL002W,YDR334W
YAL002W,YDR335W
YAL002W,YDR346C
YAL002W,YDR369C
YAL002W,YDR399W
YAL002W,YDR414C
YAL002W,YDR458C
YAL002W,YDR469W
YAL002W,YDR485C
YAL002W,YDR492W
YAL002W,YDR520C
YAL002W,YDR525W
YAL002W,YER072W
YAL002W,YER089C
YAL002W,YER092W
YAL002W,YER111C
YAL002W,YER130C
YAL002W,YER149C
YAL002W,YER151C
YAL002W,YER175C
YAL002W,YFL004W
YAL002W,YFL040W
YAL002W,YFR010W
YAL002W,YFR012W
YAL002W,YFR021W
YAL002W,YFR032CA
YAL002W,YFR045W
YAL002W,YFR049W
YAL002W,YGL005C
YAL002W,YGL019W
YAL002W,YGL035C
YAL002W,YGL045W
YAL002W,YGL054C
YAL002W,YGL084C
YAL002W,YGL110C
YAL002W,YGL114W
YAL002W,YGL136C
YAL002W,YGL151W
YAL002W,YGL153W
YAL002W,YGL166W
YAL002W,YGL167C
YAL002W,YGL168W
YAL002W,YGL179C
YAL002W,YGL195W
YAL002W,YGL196W
YAL002W,YGL219C
YAL002W,YGL235W
YAL002W,YGL236C
YAL002W,YGL244W
YAL002W,YGR206W
YAL002W,YGR244C
YAL002W,YGR282C
YAL002W,YHL002W
YAL002W,YHL041W
YAL002W,YHR022C
YAL002W,YHR030C
YAL002W,YHR031C
YAL002W,YHR041C
YAL002W,YHR046C
YAL002W,YHR067W
YAL002W,YHR108W
YAL002W,YHR116W
YAL002W,YHR132C
YAL002W,YHR138C
YAL002W,YHR142W
YAL002W,YHR178W
YAL002W,YHR180W
YAL002W,YHR198C
YAL002W,YHR203C
YAL002W,YIL016W
YAL002W,YIL034C
YAL002W,YIL084C
YAL002W,YIL110W
YAL002W,YIL132C
YAL002W,YIL146C
YAL002W,YIL160C
YAL002W,YIL166C
YAL002W,YIR023W
YAL002W,YJL012C
YAL002W,YJL062W
YAL002W,YJL099W
YAL002W,YJL110C
YAL002W,YJL121C
YAL002W,YJL147C
YAL002W,YJL204C
YAL002W,YJL214W
YAL002W,YJL216C
YAL002W,YJR019C
YAL002W,YJR035W
YAL002W,YJR043C
YAL002W,YJR044C
YAL002W,YJR052W
YAL002W,YJR074W
YAL002W,YJR075W
YAL002W,YJR125C
YAL002W,YJR139C
YAL002W,YJR148W
YAL002W,YJR150C
YAL002W,YKL007W
YAL002W,YKL038W
YAL002W,YKL067W
YAL002W,YKL092C
YAL002W,YKL101W
YAL002W,YKL121W
YAL002W,YKL127W
YAL002W,YKL150W
YAL002W,YKL164C
YAL002W,YKL175W
YAL002W,YKL213C
YAL002W,YKR009C
YAL002W,YKR014C
YAL002W,YKR060W
YAL002W,YKR065C
YAL002W,YKR082W
YAL002W,YKR089C
YAL002W,YLL002W
YAL002W,YLL006W
YAL002W,YLL039C
YAL002W,YLR023C
YAL002W,YLR039C
YAL002W,YLR046C
YAL002W,YLR085C
YAL002W,YLR087C
YAL002W,YLR098C
YAL002W,YLR149C
YAL002W,YLR176C
YAL002W,YLR181C
YAL002W,YLR227C
YAL002W,YLR239C
YAL002W,YLR262C
YAL002W,YLR300W
YAL002W,YLR313C
YAL002W,YLR329W
YAL002W,YLR330W
YAL002W,YLR345W
YAL002W,YLR350W
YAL002W,YLR371W
YAL002W,YLR385C
YAL002W,YLR404W
YAL002W,YLR410W
YAL002W,YLR414C
YAL002W,YML007W
YAL002W,YML016C
YAL002W,YML019W
YAL002W,YML041C
YAL002W,YML050W
YAL002W,YML071C
YAL002W,YML097C
YAL002W,YMR003W
YAL002W,YMR015C
YAL002W,YMR023C
YAL002W,YMR030W
YAL002W,YMR036C
YAL002W,YMR039C
YAL002W,YMR044W
YAL002W,YMR063W
YAL002W,YMR070W
YAL002W,YMR109W
YAL002W,YMR126C
YAL002W,YMR154C
YAL002W,YMR160W
YAL002W,YMR172CA
YAL002W,YMR190C
YAL002W,YMR196W
YAL002W,YMR205C
YAL002W,YMR224C
YAL002W,YMR275C
YAL002W,YMR276W
YAL002W,YMR307W
YAL002W,YNL021W
YAL002W,YNL040W
YAL002W,YNL041C
YAL002W,YNL051W
YAL002W,YNL067W
YAL002W,YNL097C
YAL002W,YNL122C
YAL002W,YNL127W
YAL002W,YNL153C
YAL002W,YNL154C
YAL002W,YNR007C
YAL002W,YNR030W
YAL002W,YNR051C
YAL002W,YOL003C
YAL002W,YOL004W
YAL002W,YOL008W
YAL002W,YOL009C
YAL002W,YOL036W
YAL002W,YOL068C
YAL002W,YOL071W
YAL002W,YOL082W
YAL002W,YOL095C
YAL002W,YOL103W
YAL002W,YOL129W
YAL002W,YOR006C
YAL002W,YOR008CA
YAL002W,YOR023C
YAL002W,YOR025W
YAL002W,YOR037W
YAL002W,YOR051C
YAL002W,YOR062C
YAL002W,YOR080W
YAL002W,YOR082C
YAL002W,YOR089C
YAL002W,YOR124C
YAL002W,YOR131C
YAL002W,YOR189W
YAL002W,YOR195W
YAL002W,YOR196C
YAL002W,YOR208W
YAL002W,YOR228C
YAL002W,YOR243C
YAL002W,YOR245C
YAL002W,YOR275C
YAL002W,YOR293W
YAL002W,YOR328W
YAL002W,YOR355W
YAL002W,YOR359W
YAL002W,YPL009C
YAL002W,YPL024W
YAL002W,YPL055C
YAL002W,YPL057C
YAL002W,YPL060W
YAL002W,YPL069C
YAL002W,YPL079W
YAL002W,YPL139C
YAL002W,YPL152W
YAL002W,YPL196W
YAL002W,YPL197C
YAL002W,YPL205C
YAL002W,YPL256C
YAL002W,YPL261C
YAL002W,YPL262W
YAL002W,YPR022C
YAL002W,YPR030W
YAL002W,YPR044C
YAL002W,YPR045C
YAL002W,YPR057W
YAL002W,YPR061C
YAL002W,YPR134W
YAL002W,YPR135W
YAL002W,YPR152C
YAL002W,YPR153W
YAL002W,YPR164W
YAL007C,YBL069W
YAL007C,YBR026C
YAL007C,YBR036C
YAL007C,YBR046C
YAL007C,YBR255W
YAL007C,YBR260C
YAL007C,YBR275C
YAL007C,YBR283C
YAL007C,YBR297W
YAL007C,YCL002C
YAL007C,YCR101C
YAL007C,YDL033C
YAL007C,YDL113C
YAL007C,YDL122W
YAL007C,YDL130W
YAL007C,YDL149W
YAL007C,YDL179W
YAL007C,YDL206W
YAL007C,YDR297W
YAL007C,YDR360W
YAL007C,YDR406W
YAL007C,YDR445C
YAL007C,YDR477W
YAL007C,YDR496C
YAL007C,YER083C
YAL007C,YFR021W
YAL007C,YGL015C
YAL007C,YGL081W
YAL007C,YGL136C
YAL007C,YGL140C
YAL007C,YGL180W
YAL007C,YGL228W
YAL007C,YGR146C
YAL007C,YGR183C
YAL007C,YHL043W
YAL007C,YHR045W
YAL007C,YHR067W
YAL007C,YIL006W
YAL007C,YIL113W
YAL007C,YIR017C
YAL007C,YIR018W
YAL007C,YJL138C
YAL007C,YJL139C
YAL007C,YKL044W
YAL007C,YKL081W
YAL007C,YKL087C
YAL007C,YKL098W
YAL007C,YKL140W
YAL007C,YKR076W
YAL007C,YLL045C
YAL007C,YLR095C
YAL007C,YLR114C
