A,B
YAL002W,YBL001C
YAL002W,YBR085W
YAL002W,YBR263W
YAL002W,YBR264C
YAL002W,YBR269C
YAL002W,YCL001WA
YAL002W,YCL051W
YAL002W,YCR059C
YAL002W,YCR065W
YAL002W,YCR067C
YAL002W,YCR077C
YAL002W,YCR079W
YAL002W,YDL077C
YAL002W,YDL082W
YAL002W,YDL106C
YAL002W,YDL142C
YAL002W,YDL190C
YAL002W,YDL230W
YAL002W,YDR057W
YAL002W,YDR058C
YAL002W,YDR063W
YAL002W,YDR074W
YAL002W,YDR099W
YAL002W,YDR100W
YAL002W,YDR108W
YAL002W,YDR116C
YAL002W,YDR123C
YAL002W,YDR125C
YAL002W,YDR126W
YAL002W,YDR130C
YAL002W,YDR131C
YAL002W,YDR146C
YAL002W,YDR149C
YAL002W,YDR150W
YAL002W,YDR153C
YAL002W,YDR171W
YAL002W,YDR179WA
YAL002W,YDR221W
YAL002W,YDR255C
YAL002W,YDR257C
YAL002W,YDR262W
YAL002W,YDR310C
YAL002W,YDR326C
YAL002W,YDR329C
YAL002W,YDR354W
YAL002W,YDR358W
YAL002W,YDR363WA
YAL002W,YDR378C
YAL002W,YDR384C
YAL002W,YDR387C
YAL002W,YDR391C
YAL002W,YDR409W
YAL002W,YDR415C
YAL002W,YDR423C
YAL002W,YDR452W
YAL002W,YDR455C
YAL002W,YER052C
YAL002W,YER079W
YAL002W,YER120W
YAL002W,YER163C
YAL002W,YER164W
YAL002W,YER177W
YAL002W,YER180C
YAL002W,YER186C
YAL002W,YFL018C
YAL002W,YFL031W
YAL002W,YFL049W
YAL002W,YGL006W
YAL002W,YGL007W
YAL002W,YGL009C
YAL002W,YGL020C
YAL002W,YGL027C
YAL002W,YGL050W
YAL002W,YGL066W
YAL002W,YGL079W
YAL002W,YGL086W
YAL002W,YGL090W
YAL002W,YGL115W
YAL002W,YGL121C
YAL002W,YGL133W
YAL002W,YGL159W
YAL002W,YGL163C
YAL002W,YGL202W
YAL002W,YGL212W
YAL002W,YGR003W
YAL002W,YGR017W
YAL002W,YGR021W
YAL002W,YGR041W
YAL002W,YGR072W
YAL002W,YGR087C
YAL002W,YGR148C
YAL002W,YGR151C
YAL002W,YGR164W
YAL002W,YGR166W
YAL002W,YGR225W
YAL002W,YGR229C
YAL002W,YGR261C
YAL002W,YGR263C
YAL002W,YHR012W
YAL002W,YHR039C
YAL002W,YHR077C
YAL002W,YHR079C
YAL002W,YHR110W
YAL002W,YHR112C
YAL002W,YHR146W
YAL002W,YHR158C
YAL002W,YHR185C
YAL002W,YIL041W
YAL002W,YIL043C
YAL002W,YIL088C
YAL002W,YIL096C
YAL002W,YIL099W
YAL002W,YIL103W
YAL002W,YIL120W
YAL002W,YIL137C
YAL002W,YIL140W
YAL002W,YJL017W
YAL002W,YJL020C
YAL002W,YJL036W
YAL002W,YJL049W
YAL002W,YJL053W
YAL002W,YJL098W
YAL002W,YJL116C
YAL002W,YJL124C
YAL002W,YJL141C
YAL002W,YJL154C
YAL002W,YJL177W
YAL002W,YJL196C
YAL002W,YJL208C
YAL002W,YJR060W
YAL002W,YJR069C
YAL002W,YJR082C
YAL002W,YJR097W
YAL002W,YJR117W
YAL002W,YJR127C
YAL002W,YJR134C
YAL002W,YJR140C
YAL002W,YKL005C
YAL002W,YKL015W
YAL002W,YKL023W
YAL002W,YKL031W
YAL002W,YKL041W
YAL002W,YKL053W
YAL002W,YKL056C
YAL002W,YKL069W
YAL002W,YKL077W
YAL002W,YKL079W
YAL002W,YKL093W
YAL002W,YKL117W
YAL002W,YKL128C
YAL002W,YKL142W
YAL002W,YKL160W
YAL002W,YKL167C
YAL002W,YKL176C
YAL002W,YKL177W
YAL002W,YKL188C
YAL002W,YKL191W
YAL002W,YKR018C
YAL002W,YKR019C
YAL002W,YKR021W
YAL002W,YKR039W
YAL002W,YKR041W
YAL002W,YKR042W
YAL002W,YKR050W
YAL002W,YKR069W
YAL002W,YKR072C
YAL002W,YKR076W
YAL002W,YKR088C
YAL002W,YKR099W
YAL002W,YLL014W
YAL002W,YLL024C
YAL002W,YLL040C
YAL002W,YLL047W
YAL002W,YLL049W
YAL002W,YLR038C
YAL002W,YLR073C
YAL002W,YLR152C
YAL002W,YLR172C
YAL002W,YLR185W
YAL002W,YLR188W
YAL002W,YLR207W
YAL002W,YLR228C
YAL002W,YLR266C
YAL002W,YLR280C
YAL002W,YLR309C
YAL002W,YLR360W
YAL002W,YLR373C
YAL002W,YLR374C
YAL002W,YLR380W
YAL002W,YLR402W
YAL002W,YLR408C
YAL002W,YLR416C
YAL002W,YLR422W
YAL002W,YML001W
YAL002W,YML005W
YAL002W,YML008C
YAL002W,YML017W
YAL002W,YML034W
YAL002W,YML068W
YAL002W,YML106W
YAL002W,YML116WA
YAL002W,YML117W
YAL002W,YMR004W
YAL002W,YMR060C
YAL002W,YMR073C
YAL002W,YMR123W
YAL002W,YMR156C
YAL002W,YMR161W
YAL002W,YMR166C
YAL002W,YMR167W
YAL002W,YMR183C
YAL002W,YMR194CA
YAL002W,YMR215W
YAL002W,YMR223W
YAL002W,YMR226C
YAL002W,YMR244W
YAL002W,YMR255W
YAL002W,YMR282C
YAL002W,YMR300C
YAL002W,YNL045W
YAL002W,YNL057W
YAL002W,YNL064C
YAL002W,YNL079C
YAL002W,YNL086W
YAL002W,YNL099C
YAL002W,YNL100W
YAL002W,YNL128W
YAL002W,YNR006W
YAL002W,YNR021W
YAL002W,YOL011W
YAL002W,YOL013WA
