geneA,geneB
YBL074C,YBR211C
YBL074C,YGL130W
YBL074C,YGL130W
YBL074C,YGL130W
YBL074C,YPL228W
YBL074C,YGR113W
YBL074C,YOL149W
YBL074C,YNL118C
YBL074C,YJR093C
YBL074C,YDL108W
YBL074C,YMR112C
YBL074C,YOR174W
YBL074C,YOL135C
YBL074C,YOL135C
YBL074C,YDR013W
YBL074C,YOR353C
YBL074C,YDR167W
YBL074C,YDR145W
YBL074C,YDR145W
YBL074C,YDR145W
YBL074C,YIL129C
YBR236C,YDR054C
YBR236C,YDL126C
YBR236C,YDL014W
YBR236C,YOL144W
YBR236C,YML125C
YBR236C,YOL022C
YBR236C,YNL247W
YBR236C,YOL077C
YBR236C,YDR182W
YBR236C,YKR083C
YBR236C,YLR276C
YBR236C,YPL266W
YBR236C,YKL089W
YBR236C,YLR195C
YBR236C,YMR229C
YBR236C,YDR201W
YBR236C,YNR017W
YBR236C,YBR058CA
YBR236C,YDR398W
YBR236C,YJR141W
YKL112W,YKL052C
YKL112W,YER172C
YKL112W,YER172C
YKL112W,YOL077C
YKL112W,YJR076C
YKL112W,YHR166C
YKL112W,YKR083C
YKL112W,YHR164C
YKL112W,YKL172W
YKL112W,YPL231W
YKL112W,YKR063C
YKL112W,YKL195W
YKL112W,YKL089W
YKL112W,YLR195C
YKL112W,YOL038W
YKL112W,YKR086W
YKL112W,YKL144C
YKL112W,YKL145W
YKL112W,YDR394W
YKL112W,YKL082C
YKL112W,YER125W
YKL112W,YER125W
YKL112W,YKL042W
YKL112W,YIR011C
YKL112W,YKL095W
YKL112W,YFL039C
YKL112W,YFL039C
YKL112W,YFL039C
YKL112W,YFL039C
YKL112W,YFL039C
YKL112W,YFL039C
YKL112W,YFL039C
YKL112W,YFL039C
YKL112W,YFL039C
YKL112W,YFL039C
YKL112W,YFL039C
YKL112W,YFL039C
YKL112W,YFL039C
YKL112W,YFL039C
YKL112W,YIL062C
YKL112W,YNR035C
YKL112W,YNR035C
YKL112W,YDL029W
YKL112W,YAL041W
YKL112W,YAL041W
YKL112W,YBR109C
YKL112W,YOR181W
YKL112W,YOR181W
YKL112W,YIR006C
YKL112W,YOR122C
YKL112W,YOR122C
YKL112W,YNL138W
YKL112W,YNR016C
YKL112W,YBR211C
YKL112W,YGL247W
YKL112W,YBR202W
YKL112W,YDR016C
YKL112W,YGR113W
YKL112W,YHR164C
YKL112W,YIR010W
YKL112W,YIR010W
YKL112W,YFR027W
YKL112W,YPL117C
YKL112W,YDL003W
YKL112W,YBR136W
YKL112W,YDL028C
YKL112W,YOL069W
YKL112W,YOL069W
YKL112W,YGR119C
YKL112W,YGR179C
YKL112W,YBR060C
YKL112W,YBR060C
YKL112W,YPR162C
YKL112W,YHR118C
YKL112W,YDR113C
YKL112W,YPL153C
YKL112W,YPL153C
YKL112W,YBR087W
YKL112W,YDR180W
YKL112W,YER147C
YKL112W,YDL139C
YKL112W,YJL074C
YKL112W,YJL074C
YKL112W,YGL093W
YKL112W,YGL093W
YKL112W,YDR201W
YKL112W,YMR117C
YKL112W,YBL034C
YKL112W,YBL034C
YKL112W,YBL034C
YKL112W,YLR045C
YKL112W,YLR045C
YKL112W,YLR045C
YKL112W,YLR045C
YNR016C,YNR016C
YNR016C,YBR211C
YNR016C,YNL172W
YNR016C,YLR127C
YNR016C,YGL247W
YNR016C,YGR140W
YNR016C,YFR028C
YNR016C,YHR166C
YNR016C,YBL084C
YNR016C,YBL084C
YNR016C,YLR274W
YNR016C,YBR202W
YNR016C,YJL194W
YNR016C,YGL238W
YNR016C,YGR113W
YNR016C,YGR113W
YNR016C,YHR164C
YNR016C,YIR010W
YNR016C,YIR010W
YNR016C,YFR027W
YNR016C,YJR093C
YNR016C,YLR347C
YNR016C,YDL003W
YNR016C,YEL032W
YNR016C,YGL201C
YNR016C,YGL201C
YNR016C,YBR136W
YNR016C,YKL059C
YNR016C,YDL028C
YNR016C,YDL028C
YNR016C,YPL233W
YNR016C,YER009W
YNR016C,YER009W
YNR016C,YOL069W
YNR016C,YMR047C
YNR016C,YGR119C
YNR016C,YGR179C
YNR016C,YBR060C
YNR016C,YBR060C
YNR016C,YBR060C
YNR016C,YBR060C
YNR016C,YLL004W
YNR016C,YPR162C
YNR016C,YHR118C
YNR016C,YDR113C
YNR016C,YNL262W
YNR016C,YPL153C
YNR016C,YNL312W
YNR016C,YOR217W
YNR016C,YBR087W
YNR016C,YGL044C
YNR016C,YCR052W
YNR016C,YDR180W
YNR016C,YDL139C
YNR016C,YGL113W
YNR016C,YDR489W
YNR016C,YJL074C
YNR016C,YJL074C
YNR016C,YGL093W
YNR016C,YGL093W
YNR016C,YMR117C
YNR016C,YER018C
YNR016C,YBL034C
YNR016C,YBL034C
YNR016C,YBL034C
YNR016C,YLR045C
YNR016C,YLR045C
YNR016C,YLR045C
YNR016C,YLR045C
YNR016C,YGR002C
YNR016C,YIL144W
YNR016C,YDR325W
YNR016C,YDR002W
YNR016C,YER172C
YNR016C,YLR175W
YNR016C,YGL116W
YNR016C,YGL116W
YNR016C,YGL116W
YNR016C,YLR115W
YNR016C,YPL231W
YNR016C,YPL231W
YNR016C,YDR232W
YNR016C,YNL124W
YNR016C,YER125W
YNR016C,YER125W
YNR016C,YLR378C
YNR016C,YLR212C
YNR016C,YGR048W
YLR153C,YKL112W
YLR153C,YFL039C
YLR153C,YFL039C
YLR153C,YFL039C
YLR153C,YFL039C
YLR153C,YFL039C
YLR153C,YFL039C
YLR153C,YFL039C
YLR153C,YFL039C
YLR153C,YFL039C
YLR153C,YFL039C
YLR153C,YFL039C
YLR153C,YFL039C
YLR153C,YFL039C
YLR153C,YFL039C
YLR153C,YFL039C
YLR153C,YIL062C
YLR153C,YNR035C
YLR153C,YNR035C
YLR153C,YBR234C
YLR153C,YDL029W
YLR153C,YJL031C
YLR153C,YER159C
YLR153C,YDL143W
YLR153C,YJR064W
YLR153C,YDR188W
YLR153C,YDR188W
YLR153C,YJL008C
YLR153C,YJL008C
YLR153C,YBR038W
YLR153C,YBR109C
YLR153C,YMR211W
YLR153C,YPL242C
YLR153C,YOR181W
YLR153C,YOR181W
YLR153C,YNL006W
YLR153C,YDR208W
YLR153C,YOR281C
YLR153C,YDR212W
YLR153C,YDR212W
YLR153C,YKL203C
YLR153C,YKL203C
YLR153C,YER093C
YLR153C,YER093C
YLR153C,YER093C
YFL039C,YFL039C
YFL039C,YFL039C
YFL039C,YFL039C
YFL039C,YFL039C
YFL039C,YFL039C
YFL039C,YFL039C
YFL039C,YFL039C
YFL039C,YFL039C
YFL039C,YFL039C
YFL039C,YIL062C
YFL039C,YDL029W
YFL039C,YJR064W
YFL039C,YDR188W
YFL039C,YCR002C
YFL039C,YCR002C
YFL039C,YCR002C
YFL039C,YJR076C
YFL039C,YJR076C
YFL039C,YHR107C
YFL039C,YAL041W
YFL039C,YAL041W
YFL039C,YAL041W
YFL039C,YLR314C
YFL039C,YLR314C
YFL039C,YLR229C
YFL039C,YBR109C
YFL039C,YDR052C
YFL039C,YJL085W
YFL039C,YJL085W
YFL039C,YER136W
YFL039C,YOR181W
YFL039C,YOR370C
YFL039C,YOR326W
YFL039C,YOR326W
YFL039C,YOR122C
YFL039C,YOR122C
YFL039C,YOR122C
YFL039C,YIL118W
YFL039C,YIL118W
YFL039C,YLR166C
YFL039C,YGL233W
YFL039C,YFL005W
YFL039C,YDR166C
YFL039C,YFL045C
YFL039C,YPR055W
YFL039C,YPR055W
YFL039C,YNL138W
YFL039C,YNL138W
YFL039C,YDR212W
YFL039C,YKL112W
YFL039C,YFL039C
YFL039C,YFL039C
YFL039C,YFL039C
YFL039C,YFL039C
YFL039C,YFL039C
YFL039C,YFL039C
YFL039C,YFL039C
YFL039C,YFL039C
YFL039C,YFL039C
YFL039C,YFL039C
YFL039C,YFL039C
YFL039C,YFL039C
YFL039C,YFL039C
YFL039C,YFL039C
YFL039C,YFL039C
YFL039C,YIL062C
YFL039C,YNR035C
YFL039C,YNR035C
YFL039C,YBR234C
YFL039C,YDL029W
YFL039C,YOL078W
YFL039C,YDL143W
YFL039C,YJR064W
YFL039C,YDR188W
YFL039C,YJL008C
YFL039C,YBR109C
YFL039C,YOR181W
YFL039C,YOR181W
YFL039C,YNL006W
YFL039C,YOR281C
YFL039C,YIR022W
YFL039C,YDR212W
YFL039C,YDR212W
YFL039C,YKL203C
YFL039C,YKL203C
YFL039C,YER093C
YFL039C,YER093C
YFL039C,YEL002C
YFL039C,YNL181W
YFL039C,YNL181W
YFL039C,YNR035C
YFL039C,YHR101C
YFL039C,YBR109C
YFL039C,YKL089W
YFL039C,YIL048W
YFL039C,YML023C
YFL039C,YBL105C
YFL039C,YPL235W
YFL039C,YKL112W
YFL039C,YFL039C
YFL039C,YFL039C
YFL039C,YFL039C
YFL039C,YFL039C
YFL039C,YFL039C
YFL039C,YFL039C
YFL039C,YFL039C
YFL039C,YFL039C
YFL039C,YFL039C
YFL039C,YFL039C
YFL039C,YFL039C
YFL039C,YFL039C
YFL039C,YFL039C
YFL039C,YFL039C
YFL039C,YFL039C
YFL039C,YFL039C
