A,B
YMR056C,YIL049W
YMR056C,YDL022W
YMR056C,YLR067C
YMR056C,YER169W
YMR056C,YNL213C
YMR056C,YGR240CA
YMR056C,YLR154CG
YMR056C,YPR150W
YBR085W,YMR170C
YBR085W,YNL008C
YBR085W,YLR157C
YBR085W,YJL060W
YBR085W,YDR480W
YBR085W,YOL065C
YBR085W,YKL142W
YBR085W,YDR142C
YBR085W,YPR115W
YBR085W,YPL220W
YBR085W,YDL052C
YBR085W,YPR157W
YBR085W,YLR031W
YBR085W,YLR278C
YBR085W,YLR406CA
YBR085W,YMR158CA
YBR085W,YNR064C
YJR155W,YNL242W
YJR155W,YNL259C
YJR155W,YNL327W
YJR155W,YGR171C
YJR155W,YER007W
YJR155W,YEL057C
YJR155W,YNL334C
YJR155W,YGR020C
YJR155W,YGR121WA
YJR155W,YLL066WB
YJR155W,YML054CA
YJR155W,YNL237W
YJR155W,YJL056C
YNL331C,YPL095C
YNL331C,YJL153C
YNL331C,YDL233W
YNL331C,YKR103W
YNL331C,YOL161C
YNL331C,YFR034C
YNL331C,YPL163C
YNL331C,YOL055C
YNL331C,YLR306W
YNL331C,YER128W
YNL331C,YDR415C
YNL331C,YLR173W
YNL331C,YMR226C
YOL165C,YDR213W
YCR107W,YDL155W
YCR107W,YIL110W
YCR107W,YDR233C
YCR107W,YLR426W
YFL056C,YMR300C
YFL056C,YNL153C
YNL141W,YEL047C
YNL141W,YGL183C
YNL141W,YGR213C
YNL141W,YER007CA
YNL141W,YMR071C
YHR047C,YLR154CG
YHR047C,YLR464W
YLR027C,YLL018CA
YLR027C,YMR222C
YLR027C,YHR075C
YLR027C,YBR096W
YLR027C,YCR061W
YJR108W,YCR023C
YOR239W,YMR237W
YOR239W,YER004W
YOR239W,YPL280W
YOR239W,YEL001C
YOR239W,YEL049W
YOR239W,YFL060C
YOR239W,YMR071C
YOR239W,YDR200C
YOR239W,YAL016CB
YOR239W,YHL048CA
YMR289W,YDR194WA
YER045C,YDR231C
YER045C,YDL022W
YER045C,YOR147W
YER045C,YEL007W
YER045C,YLR067C
YER045C,YDR529C
YER045C,YER169W
YER045C,YNL213C
YER045C,YDR379CA
YER045C,YKL209C
YER045C,YGR240CA
YER045C,YLR154CG
YLR131C,YEL017W
YLR131C,YHR216W
YLR131C,YLR035C
YJR083C,YDR283C
YBL015W,YJL095W
YBL015W,YGR217W
YBL015W,YGR196C
YBL015W,YNL291C
YBL015W,YML019W
YBL015W,YBR260C
YBL015W,YLR371W
YBL015W,YHR030C
YBL015W,YNL089C
YDR161W,YIL146C
YDR161W,YDR046C
YDR161W,YDR221W
YDR161W,YDL082W
YDR161W,YGR260W
YDR161W,YDR330W
YDR161W,YGL029W
YDR161W,YPL164C
YDR161W,YHR072WA
YDR161W,YDR379CA
YDR161W,YKL209C
YDR161W,YBR200WA
YDR161W,YGR240CA
YDR161W,YIL002WA
YDR161W,YLR154CG
YDR161W,YNL190W
YAL054C,YOL087C
YAL054C,YDL035C
YAL054C,YDR176W
YAL054C,YGL244W
YAL054C,YHL025W
YAL054C,YAR003W
YAL054C,YPL129W
YAL054C,YKL175W
YKL206C,YGL234W
YKL206C,YGR054W
YNL220W,YER093CA
YNL220W,YLR395C
YNL220W,YNL082W
YNL220W,YKR043C
YNL220W,YBR258C
YNL220W,YLR236C
YNL220W,YLR307CA
YNL220W,YNL013C
YOR128C,YAR066W
YGR204W,YNL141W
YGR204W,YBL100WC
YGR204W,YPR108WA
YMR300C,YAR015W
YMR300C,YGR061C
YMR300C,YGR054W
YGL234W,YGL234W
YGL234W,YPL280W
YGL234W,YNL227C
YGL234W,YER087CB
YGL234W,YDR470C
YGR061C,YGR295C
YGR061C,YDR379CA
YGR061C,YLR464W
YDR408C,YJR074W
YDR408C,YGR081C
YCL058WA,YOR054C
YOL086C,YBL100WC
YOL086C,YLR053C
YOL086C,YMR272WB
YOL086C,YPR108WA
YMR303C,YIL134W
YMR083W,YNL106C
YMR083W,YJL116C
YMR083W,YLR082C
YMR083W,YBR298CA
YMR083W,YJR056C
YGL256W,YIL124W
YGL256W,YDR204W
YGL256W,YOR031W
YGL256W,YLR052W
YGL256W,YNL106C
YGL256W,YJL079C
YGL256W,YDR450W
YGL256W,YBR298CA
YGL256W,YDR095C
YGL256W,YFR032CB
YGL256W,YJR056C
YGL256W,YJR151WA
YGL256W,YOR034CA
YBR145W,YLR245C
YBR145W,YOR009W
YBR145W,YJR103W
YBR145W,YLR312CB
YBR145W,YBR264C
YMR318C,YCR089W
YMR318C,YER079W
YMR318C,YJL144W
YCR105W,YBR286W
YCR105W,YBR298C
YCR105W,YNL145W
YCR105W,YJL136C
YCR105W,YCR085W
YCR105W,YCR087CA
YCR105W,YCR087W
YCR105W,YKL053W
YER170W,YHR213W
YCR011C,YDL184C
YCR011C,YER066W
YCR011C,YNL049C
YCR011C,YDR215C
YCR011C,YER053CA
YDR216W,YNL219C
YDR216W,YER032W
YDR216W,YHR175WA
YDL239C,YML088W
YDL239C,YLR159CA
YDL239C,YNL013C
YLR227C,YMR282C
YLR227C,YJL131C
YLR227C,YLR393W
YLR227C,YNL315C
YLR227C,YLR295C
YLR227C,YML081CA
YLR227C,YDR298C
YLR227C,YKL016C
YLR227C,YOR125C
YLR227C,YDL069C
YLR227C,YPL189CA
YLR227C,YJL062WA
YLR227C,YML110C
YLR227C,YGR255C
YLR227C,YLR201C
YLR227C,YPL172C
YLR227C,YLR038C
YLR227C,YMR256C
YLR227C,YJR048W
YLR227C,YOR065W
YLR227C,YDR512C
YLR227C,YGL237C
YLR227C,YBL021C
YLR227C,YOR358W
YLR227C,YNL252C
YLR227C,YBR282W
YLR227C,YDL107W
YLR227C,YER058W
YLR227C,YER153C
YLR227C,YNR045W
YLR227C,YJL166W
YLR227C,YGR183C
YLR227C,YDR012W
YLR227C,YBR037C
YLR227C,YEL059CA
YMR064W,YMR064W
YMR064W,YER017C
YMR064W,YBR132C
YMR064W,YNL315C
YMR064W,YJL180C
YMR064W,YLR295C
YMR064W,YDR298C
YMR064W,YHL038C
YMR064W,YIL157C
YMR064W,YGL119W
YMR064W,YML129C
YMR064W,YLL009C
YMR064W,YDR512C
YMR064W,YGL237C
YMR064W,YJL102W
YMR064W,YJR144W
YMR064W,YIR021W
YMR064W,YDL107W
YMR064W,YEL024W
YMR064W,YGR112W
YMR064W,YPL029W
YLR040C,YIL077C
YEL052W,YMR282C
YEL052W,YML129C
YEL052W,YJL102W
YEL052W,YJR144W
YEL052W,YDR296W
YEL052W,YOR201C
YEL052W,YNL252C
YEL052W,YNL185C
YEL052W,YKR085C
YEL052W,YNL177C
YEL052W,YDR462W
YEL052W,YPL013C
YEL052W,YBR251W
YEL052W,YMR097C
YEL052W,YHR168W
YEL052W,YEL050C
YEL052W,YFL036W
YEL052W,YHR038W
YEL052W,YPL029W
YER017C,YOR297C
YER017C,YBR298CA
YOR129C,YDL237W
YOR129C,YDR111C
YOR129C,YOR011W
YOR129C,YIL043C
YOR129C,YCL064C
YOR129C,YNR067C
YOR129C,YDL215C
YOR129C,YMR255W
YOR129C,YCL036W
YOR129C,YAL056W
YOR129C,YFR017C
YOR129C,YCL034W
YOR129C,YCL033C
YOR129C,YGR193C
YOR129C,YOL147C
YOR129C,YCL056C
YOR129C,YDR313C
YOR129C,YKL198C
YOR129C,YDR066C
YOR129C,YGL224C
YOR129C,YMR156C
YOR129C,YBL029W
YOR129C,YDR134C
YOR129C,YFL019C
YOR129C,YJL218W
YOR129C,YMR122C
YOR129C,YPR117W
YOR129C,YPR146C
YDR085C,YMR058W
YGL071W,YLR160C
YPL202C,YBL029CA
YDR524C,YKL135C
YDR524C,YLR169W
YDR524C,YLR171W
YIL044C,YIR023W
YIL044C,YDR463W
YCL025C,YMR282C
YCL025C,YLR114C
YCL025C,YOR033C
YCL025C,YAL048C
YCL025C,YDL104C
YCL025C,YDL062W
YOR023C,YCL047C
YOR023C,YDR334W
YOR023C,YBL100WC
YOR023C,YPR108WA
YCR082W,YDL093W
YCR082W,YCR100C
YHR093W,YJL118W
YNR074C,YPR012W
YAL046C,YLR028C
YAL046C,YHR198C
YAL046C,YML081CA
YAL046C,YJR053W
YAL046C,YLR395C
YAL046C,YGL043W
YAL046C,YBR157C
YAL046C,YNL085W
YAL046C,YGL226W
YAL046C,YMR174C
YAL046C,YNL003C
YAL046C,YNL082W
YAL046C,YHL033C
YAL046C,YBL059W
YAL046C,YDR094W
YAL046C,YLR236C
YAL046C,YLR287C
YAL046C,YPR050C
YER093CA,YJR159W
YGL160W,YER169W
YGL160W,YDL133CA
YGL160W,YOR086C
YGL160W,YLL006WA
YGL160W,YMR018W
YGL160W,YMR030WA
YGL160W,YPR159CA
YHL021C,YER093CA
YHL021C,YLR395C
YHL021C,YNL082W
YHL021C,YDR094W
YHL021C,YLR236C
YHL021C,YNL013C
YHL021C,YPR050C
YHR198C,YNL159C
YHR198C,YKR076W
YHR198C,YBR297W
YHR198C,YHR001W
YHR198C,YDR007W
YHR198C,YBR063C
YIL087C,YNL274C
YIL087C,YEL001C
YIL087C,YAR033W
YIL087C,YAL015C
YIL087C,YBL108CA
YIL087C,YJR159W
YIL087C,YAL037CA
YIL087C,YAR035CA
YIL087C,YBL029CA
YIL087C,YEL023C
YAL049C,YJL221C
YAL049C,YPR131C
YAL049C,YEL049W
YAL049C,YJL127CB
YAL049C,YNR068C
YIR003W,YER061C
YIR003W,YBR026C
YIR003W,YHR067W
YIR003W,YDR148C
YIR003W,YNL071W
YIR003W,YHR002W
YIR003W,YLR239C
YIR003W,YOR196C
YIR003W,YFL018C
YIR003W,YFL018C
YIR003W,YOR221C
YIR003W,YKL055C
YIR003W,YER178W
YIR003W,YBR221C
YJL046W,YMR064W
YJL046W,YJL062WA
YJL046W,YJR048W
YJL046W,YNR045W
YJL046W,YJL166W
YJL046W,YEL059CA
YJL046W,YJL133CA
YJL131C,YJR079W
YJR080C,YGR032W
YJR080C,YGL063W
YJR080C,YIL046WA
YJR100C,YKL127W
YJR100C,YGR229C
YJR100C,YGR228W
YKL037W,YEL001C
YKR074W,YAL039C
YKR074W,YGL064C
YKR074W,YMR257C
YKR074W,YBL027W
YKR074W,YBR182CA
YML050W,YGR174C
YML050W,YDR256C
YML050W,YLR300W
YML050W,YCR091W
YML050W,YHR155W
YML050W,YJL066C
YML050W,YCR104W
YML050W,YDR202C
YML050W,YLR176C
YML050W,YDL168W
YML050W,YDR104C
YML050W,YDR536W
YML050W,YBR111WA
YML050W,YIL047C
YML050W,YBR083W
YML050W,YDR453C
YML050W,YBL039C
YML050W,YJR084W
YML050W,YLR312CB
YML050W,YER033C
YML087C,YDL155W
YML087C,YIL110W
YML087C,YER119CA
YML087C,YPL261C
YMR003W,YLR395C
YMR003W,YLR206W
YMR003W,YER019W
YMR003W,YEL007W
YMR003W,YGR240CA
YMR003W,YLR154CG
YMR003W,YOR032WA
YMR157C,YER047C
YOL053W,YJL136C
YBR194W,YGL183C
YBR194W,YPR133WA
YOR215C,YPL066W
YOR215C,YLR371W
YOR215C,YDR146C
YOR215C,YLR425W
YPR004C,YJR148W
YPR004C,YFR046C
YPR004C,YDR204W
YPR004C,YDL248W
YPR004C,YOR005C
YPR004C,YKL204W
YPR004C,YIL151C
YPR004C,YLR052W
YPR004C,YNL106C
YPR004C,YBR017C
YPR004C,YBL071WA
YPR004C,YLL007C
YPR004C,YBR262C
YPR004C,YDR493W
YPR004C,YHR124W
YPR004C,YJR062C
YPR004C,YPL219W
YPR004C,YNR013C
YPR004C,YIL037C
YPR004C,YOL061W
YPR004C,YAL036C
YPR004C,YDR450W
YPR004C,YKL105C
YPR004C,YLR082C
YPR004C,YJL187C
YPR004C,YML072C
YPR004C,YOR045W
YPR004C,YPL072W
