orf_name_a	gene_name_a	orf_name_b	gene_name_b	Uetz-screen	Ito-core	CCSB-YI1	YeRI	Zone	GI_PCC	CS_PCC	GE_PCC
Q0085	ATP6	YCR106W	RDS1	False	False	True	False	D			
R0020C	REP1	YGR048W	UFD1	False	False	False	True	C			
YAL005C	SSA1	YBR101C	FES1	False	False	True	False	C		-0.08171767600564503	
YAL008W	FUN14	YGL029W	CGR1	False	False	False	True	D	-0.0108		
YAL012W	CYS3	YAL012W	CYS3	False	False	True	False	D			
YAL016W	TPD3	YGR161C	RTS3	False	False	False	True	B			
YAL016W	TPD3	YIL065C	FIS1	False	False	True	False	C			0.2799
YAL016W	TPD3	YNL127W	FAR11	True	False	True	False	B			0.3381
YAL020C	ATS1	YBL071W-A	KTI11	False	False	True	True	C	0.12508		
YAL021C	CCR4	YJL112W	MDV1	False	False	True	False	C	0.00425	0.03004306639650702	0.2664
YAL021C	CCR4	YMR124W	EPO1	False	False	True	False	C	0.02091	0.08458067700774857	0.2852
YAL021C	CCR4	YMR181C		False	False	True	False	C	-0.00792	0.004221933144713733	
YAL021C	CCR4	YNR052C	POP2	False	False	True	False	A			0.2244
YAL024C	LTE1	YHR158C	KEL1	False	False	True	False	A	-0.07259	0.03656264517068419	
YAL027W	SAW1	YPL022W	RAD1	False	False	True	False	A	0.0321	0.3644635169765677	0.2881
YAL028W	FRT2	YDL239C	ADY3	False	True	False	False	D	0.00387	0.25617371816109474	
YAL032C	PRP45	YDR416W	SYF1	False	False	True	False	A			0.5255
YAL032C	PRP45	YDR448W	ADA2	False	False	True	False	B	0.03156		0.2742
YAL032C	PRP45	YDR532C	KRE28	False	False	True	False	C			0.4454
YAL032C	PRP45	YJL112W	MDV1	False	False	True	False	C	0.04464		0.5055
YAL032C	PRP45	YLR345W		True	False	True	False	C	0.00486		0.3751
YAL032C	PRP45	YLR423C	ATG17	False	False	True	False	B	0.00505		0.3573
YAL032C	PRP45	YNL229C	URE2	False	False	True	False	C	-0.00592		0.4507
YAL032C	PRP45	YPL151C	PRP46	True	True	True	False	A	0.40908		0.5737
YAL034W-A	MTW1	YGL172W	NUP49	True	False	False	False	B			0.2054
YAL034W-A	MTW1	YGR120C	COG2	True	False	False	False	B	-0.04		0.4146
YAL034W-A	MTW1	YJL036W	SNX4	False	False	False	True	B	-0.02183		0.2791
YAL034W-A	MTW1	YJR112W	NNF1	False	False	True	True	A	0.1643		0.4549
YAL034W-A	MTW1	YKL103C	APE1	True	False	False	False	C	-0.01288		-0.0096
YAL034W-A	MTW1	YLR052W	IES3	False	False	False	True	B	0.05378		
YAL036C	RBG1	YBR270C	BIT2	False	False	False	True	D	-0.0174	0.3086811420295978	
YAL036C	RBG1	YDR022C	ATG31	False	False	False	True	C	0.02532	0.12953877578892797	
YAL036C	RBG1	YDR152W	GIR2	True	False	True	False	D	0.00092	0.14330303690829468	0.5904
YAL036C	RBG1	YDR448W	ADA2	False	False	True	False	C	-0.0242		0.2482
YAL036C	RBG1	YLR423C	ATG17	False	False	True	False	C	-0.00064		-0.1773
YAL036C	RBG1	YML088W	UFO1	False	False	False	True	C	0.06689	0.3218416728659452	0.0923
YAL036C	RBG1	YOR174W	MED4	False	False	True	False	C	0.01335		0.2358
YAL036C	RBG1	YOR279C	RFM1	False	False	False	True	C	0.0094	0.03817693817432507	0.0605
YAL036C	RBG1	YPL018W	CTF19	False	False	False	True	C	0.00288	0.07829623108122176	
YAL039C	CYC3	YDR175C	RSM24	False	False	False	True	C	0.04423		0.2756
YAL039C	CYC3	YGR142W	BTN2	False	False	False	True	D	-0.02597	0.018410760867697176	0.1233
YAL039C	CYC3	YNL189W	SRP1	False	False	False	True	C	0.08717		0.0374
YAL040C	CLN3	YJL013C	MAD3	True	False	False	False	C	-0.01292	0.09136466599403711	-0.0036
YAL041W	CDC24	YBR200W	BEM1	False	False	True	False	A	0.02752		0.5125
YAL041W	CDC24	YIL079C	AIR1	False	False	False	True	B	-0.00344		0.2246
YAL042W	ERV46	YPR159W	KRE6	False	False	False	True	C			0.2268
YAL044W-A	BOL1	YDR098C	GRX3	False	False	True	True	D	-0.00246		0.2528
YAL044W-A	BOL1	YER174C	GRX4	False	False	True	False	D	0.02347		0.1594
YAL044W-A	BOL1	YIR018W	YAP5	False	False	False	True	D	-0.01835		
YAL044W-A	BOL1	YNL218W	MGS1	False	False	True	False	D	0.08436		0.0032
YAL044W-A	BOL1	YNL249C	MPA43	False	False	True	False	D	0.05529		-0.0112
YAL046C	BOL3	YDR098C	GRX3	False	False	True	True	D	0.02127		
YAL046C	BOL3	YER174C	GRX4	False	False	True	False	D	0.02563		
YAL046C	BOL3	YKR034W	DAL80	False	False	True	False	D	-0.00432		
YAL049C	AIM2	YNL094W	APP1	True	False	True	False	D	0.01784	-0.07733690087314958	0.3871
YAL054C	ACS1	YAR035W	YAT1	False	False	False	True	D	0.01514	0.008110149752300547	0.4993
YAL054C	ACS1	YDR216W	ADR1	False	False	True	False	D	0.08804	0.05060502430821458	0.4345
YAL054C	ACS1	YLR049C		False	True	False	True	D	0.00373		
YAL054C	ACS1	YNL189W	SRP1	False	True	False	False	C	0.07103		-0.0061
YAL055W	PEX22	YDL100C	GET3	False	False	True	False	C	-0.04876	0.419573753247234	
YAL055W	PEX22	YGR133W	PEX4	False	False	True	True	D	0.26518	0.6682546260239004	
YAL060W	BDH1	YER081W	SER3	False	True	False	False	D	-0.01229	0.0035809158474072998	
YAL062W	GDH3	YLR267W	BOP2	False	True	False	True	D	-0.02234	0.22308958934693565	
YAL064W-B		YNR062C		False	False	False	True	D			
YAL067W-A		YDL116W	NUP84	False	False	False	True	C	0.04434		
YAL068C	PAU8	YPL070W	MUK1	False	False	False	True	C	0.04051	-0.038996363878680065	
YAR003W	SWD1	YBR175W	SWD3	True	False	False	False	A	0.46793	0.44371672003123797	0.3875
YAR003W	SWD1	YDR140W	MTQ2	True	False	False	True	C			0.2357
YAR007C	RFA1	YER173W	RAD24	False	False	False	True	B	0.55237		0.1756
YAR007C	RFA1	YJL173C	RFA3	False	False	True	True	A			0.4532
YAR007C	RFA1	YJR043C	POL32	False	False	False	True	B	0.36164		0.425
YAR007C	RFA1	YNL312W	RFA2	False	False	False	True	A			0.6699
YAR014C	BUD14	YER133W	GLC7	True	False	False	False	C	0.03477		
YAR018C	KIN3	YAR018C	KIN3	False	True	False	False	D			
YAR027W	UIP3	YAR027W	UIP3	False	True	True	False	D			
YAR027W	UIP3	YAR028W		False	False	True	False	D	-0.03082	-0.2365154484842428	
YAR027W	UIP3	YBR042C	CST26	False	False	True	False	D	0.02097	0.06226315495189481	
YAR027W	UIP3	YDR100W	TVP15	False	False	True	False	D	-0.00347	0.036046179220083206	
