orf_name_a,orf_name_b,Uetz-screen,Ito-core,CCSB-YI1,YeRI
Q0085,YCR106W,False,False,True,False
R0020C,YGR048W,False,False,False,True
YAL005C,YBR101C,False,False,True,False
YAL008W,YGL029W,False,False,False,True
YAL012W,YAL012W,False,False,True,False
YAL016W,YGR161C,False,False,False,True
YAL016W,YIL065C,False,False,True,False
YAL016W,YNL127W,True,False,True,False
YAL020C,YBL071WA,False,False,True,True
YAL021C,YJL112W,False,False,True,False
YAL021C,YMR124W,False,False,True,False
YAL021C,YMR181C,False,False,True,False
YAL021C,YNR052C,False,False,True,False
YAL024C,YHR158C,False,False,True,False
YAL027W,YPL022W,False,False,True,False
YAL028W,YDL239C,False,True,False,False
YAL032C,YDR416W,False,False,True,False
YAL032C,YDR448W,False,False,True,False
YAL032C,YDR532C,False,False,True,False
YAL032C,YJL112W,False,False,True,False
YAL032C,YLR345W,True,False,True,False
YAL032C,YLR423C,False,False,True,False
YAL032C,YNL229C,False,False,True,False
YAL032C,YPL151C,True,True,True,False
YAL034WA,YGL172W,True,False,False,False
YAL034WA,YGR120C,True,False,False,False
YAL034WA,YJL036W,False,False,False,True
YAL034WA,YJR112W,False,False,True,True
YAL034WA,YKL103C,True,False,False,False
YAL034WA,YLR052W,False,False,False,True
YAL036C,YBR270C,False,False,False,True
YAL036C,YDR022C,False,False,False,True
YAL036C,YDR152W,True,False,True,False
YAL036C,YDR448W,False,False,True,False
YAL036C,YLR423C,False,False,True,False
YAL036C,YML088W,False,False,False,True
YAL036C,YOR174W,False,False,True,False
YAL036C,YOR279C,False,False,False,True
YAL036C,YPL018W,False,False,False,True
YAL039C,YDR175C,False,False,False,True
YAL039C,YGR142W,False,False,False,True
YAL039C,YNL189W,False,False,False,True
YAL040C,YJL013C,True,False,False,False
YAL041W,YBR200W,False,False,True,False
YAL041W,YIL079C,False,False,False,True
YAL042W,YPR159W,False,False,False,True
YAL044WA,YDR098C,False,False,True,True
YAL044WA,YER174C,False,False,True,False
YAL044WA,YIR018W,False,False,False,True
YAL044WA,YNL218W,False,False,True,False
YAL044WA,YNL249C,False,False,True,False
YAL046C,YDR098C,False,False,True,True
YAL046C,YER174C,False,False,True,False
YAL046C,YKR034W,False,False,True,False
YAL049C,YNL094W,True,False,True,False
YAL054C,YAR035W,False,False,False,True
YAL054C,YDR216W,False,False,True,False
YAL054C,YLR049C,False,True,False,True
YAL054C,YNL189W,False,True,False,False
YAL055W,YDL100C,False,False,True,False
YAL055W,YGR133W,False,False,True,True
YAL060W,YER081W,False,True,False,False
YAL062W,YLR267W,False,True,False,True
YAL064WB,YNR062C,False,False,False,True
YAL067WA,YDL116W,False,False,False,True
YAL068C,YPL070W,False,False,False,True
YAR003W,YBR175W,True,False,False,False
YAR003W,YDR140W,True,False,False,True
YAR007C,YER173W,False,False,False,True
YAR007C,YJL173C,False,False,True,True
YAR007C,YJR043C,False,False,False,True
YAR007C,YNL312W,False,False,False,True
YAR014C,YER133W,True,False,False,False
YAR018C,YAR018C,False,True,False,False
YAR027W,YAR027W,False,True,True,False
YAR027W,YAR028W,False,False,True,False
YAR027W,YBR042C,False,False,True,False
YAR027W,YDR100W,False,False,True,False
YAR027W,YDR411C,False,False,True,False
YAR027W,YEL042W,False,False,True,False
YAR027W,YGL104C,False,False,True,False
YAR027W,YGL225W,False,False,True,False
YAR027W,YGR284C,False,False,True,False
YAR027W,YJL097W,False,False,True,False
YAR027W,YJL117W,False,False,True,False
YAR027W,YJR013W,False,False,True,False
YAR027W,YJR044C,False,False,True,False
YAR027W,YLR350W,False,False,True,False
YAR027W,YML055W,False,False,True,False
YAR027W,YMR071C,False,False,True,False
YAR027W,YNL219C,False,False,True,False
YAR027W,YNL263C,False,False,True,False
YAR027W,YNL315C,False,False,True,False
YAR027W,YOL129W,False,False,True,False
YAR027W,YPL020C,False,False,True,False
YAR027W,YPR113W,False,False,True,False
YAR027W,YPR159CA,False,False,True,False
YAR027W,YPR159W,False,False,False,True
YAR028W,YAR028W,False,False,True,False
YAR028W,YJL097W,False,False,True,False
YAR031W,YBR217W,True,False,False,False
YAR031W,YCR030C,True,False,False,False
YAR033W,YAR033W,False,True,True,False
YAR033W,YER032W,False,False,False,True
YAR033W,YGL051W,True,False,True,False
