"orf_name_a" "gene_name_a" "orf_name_b" "gene_name_b" "Zone" "GI_PCC" "CS_PCC" "GE_PCC"
"16" "YAL028W" "FRT2" "YDL239C" "ADY3" "D" 0.00387 0.256173718161095 NA
"24" "YAL032C" "PRP45" "YPL151C" "PRP46" "A" 0.40908 NA 0.5737
"58" "YAL054C" "ACS1" "YLR049C" "" "D" 0.00373 NA NA
"59" "YAL054C" "ACS1" "YNL189W" "SRP1" "C" 0.07103 NA -0.0061
"62" "YAL060W" "BDH1" "YER081W" "SER3" "D" -0.01229 0.0035809158474073 NA
"63" "YAL062W" "GDH3" "YLR267W" "BOP2" "D" -0.02234 0.223089589346936 NA
"74" "YAR018C" "KIN3" "YAR018C" "KIN3" "D" NA NA NA
"75" "YAR027W" "UIP3" "YAR027W" "UIP3" "D" NA NA NA
"103" "YAR033W" "MST28" "YAR033W" "MST28" "D" NA NA NA
"111" "YBL006C" "LDB7" "YDR489W" "SLD5" "B" 0.03813 NA NA
"117" "YBL010C" "" "YKR022C" "NTR2" "C" 0.02982 NA NA
"120" "YBL016W" "FUS3" "YDR480W" "DIG2" "B" NA NA NA
"121" "YBL016W" "FUS3" "YPL049C" "DIG1" "B" NA NA NA
"125" "YBL021C" "HAP3" "YGL237C" "HAP2" "A" 0.32661 0.506194755804138 0.357
"126" "YBL021C" "HAP3" "YOR358W" "HAP5" "A" 0.17914 0.406909591891394 0.3086
"136" "YBL026W" "LSM2" "YCR077C" "PAT1" "A" 0.17951 NA NA
"146" "YBL033C" "RIB1" "YPR172W" "" "D" NA NA -0.0272
"151" "YBL039C" "URA7" "YJR103W" "URA8" "D" 0.09017 -0.0478233748227601 NA
"160" "YBL045C" "COR1" "YPR191W" "QCR2" "A" NA NA 0.8085
"161" "YBL046W" "PSY4" "YNL201C" "PSY2" "A" NA 0.533247545850614 0.3565
"167" "YBL056W" "PTC3" "YDR071C" "PAA1" "D" 0.04004 0.236863268449629 NA
"178" "YBL068W" "PRS4" "YOL061W" "PRS5" "D" 0.12362 0.179100423283238 NA
"183" "YBL078C" "ATG8" "YNR007C" "ATG3" "D" 0.15215 0.176439863355641 0.6363
"186" "YBL081W" "" "YDL167C" "NRP1" "D" 0.00149 0.501555852182558 0.6298
"206" "YBL102W" "SFT2" "YLR453C" "RIF2" "C" -0.00461 0.0897431866629777 NA
"207" "YBL102W" "SFT2" "YOR036W" "PEP12" "D" 0.12631 NA 0.2364
"222" "YBR034C" "HMT1" "YGR165W" "MRPS35" "B" NA NA 0.1963
