	orf_name_a	gene_name_a	orf_name_b	gene_name_b	Zone	GI_PCC	CS_PCC	GE_PCC
2	R0020C	REP1	YGR048W	UFD1	C	NA	NA	NA
4	YAL008W	FUN14	YGL029W	CGR1	D	-0.0108	NA	NA
6	YAL016W	TPD3	YGR161C	RTS3	B	NA	NA	NA
9	YAL020C	ATS1	YBL071W-A	KTI11	C	0.12508	NA	NA
27	YAL034W-A	MTW1	YJL036W	SNX4	B	-0.02183	NA	0.2791
28	YAL034W-A	MTW1	YJR112W	NNF1	A	0.1643	NA	0.4549
30	YAL034W-A	MTW1	YLR052W	IES3	B	0.05378	NA	NA
31	YAL036C	RBG1	YBR270C	BIT2	D	-0.0174	0.308681142	NA
32	YAL036C	RBG1	YDR022C	ATG31	C	0.02532	0.129538776	NA
36	YAL036C	RBG1	YML088W	UFO1	C	0.06689	0.321841673	0.0923
38	YAL036C	RBG1	YOR279C	RFM1	C	0.0094	0.038176938	0.0605
39	YAL036C	RBG1	YPL018W	CTF19	C	0.00288	0.078296231	NA
40	YAL039C	CYC3	YDR175C	RSM24	C	0.04423	NA	0.2756
41	YAL039C	CYC3	YGR142W	BTN2	D	-0.02597	0.018410761	0.1233
42	YAL039C	CYC3	YNL189W	SRP1	C	0.08717	NA	0.0374
45	YAL041W	CDC24	YIL079C	AIR1	B	-0.00344	NA	0.2246
46	YAL042W	ERV46	YPR159W	KRE6	C	NA	NA	0.2268
47	YAL044W-A	BOL1	YDR098C	GRX3	D	-0.00246	NA	0.2528
49	YAL044W-A	BOL1	YIR018W	YAP5	D	-0.01835	NA	NA
52	YAL046C	BOL3	YDR098C	GRX3	D	0.02127	NA	NA
56	YAL054C	ACS1	YAR035W	YAT1	D	0.01514	0.00811015	0.4993
58	YAL054C	ACS1	YLR049C		D	0.00373	NA	NA
61	YAL055W	PEX22	YGR133W	PEX4	D	0.26518	0.668254626	NA
63	YAL062W	GDH3	YLR267W	BOP2	D	-0.02234	0.223089589	NA
64	YAL064W-B		YNR062C		D	NA	NA	NA
65	YAL067W-A		YDL116W	NUP84	C	0.04434	NA	NA
66	YAL068C	PAU8	YPL070W	MUK1	C	0.04051	-0.038996364	NA
68	YAR003W	SWD1	YDR140W	MTQ2	C	NA	NA	0.2357
69	YAR007C	RFA1	YER173W	RAD24	B	0.55237	NA	0.1756
70	YAR007C	RFA1	YJL173C	RFA3	A	NA	NA	0.4532
71	YAR007C	RFA1	YJR043C	POL32	B	0.36164	NA	0.425
72	YAR007C	RFA1	YNL312W	RFA2	A	NA	NA	0.6699
98	YAR027W	UIP3	YPR159W	KRE6	D	NA	NA	NA
104	YAR033W	MST28	YER032W	FIR1	D	0.09712	NA	NA
108	YAR035W	YAT1	YJR136C	TTI2	D	NA	NA	0.0563
112	YBL006C	LDB7	YJR011C		C	-0.07741	-0.164558088	NA
114	YBL009W	ALK2	YGL060W	YBP2	D	0.01328	-0.142919881	0.4011
115	YBL010C		YHL004W	MRP4	C	NA	NA	NA
116	YBL010C		YJR011C		D	-0.00593	-0.297422802	NA
118	YBL010C		YML064C	TEM1	D	-0.0092	NA	NA
122	YBL020W	RFT1	YDL088C	ASM4	C	-0.0408	NA	0.3954
134	YBL025W	RRN10	YFR050C	PRE4	B	NA	NA	0.4582
135	YBL025W	RRN10	YMR270C	RRN9	A	NA	NA	0.3647
137	YBL026W	LSM2	YDR378C	LSM6	A	0.42822	NA	NA
138	YBL026W	LSM2	YGR158C	MTR3	B	0.01255	NA	0.2312
139	YBL026W	LSM2	YLR275W	SMD2	A	0.13137	NA	0.6768
140	YBL026W	LSM2	YLR438C-A	LSM3	A	0.39296	NA	0.5513
141	YBL026W	LSM2	YOR159C	SME1	A	0.29686	NA	0.6322
142	YBL026W	LSM2	YPR178W	PRP4	A	0.37141	NA	-0.0185
143	YBL031W	SHE1	YDR192C	NUP42	C	0.01054	NA	NA
144	YBL031W	SHE1	YPL155C	KIP2	C	0.05246	0.3523751	0.3651
148	YBL037W	APL3	YFR043C	IRC6	C	NA	0.403953994	0.2413
152	YBL039W-B		YPR128C	ANT1	D	-0.06483	NA	NA
155	YBL043W	ECM13	YJR046W	TAH11	D	-0.00731	NA	NA
156	YBL043W	ECM13	YLR117C	CLF1	C	0.00417	NA	NA
157	YBL043W	ECM13	YLR435W	TSR2	D	-0.01314	NA	NA
158	YBL043W	ECM13	YOR115C	TRS33	C	-0.02173	0.10812097	NA
159	YBL043W	ECM13	YOR304C-A	BIL1	D	-0.01353	0.353711395	NA
164	YBL049W	MOH1	YOR275C	RIM20	C	-0.02406	0.216506202	0.3099
168	YBL056W	PTC3	YML088W	UFO1	C	NA	-0.177385356	NA
169	YBL057C	PTH2	YMR276W	DSK2	D	-0.01712	0.004302983	NA
170	YBL057C	PTH2	YPR174C		D	0.04735	-0.178407031	NA
176	YBL066C	SEF1	YPR040W	TIP41	D	-0.07645	-0.053683025	NA
177	YBL068W	PRS4	YKL181W	PRS1	D	NA	NA	NA
180	YBL078C	ATG8	YBR217W	ATG12	C	0.14554	0.272098714	0.381
182	YBL078C	ATG8	YNL223W	ATG4	D	0.11488	NA	0.5295
185	YBL081W		YBR165W	UBS1	D	0.02745	NA	0.1626
187	YBL081W		YDR142C	PEX7	D	0.02458	0.1879056	0.188
188	YBL081W		YGL181W	GTS1	D	0.06285	0.338509857	-0.0304
189	YBL081W		YLR291C	GCD7	C	-0.06066	NA	0.515
190	YBL081W		YML064C	TEM1	D	-0.08729	NA	0.3195
191	YBL081W		YPL174C	NIP100	C	0.01676	0.046710139	0.0524
192	YBL082C	ALG3	YCR094W	CDC50	D	0.00121	0.261954985	0.405
193	YBL090W	MRP21	YLR288C	MEC3	B	0.00295	NA	NA
194	YBL090W	MRP21	YML088W	UFO1	B	0.00612	NA	NA
201	YBL097W	BRN1	YDR439W	LRS4	B	0.43922	NA	NA
202	YBL098W	BNA4	YML130C	ERO1	C	0.00907	NA	0.0347
203	YBL098W	BNA4	YNL100W	MIC27	D	0.02986	0.183567462	0.2505
209	YBL107C	MIX23	YLR433C	CNA1	C	-0.00189	0.023734869	0.1745
210	YBR002C	RER2	YKR021W	ALY1	D	NA	NA	0.1422
211	YBR002C	RER2	YML064C	TEM1	D	NA	NA	0.3598
215	YBR007C	DSF2	YOR368W	RAD17	C	-0.02579	0.07596613	NA
217	YBR026C	ETR1	YDL043C	PRP11	C	0.07008	NA	0.0052
220	YBR030W	RKM3	YGL129C	RSM23	C	NA	NA	NA
224	YBR036C	CSG2	YNL125C	ESBP6	D	0.01678	0.197692833	NA
225	YBR036C	CSG2	YPR159W	KRE6	D	NA	NA	NA
230	YBR045C	GIP1	YLR288C	MEC3	B	NA	0.379376726	NA
231	YBR046C	ZTA1	YMR213W	CEF1	C	0.035	NA	0.0554
232	YBR047W	FMP23	YPL077C		D	-0.01378	-0.101756559	NA
234	YBR052C	RFS1	YIL103W	DPH1	B	0.02207	0.125747287	NA
235	YBR054W	YRO2	YML088W	UFO1	C	0.00986	-0.019560222	0.0275
239	YBR056W-A		YJR128W		D	NA	NA	NA
250	YBR058C-A	TSC3	YDR062W	LCB2	D	0.15207	NA	NA
251	YBR058C-A	TSC3	YGR038W	ORM1	D	-0.02983	NA	NA
252	YBR058C-A	TSC3	YLR350W	ORM2	D	-0.1458	NA	NA
257	YBR060C	ORC2	YDL111C	RRP42	B	0.03213	NA	0.4234
258	YBR060C	ORC2	YEL056W	HAT2	B	NA	NA	0.3825
259	YBR060C	ORC2	YLL004W	ORC3	A	0.51905	NA	0.3747
260	YBR060C	ORC2	YLR368W	MDM30	B	-0.00687	NA	0.3247
261	YBR060C	ORC2	YPR120C	CLB5	C	0.07584	NA	0.3072
