,geneA,geneB
0,R0020C,YGR048W
1,YAL008W,YGL029W
2,YAL016W,YGR161C
3,YAL020C,YBL071WA
4,YAL034WA,YJL036W
5,YAL034WA,YJR112W
6,YAL034WA,YLR052W
7,YAL036C,YBR270C
8,YAL036C,YDR022C
9,YAL036C,YML088W
10,YAL036C,YOR279C
11,YAL036C,YPL018W
12,YAL039C,YDR175C
13,YAL039C,YGR142W
14,YAL039C,YNL189W
15,YAL041W,YIL079C
16,YAL042W,YPR159W
17,YAL044WA,YDR098C
18,YAL044WA,YIR018W
19,YAL046C,YDR098C
20,YAL054C,YAR035W
21,YAL054C,YLR049C
22,YAL055W,YGR133W
23,YAL062W,YLR267W
24,YAL064WB,YNR062C
25,YAL067WA,YDL116W
26,YAL068C,YPL070W
27,YAR003W,YDR140W
28,YAR007C,YER173W
29,YAR007C,YJL173C
30,YAR007C,YJR043C
31,YAR007C,YNL312W
32,YAR027W,YPR159W
33,YAR033W,YER032W
34,YAR035W,YJR136C
35,YBL006C,YJR011C
36,YBL009W,YGL060W
37,YBL010C,YHL004W
38,YBL010C,YJR011C
39,YBL010C,YML064C
40,YBL020W,YDL088C
41,YBL025W,YFR050C
42,YBL025W,YMR270C
43,YBL026W,YDR378C
44,YBL026W,YGR158C
45,YBL026W,YLR275W
46,YBL026W,YLR438CA
47,YBL026W,YOR159C
48,YBL026W,YPR178W
49,YBL031W,YDR192C
50,YBL031W,YPL155C
51,YBL037W,YFR043C
52,YBL039WB,YPR128C
53,YBL043W,YJR046W
54,YBL043W,YLR117C
55,YBL043W,YLR435W
56,YBL043W,YOR115C
57,YBL043W,YOR304CA
58,YBL049W,YOR275C
59,YBL056W,YML088W
60,YBL057C,YMR276W
61,YBL057C,YPR174C
62,YBL066C,YPR040W
63,YBL068W,YKL181W
64,YBL078C,YBR217W
65,YBL078C,YNL223W
66,YBL081W,YBR165W
67,YBL081W,YDR142C
68,YBL081W,YGL181W
69,YBL081W,YLR291C
70,YBL081W,YML064C
71,YBL081W,YPL174C
72,YBL082C,YCR094W
73,YBL090W,YLR288C
74,YBL090W,YML088W
75,YBL097W,YDR439W
76,YBL098W,YML130C
77,YBL098W,YNL100W
78,YBL107C,YLR433C
79,YBR002C,YKR021W
80,YBR002C,YML064C
81,YBR007C,YOR368W
82,YBR026C,YDL043C
83,YBR030W,YGL129C
84,YBR036C,YNL125C
85,YBR036C,YPR159W
86,YBR045C,YLR288C
87,YBR046C,YMR213W
88,YBR047W,YPL077C
89,YBR052C,YIL103W
90,YBR054W,YML088W
91,YBR056WA,YJR128W
92,YBR058CA,YDR062W
93,YBR058CA,YGR038W
94,YBR058CA,YLR350W
95,YBR060C,YDL111C
96,YBR060C,YEL056W
97,YBR060C,YLL004W
98,YBR060C,YLR368W
99,YBR060C,YPR120C
100,YBR061C,YMR055C
101,YBR068C,YEL001C
102,YBR068C,YPR170WB
103,YBR072CA,YIR016W
104,YBR077C,YGR201C
105,YBR077C,YKR007W
106,YBR082C,YER068W
107,YBR083W,YDL013W
108,YBR083W,YGR048W
109,YBR087W,YJR068W
110,YBR088C,YER131W
111,YBR088C,YJR043C
112,YBR088C,YMR137C
113,YBR101C,YDR311W
114,YBR103W,YBR122C
115,YBR103W,YBR282W
116,YBR103W,YJL122W
117,YBR103W,YJR141W
118,YBR103W,YLR407W
119,YBR107C,YDR254W
120,YBR109C,YCL063W
121,YBR109C,YGL106W
122,YBR111C,YOR368W
123,YBR111WA,YML051W
124,YBR114W,YJL036W
125,YBR114W,YML095C
126,YBR114W,YPR083W
127,YBR122C,YGL115W
128,YBR123C,YKL078W
129,YBR123C,YPL225W
130,YBR125C,YCL033C
131,YBR125C,YDR071C
132,YBR126C,YPL152W
133,YBR126WA,YPR174C
134,YBR127C,YGR117C
135,YBR128C,YPL120W
136,YBR130C,YHR107C
137,YBR131W,YKR036C
138,YBR131W,YOR034C
139,YBR141C,YLR061W
140,YBR146W,YGR158C
141,YBR152W,YGR075C
142,YBR162WA,YDR160W
143,YBR162WA,YJR010CA
144,YBR162WA,YMR153W
145,YBR165W,YBR270C
146,YBR165W,YGL215W
147,YBR165W,YGR158C
148,YBR167C,YDL159W
149,YBR167C,YER094C
150,YBR167C,YGR030C
151,YBR168W,YHR150W
152,YBR170C,YDR130C
153,YBR170C,YGR048W
154,YBR170C,YIR015W
155,YBR170C,YLR240W
156,YBR170C,YMR068W
157,YBR173C,YGR057C
158,YBR175W,YJR128W
159,YBR175W,YKR081C
160,YBR176W,YGR048W
161,YBR181C,YEL053C
162,YBR182C,YER094C
163,YBR182C,YKR027W
164,YBR182C,YLR368W
165,YBR182C,YNL193W
166,YBR182C,YOR368W
167,YBR182C,YPL169C
168,YBR187W,YDR373W
169,YBR188C,YMR213W
170,YBR195C,YPR018W
171,YBR199W,YCL005WA
172,YBR203W,YOL054W
173,YBR212W,YML088W
174,YBR217W,YLL042C
175,YBR217W,YNR007C
176,YBR217W,YPL149W
177,YBR223C,YGR048W
178,YBR227C,YHR033W
179,YBR228W,YGR198W
180,YBR228W,YML064C
181,YBR230C,YNL100W
182,YBR233WA,YDR357C
183,YBR233WA,YLR313C
184,YBR237W,YGR013W
185,YBR249C,YGR168C
186,YBR255CA,YCL056C
187,YBR255CA,YGR168C
188,YBR255CA,YNL100W
189,YBR257W,YCR020CA
190,YBR257W,YDL159W
191,YBR257W,YHR062C
192,YBR257W,YLR291C
193,YBR260C,YDR200C
194,YBR260C,YKR019C
195,YBR260C,YPL140C
196,YBR264C,YER136W
197,YBR268W,YNL185C
198,YBR269C,YKL075C
199,YBR270C,YDR004W
200,YBR270C,YER094C
201,YBR270C,YGL209W
202,YBR270C,YIL103W
203,YBR270C,YJR046W
204,YBR273C,YGR284C
205,YBR273C,YJL048C
206,YBR273C,YMR276W
207,YBR273C,YPR113W
208,YBR278W,YDR121W
209,YBR280C,YNL141W
210,YBR282W,YDL087C
211,YBR282W,YDR079CA
212,YBR282W,YGR158C
213,YBR282W,YJR046W
214,YBR282W,YLR117C
215,YBR282W,YLR119W
216,YBR282W,YLR370C
217,YBR282W,YMR168C
218,YBR282W,YNL153C
219,YBR284W,YLR368W
220,YBR288C,YGR261C
221,YBR298CA,YCR020CA
222,YCL005WA,YNL125C
223,YCL009C,YML088W
224,YCL017C,YER094C
225,YCL017C,YHL006C
226,YCL017C,YJR011C
227,YCL017C,YLR201C
228,YCL017C,YMR239C
229,YCL017C,YOR226C
230,YCL021WA,YMR153W
231,YCL029C,YLR385C
232,YCL029C,YOR269W
233,YCL031C,YPR040W
234,YCL032W,YLL049W
235,YCL033C,YDR422C
236,YCL033C,YER180C
237,YCL033C,YHR153C
238,YCL033C,YIL008W
239,YCL033C,YJR046W
240,YCL033C,YJR070C
241,YCL040W,YDR516C
242,YCL043C,YJL060W
243,YCL051W,YDR523C
244,YCL051W,YML051W
245,YCL051W,YML064C
246,YCL055W,YGL192W
247,YCL055W,YNL196C
248,YCL056C,YMR256C
249,YCL056C,YNL100W
250,YCL057CA,YDL226C
251,YCL057CA,YGR235C
252,YCL057CA,YLR108C
253,YCL057CA,YLR356W
254,YCL057CA,YNL100W
255,YCL059C,YML093W
256,YCR003W,YML130C
257,YCR009C,YDR388W
258,YCR009C,YMR312W
259,YCR020C,YGL119W
260,YCR020CA,YEL053C
261,YCR020CA,YJR128W
262,YCR020CA,YPL173W
263,YCR020WB,YFR004W
264,YCR020WB,YFR037C
265,YCR024CA,YJR010CA
266,YCR024CA,YJR152W
267,YCR028CA,YNL189W
268,YCR035C,YGR095C
269,YCR051W,YPL220W
270,YCR054C,YDL230W
271,YCR054C,YGR181W
272,YCR057C,YLR409C
273,YCR059C,YHR193C
274,YCR060W,YGR237C
275,YCR060W,YKL117W
276,YCR063W,YGL127C
277,YCR068W,YMR153W
278,YCR068W,YNL125C
279,YCR075WA,YEL020WA
280,YCR075WA,YKR007W
281,YCR075WA,YMR213W
282,YCR086W,YDR088C
283,YCR086W,YDR439W
284,YCR086W,YFR028C
285,YCR086W,YOL036W
286,YCR086W,YPL093W
287,YCR095C,YDR067C
288,YCR095C,YHL029C
289,YCR095C,YNL189W
290,YCR095WA,YDL226C
291,YCR095WA,YEL009CA
292,YCR099C,YPR017C
293,YDL002C,YER092W
294,YDL002C,YLR052W
295,YDL002C,YNL084C
296,YDL002C,YOL069W
297,YDL004W,YPL271W
298,YDL013W,YDL013W
299,YDL013W,YDR148C
300,YDL013W,YJL110C
301,YDL013W,YMR111C
302,YDL013W,YOR285W
303,YDL013W,YOR368W
304,YDL015C,YFR035C
305,YDL015C,YMR153W
306,YDL015C,YNR039C
307,YDL015C,YOL110W
308,YDL020C,YML051W
309,YDL022W,YDR142C
310,YDL039C,YDR373W
311,YDL042C,YOR279C
312,YDL043C,YJL203W
313,YDL043C,YLR291C
314,YDL043C,YML064C
315,YDL043C,YPL173W
316,YDL044C,YDL087C
317,YDL044C,YDR422C
318,YDL044C,YER094C
319,YDL044C,YGR048W
320,YDL044C,YJR046W
321,YDL044C,YKR027W
322,YDL044C,YLR347C
323,YDL044C,YMR055C
324,YDL044C,YNL189W
325,YDL044C,YOR023C
326,YDL047W,YKL192C
327,YDL049C,YDL226C
328,YDL049C,YJR110W
329,YDL049C,YNL044W
330,YDL049C,YNL204C
331,YDL049C,YPL070W
332,YDL053C,YER016W
333,YDL053C,YGR178C
334,YDL053C,YHR121W
335,YDL053C,YIL105WA
336,YDL057W,YLR240W
337,YDL076C,YMR168C
338,YDL077C,YMR231W
339,YDL083C,YLR449W
340,YDL084W,YDR381W
341,YDL087C,YDL233W
342,YDL087C,YDR404C
343,YDL087C,YHL006C
344,YDL087C,YHR033W
345,YDL087C,YJR003C
346,YDL087C,YJR050W
347,YDL087C,YKL078W
348,YDL087C,YKL138CA
349,YDL087C,YLL007C
350,YDL087C,YLR291C
351,YDL087C,YMR213W
352,YDL087C,YMR293C
353,YDL087C,YNL086W
354,YDL087C,YOL024W
355,YDL087C,YOR060C
356,YDL087C,YOR158W
357,YDL087C,YPL002C
358,YDL087C,YPL282C
359,YDL087C,YPR083W
360,YDL088C,YFR002W
361,YDL088C,YJL117W
362,YDL088C,YJR046W
363,YDL088C,YLR201C
364,YDL088C,YML051W
365,YDL088C,YML064C
366,YDL088C,YMR153W
367,YDL088C,YPR017C
368,YDL088C,YPR054W
369,YDL089W,YDR375C
370,YDL089W,YNR039C
371,YDL090C,YKL019W
372,YDL092W,YKL122C
373,YDL097C,YDL242W
374,YDL097C,YDR179C
375,YDL097C,YJR055W
376,YDL097C,YKL222C
377,YDL097C,YLR031W
378,YDL097C,YLR313C
379,YDL097C,YLR315W
380,YDL097C,YLR408C
381,YDL097C,YOR158W
382,YDL098C,YGL016W
383,YDL098C,YGR075C
384,YDL098C,YJR046W
385,YDL098C,YLR291C
386,YDL098C,YML064C
387,YDL098C,YNL189W
388,YDL098C,YOR226C
389,YDL098C,YPL135W
390,YDL105W,YDR288W
391,YDL108W,YPR025C
392,YDL109C,YEL041W
393,YDL110C,YGL048C
394,YDL111C,YGR158C
395,YDL111C,YGR195W
396,YDL113C,YGL158W
397,YDL113C,YJL036W
398,YDL113C,YLL004W
399,YDL113C,YNL086W
400,YDL116W,YHR033W
401,YDL116W,YKR082W
402,YDL116W,YNL258C
403,YDL120W,YNL204C
404,YDL125C,YDL125C
405,YDL125C,YHR106W
406,YDL127W,YMR068W
407,YDL130WA,YGR048W
408,YDL130WA,YML064C
409,YDL132W,YDR328C
410,YDL132W,YLR224W
411,YDL134C,YGR161C
412,YDL134C,YJR128W
413,YDL134C,YKL156W
414,YDL134C,YKL192C
415,YDL134C,YMR028W
416,YDL139C,YLR288C
417,YDL147W,YDR179C
418,YDL147W,YDR427W
419,YDL147W,YMR025W
420,YDL154W,YGR013W
421,YDL157C,YNL100W
422,YDL159W,YPL243W
423,YDL160CA,YDL242W
424,YDL160CA,YIR024C
425,YDL160CA,YOL086WA
426,YDL161W,YOR181W
427,YDL166C,YPL268W
428,YDL175C,YLR291C
429,YDL175C,YML064C
430,YDL175C,YPR120C
431,YDL179W,YPL031C
432,YDL181W,YML064C
433,YDL183C,YML130C
434,YDL188C,YJR128W
435,YDL188C,YKL012W
436,YDL188C,YLR392C
437,YDL188C,YMR028W
438,YDL188C,YPL152W
439,YDL200C,YLR048W
440,YDL208W,YLR175W
441,YDL214C,YER094C
442,YDL214C,YGL115W
443,YDL226C,YDL242W
444,YDL226C,YDR281C
445,YDL226C,YER038WA
446,YDL226C,YER044C
447,YDL226C,YGL161C
448,YDL226C,YGL209W
449,YDL226C,YGR235C
450,YDL226C,YHL043W
451,YDL226C,YML030W
452,YDL226C,YNL100W
453,YDL226C,YNR061C
454,YDL226C,YOR223W
455,YDL226C,YPL199C
456,YDL226C,YPL222W
457,YDL226C,YPR113W
458,YDL230W,YKL013C
459,YDL232W,YER083C
460,YDL233W,YDR388W
461,YDL233W,YGR142W
462,YDL242W,YGL119W
463,YDL242W,YJL036W
464,YDL242W,YLR315W
465,YDL242W,YNL193W
466,YDL242W,YOL069W
467,YDL242W,YPL065W
468,YDL243C,YMR102C
469,YDR004W,YDR076W
470,YDR006C,YGL215W
471,YDR013W,YJL072C
472,YDR013W,YOR115C
473,YDR013W,YPR175W
474,YDR014WA,YGR042W
475,YDR014WA,YGR048W
476,YDR016C,YJR135C
477,YDR020C,YNR012W
478,YDR022C,YLR423C
479,YDR044W,YDR077W
480,YDR044W,YIR018W
481,YDR045C,YIL152W
482,YDR045C,YJR128W
483,YDR059C,YER068W
484,YDR067C,YLR291C
485,YDR067C,YML064C
486,YDR067C,YNL189W
487,YDR067C,YOR185C
488,YDR067C,YPL070W
489,YDR071C,YER089C
490,YDR071C,YGR205W
491,YDR075W,YKL192C
492,YDR075W,YPR040W
493,YDR076W,YIL132C
494,YDR076W,YLR078C
495,YDR078C,YHL006C
496,YDR078C,YML051W
497,YDR079CA,YLR292C
498,YDR079CA,YLR433C
499,YDR079CA,YPL122C
500,YDR079CA,YPL188W
501,YDR084C,YGL198W
502,YDR088C,YDR416W
503,YDR088C,YGR074W
504,YDR101C,YJL122W
505,YDR106W,YHR129C
506,YDR121W,YJL065C
507,YDR130C,YER094C
508,YDR130C,YJR011C
509,YDR130C,YJR050W
510,YDR130C,YOR185C
511,YDR130C,YOR368W
512,YDR132C,YFL009W
513,YDR132C,YHR170W
514,YDR137W,YLR327C
515,YDR140W,YNR046W
516,YDR142C,YEL009CA
517,YDR142C,YGR067C
518,YDR142C,YGR168C
519,YDR142C,YGR235C
520,YDR142C,YGR239C
521,YDR142C,YIL160C
522,YDR142C,YML030W
523,YDR142C,YMR267W
524,YDR142C,YNL100W
525,YDR142C,YNL214W
526,YDR142C,YNL334C
527,YDR148C,YGR048W
528,YDR152W,YGR173W
529,YDR160W,YJL057C
530,YDR160W,YNL234W
531,YDR160W,YPL096CA
532,YDR161W,YPL068C
533,YDR165W,YGR146C
534,YDR173C,YMR042W
535,YDR175C,YDR280W
536,YDR175C,YER094C
537,YDR175C,YGL115W
538,YDR175C,YGR215W
539,YDR175C,YJR046W
540,YDR175C,YKR027W
541,YDR175C,YLR048W
542,YDR175C,YMR130W
543,YDR179C,YMR025W
544,YDR181C,YOR213C
545,YDR184C,YDR439W
546,YDR184C,YML051W
547,YDR188W,YMR211W
548,YDR189W,YOR075W
549,YDR192C,YGR161WC
550,YDR194C,YKL075C
551,YDR197W,YOR368W
552,YDR200C,YMR052W
553,YDR201W,YIR017C
554,YDR201W,YKL138CA
555,YDR201W,YKR037C
556,YDR201W,YLR313C
557,YDR201W,YNL086W
