geneA,geneB
YGL058W,YPL248C
YGL058W,YDL074C
YPL248C,YGL048C
YOR259C,YPL248C
YPL248C,YGR252W
YPL248C,YDR167W
YPL248C,YGL112C
YPL248C,YDR145W
YPL248C,YBR198C
YPL248C,YDR145W
YPL248C,YGL112C
YPL248C,YDR167W
YPL248C,YOL148C
YPL248C,YDR392W
YPL248C,YDL140C
YLR330W,YCL027W
YCL027W,YLL021W
YBL016W,YNL053W
YBL016W,YHR005C
YLR113W,YJR132W
YLR113W,YGR218W
YER148W,YDR392W
YER148W,YOL148C
YAR019C,YML064C
YGR092W,YDL220C
YGR092W,YGL116W
YGR092W,YMR001C
YGR092W,YML064C
YGR092W,YAR019C
YFR028C,YAL047C
YFR028C,YMR055C
YLR229C,YCR002C
YGR092W,YPL124W
YGR092W,YHR107C
YGR092W,YMR001C
YGR092W,YAR019C
YGR092W,YFR028C
YGR092W,YIL106W
YAR019C,YPL124W
YDR146C,YPR086W
YDR146C,YDL108W
YDR146C,YER022W
YDR146C,YGR104C
YDR146C,YBR253W
YBR160W,YDL140C
YBR160W,YPR086W
YBR160W,YDL108W
YDL140C,YER148W
YLL021W,YHR030C
YLL021W,YOR231W
YER148W,YPL082C
YCR086W,YDL014W
YDR439W,YDL014W
YCL014W,YHR107C
YKL048C,YJR076C
YGR113W,YGR140W
YNL188W,YAL047C
YNL188W,YOR257W
YDR216W,YDR477W
YJL194W,YLR274W
YJL194W,YBR202W
YPR019W,YBL023C
YPR019W,YEL032W
YPR019W,YGL201C
YPR019W,YBR202W
YJL194W,YBR202W
YJL194W,YBR202W
YIR008C,YNL312W
YIR008C,YNL102W
YAR007C,YFL009W
YAR007C,YDR052C
YAR007C,YLR274W
YDR254W,YGR140W
YDR254W,YPL018W
YLR381W,YDR254W
YLR381W,YPL018W
YBR107C,YDR254W
YBR107C,YPL018W
YDR254W,YGR140W
YDR254W,YKL049C
YDR254W,YBR107C
YLR274W,YJL194W
YPR007C,YMR001C
YPR007C,YGL116W
YER106W,YMR001C
YBR136W,YDR499W
YPL194W,YER173W
YDR448W,YOL148C
YOR290C,YDR146C
YOR290C,YAL029C
YDR448W,YDR146C
YDR448W,YAL029C
YDR448W,YOR290C
YNL023C,YNL135C
YLR442C,YDR227W
YMR190C,YPL153C
YDL042C,YDR440W
YLR442C,YDR440W
YHR164C,YLR442C
YKR101W,YNL216W
YKR101W,YDL042C
YKR101W,YLR442C
YDL042C,YLR442C
YLR442C,YDR227W
YCL029C,YML085C
YOR026W,YGR188C
YNL031C,YBR289W
YOR290C,YFR034C
YLR396C,YML001W
YGR080W,YFL039C
YJR042W,YKL057C
