orf_name_a	orf_name_b
YBL016W	YPL049C
YBR079C	YMR309C
YBR087W	YJR068W
YBR088C	YDR097C
YBR088C	YJR043C
YBR109C	YDR356W
YBR156C	YPL209C
YBR160W	YLR079W
YBR200W	YHL007C
YBR200W	YLR229C
YBR254C	YKR068C
YCR009C	YDR388W
YCR009C	YMR232W
YCR052W	YFR037C
YCR088W	YDR388W
YCR088W	YNL094W
YCR088W	YNL138W
YDL014W	YOR310C
YDL043C	YJL203W
YDL108W	YPR025C
YDL132W	YDR328C
YDL132W	YFL009W
YDL132W	YIL046W
YDL132W	YJR090C
YDL132W	YOL133W
YDL207W	YMR255W
YDL208W	YNL124W
YDL220C	YDR082W
YDR009W	YML051W
YDR016C	YGR113W
YDR097C	YOL090W
YDR103W	YGR040W
YDR142C	YGL153W
YDR142C	YHR160C
YDR189W	YLR026C
YDR228C	YGL044C
YDR228C	YMR061W
YDR246W	YKR068C
YDR309C	YLR229C
YDR328C	YFL009W
YDR328C	YJR090C
YDR328C	YMR094W
YDR369C	YMR224C
YDR378C	YER146W
YDR388W	YMR192W
YDR388W	YOR181W
YDR388W	YPL249C
YDR429C	YMR146C
YDR429C	YOR361C
YDR468C	YOL018C
YDR472W	YKR068C
YEL002C	YJL002C
YEL002C	YMR149W
YEL032W	YLR274W
YEL037C	YGL048C
YER018C	YIL144W
YER018C	YMR117C
YER110C	YLR293C
YER112W	YJR022W
YER146W	YJL124C
YER148W	YGR246C
YER148W	YKL058W
YER148W	YOR194C
YER165W	YGL049C
YER165W	YGR162W
YFL009W	YJL194W
YFL009W	YOL133W
YFR002W	YGR119C
YGL044C	YMR061W
YGL061C	YGR113W
YGL240W	YKL022C
YGR009C	YPL232W
YGR040W	YHR084W
YGR047C	YGR246C
YGR082W	YNL131W
YGR162W	YOL139C
YGR188C	YOR026W
YHL007C	YLR229C
YHR027C	YKL145W
YHR061C	YLR229C
YHR084W	YPL049C
YHR107C	YJR076C
YHR166C	YKL022C
YHR172W	YNL126W
YIL022W	YJR045C
YIL063C	YLR293C
YIL144W	YMR117C
YIL144W	YOL069W
YJL002C	YMR149W
YJL002C	YOR085W
YJR048W	YKR066C
YKL058W	YOR194C
YKL074C	YLR116W
YKL196C	YLR026C
YKR068C	YML077W
YKR068C	YOR115C
YLR197W	YOR310C
YLR212C	YNL126W
YLR288C	YOR368W
YLR293C	YLR347C
YLR347C	YOR098C
YMR117C	YOL069W
YMR146C	YOR361C
YMR203W	YNL131W
YMR314W	YOR362C
YNR017W	YPL063W
YOL001W	YPL031C
YOR151C	YOR210W
