orf_name_a	orf_name_b
YAL007C	YGR276C
YAL020C	YBR167C
YAL027W	YNR027W
YAL033W	YOR019W
YAL049C	YHR193C
YAL055W	YCL027W
YAL068C	YBR066C
YBL044W	YBR053C
YBL057C	YER120W
YBL071C-B	YNL022C
YBR035C	YDR197W
YBR053C	YDL224C
YBR087W	YER185W
YBR107C	YPL107W
YBR121C	YKR046C
YBR161W	YLR248W
YBR205W	YPR134W
YBR221C	YPR165W
YBR223C	YJR003C
YBR235W	YDL239C
YBR237W	YER138W-A
YBR245C	YHR022C-A
YBR245C	YOL112W
YBR297W	YEL068C
YCL042W	YKL035W
YCL052C	YDR020C
YCL057W	YHL039W
YCL059C	YOR128C
YCL064C	YDR188W
YCR007C	YMR115W
YCR044C	YOR213C
YCR086W	YDR122W
YDL017W	YHR037W
YDL067C	YHR162W
YDL121C	YFR025C
YDL183C	YJR010C-A
YDL217C	YMR181C
YDR034W-B	YGL067W
YDR034W-B	YMR294W
YDR100W	YDR540C
YDR128W	YMR061W
YDR179C	YHR154W
YDR214W	YGL003C
YDR281C	YGL160W
YDR314C	YML056C
YDR347W	YLL034C
YDR363W	YNL055C
YDR492W	YNL330C
YDR502C	YOR246C
YDR504C	YGR175C
YDR536W	YMR210W
YEL011W	YER123W
YER020W	YOR389W
YER024W	YML037C
YER052C	YGR271C-A
YER063W	YOR356W
YER112W	YLL028W
YER122C	YHR021W-A
YER156C	YLR233C
YER176W	YNL175C
YFL014W	YOR394C-A
YFL060C	YKL161C
YFR026C	YMR286W
YFR027W	YLR161W
YFR029W	YOR334W
YGL028C	YKL056C
YGL028C	YLR102C
YGL162W	YKL127W
YGL176C	YIL162W
YGL209W	YJL025W
YGL255W	YLR267W
YGR041W	YLR262C
YGR105W	YOL133W
YGR126W	YPL199C
YGR165W	YOR026W
YGR276C	YML122C
YHR026W	YOL151W
YHR084W	YHR208W
YHR094C	YIL064W
YHR098C	YMR120C
YHR110W	YNL140C
YHR111W	YMR143W
YHR134W	YLR225C
YHR162W	YIL150C
YHR180W	YJR083C
YHR184W	YOR394C-A
YIL006W	YML081C-A
YIL105C	YKL058W
YIL121W	YLR025W
YIR008C	YMR157C
YIR012W	YOR042W
YJL048C	YLR115W
YJL089W	YLR330W
YJL183W	YPR088C
YJL203W	YNR061C
YJR046W	YOL027C
YJR048W	YOL125W
YJR060W	YOL039W
YKL016C	YMR231W
YKL075C	YMR244W
YKL084W	YLR324W
YKL093W	YML021C
YKL104C	YOR044W
YKL120W	YMR126C
YKR010C	YOR358W
YKR044W	YMR029C
YKR045C	YLR050C
YLL014W	YOR223W
YLL056C	YMR115W
YLR125W	YNL078W
YLR154C	YMR268C
YLR166C	YMR071C
YLR326W	YOR241W
YMR149W	YPR002W
YMR165C	YNL162W-A
YMR294W	YOL015W
YMR305C	YNR027W
YNL125C	YNL255C
YOR348C	YPR134W
YLR207W	YOR251C
YER146W	YJR068W
YFR050C	YHR089C
YDR378C	YGR202C
YBR281C	YGR033C
YBR227C	YHR149C
YEL037C	YHR008C
YGL022W	YLR093C
YKR049C	YOR163W
YBR179C	YDL090C
YMR177W	YPR117W
YGL242C	YOR187W
YKL120W	YOL065C
YDR314C	YFL050C
YBR182C-A	YFL029C
YBR260C	YKL094W
YDR152W	YML122C
YGR268C	YNL173C
YBR272C	YCR007C
YFL034W	YLR201C
YER130C	YPL189C-A
YDL188C	YOR167C
YGL150C	YOR377W
YHR078W	YJR105W
YDR185C	YMR024W
YNL332W	YNR016C
YKR044W	YOL047C
YLR380W	YOR304C-A
YLR394W	YML080W
YML022W	YML111W
YBL039W-B	YHR019C
YML002W	YMR058W
YKL053C-A	YOL154W
YDR443C	YNL092W
YFR015C	YMR275C
YDR314C	YHL010C
YBL029C-A	YOR123C
YFL010W-A	YNL038W
YMR174C	YPL280W
YIL121W	YML034W
YDR458C	YPR060C
YDR034W-B	YPR115W
YJR010W	YLR156C-A
YGL221C	YHR208W
YIR021W-A	YJL049W
YGL149W	YLR433C
YGL079W	YLR435W
YHL027W	YMR085W
YEL019C	YPR128C
YHR181W	YPL032C
YBR154C	YBR296C-A
YDL063C	YPR005C
YBR244W	YGR021W
YDL170W	YLR080W
YCR053W	YGR289C
YFL013C	YKL125W
YGL179C	YPL040C
YLR207W	YPR080W
YNL075W	YOR166C
YDR171W	YNL312W
YGR017W	YJL088W
YDR026C	YOR178C
YFL036W	YLR301W
YDL113C	YLR341W
YHR072W-A	YPL067C
YMR201C	YOR064C
YDR297W	YPR134W
YDR231C	YIR021W
YML130C	YPL189C-A
YDR385W	YER040W
YDR067C	YOR237W
YDR407C	YGR148C
YDR051C	YIL005W
YDR046C	YER087W
YHR005C-A	YNL241C
YJL035C	YPL054W
YPR011C	YPR052C
YDL088C	YKR042W
YJL082W	YMR189W
