pair	orf_name_a	orf_name_b	GAVIN_2002	GAVIN_2006	KROGAN
Q0050_YPR140W	Q0050	YPR140W	False	False	True
Q0110_YGR037C	Q0110	YGR037C	False	False	True
Q0250_YIL051C	Q0250	YIL051C	False	False	True
YAL001C_YBR123C	YAL001C	YBR123C	True	True	True
YAL001C_YDL074C	YAL001C	YDL074C	False	False	True
YAL001C_YDL078C	YAL001C	YDL078C	False	False	True
YAL001C_YDL097C	YAL001C	YDL097C	False	False	True
YAL001C_YDL147W	YAL001C	YDL147W	False	False	True
YAL001C_YDR362C	YAL001C	YDR362C	False	False	True
YAL001C_YDR381W	YAL001C	YDR381W	False	False	True
YAL001C_YDR449C	YAL001C	YDR449C	False	False	True
YAL001C_YDR523C	YAL001C	YDR523C	False	False	True
YAL001C_YFR052W	YAL001C	YFR052W	False	False	True
YAL001C_YGR047C	YAL001C	YGR047C	False	False	True
YAL001C_YMR093W	YAL001C	YMR093W	False	False	True
YAL001C_YOR110W	YAL001C	YOR110W	False	True	True
YAL001C_YPL007C	YAL001C	YPL007C	False	True	False
YAL002W_YLR148W	YAL002W	YLR148W	True	True	False
YAL002W_YLR396C	YAL002W	YLR396C	True	True	False
YAL002W_YMR231W	YAL002W	YMR231W	True	True	False
YAL002W_YPL045W	YAL002W	YPL045W	True	True	False
YAL003W_YBR118W	YAL003W	YBR118W	True	False	False
YAL003W_YKL081W	YAL003W	YKL081W	True	True	False
YAL003W_YPL048W	YAL003W	YPL048W	False	True	False
YAL003W_YPR080W	YAL003W	YPR080W	False	True	False
YAL005C_YCR009C	YAL005C	YCR009C	False	True	False
YAL005C_YDR388W	YAL005C	YDR388W	False	True	False
YAL005C_YJL006C	YAL005C	YJL006C	False	True	False
YAL005C_YKL139W	YAL005C	YKL139W	False	True	False
YAL005C_YNR050C	YAL005C	YNR050C	False	True	False
YAL005C_YOR151C	YAL005C	YOR151C	True	False	False
YAL005C_YOR164C	YAL005C	YOR164C	False	True	False
YAL005C_YPR010C	YAL005C	YPR010C	True	False	False
YAL007C_YAR002C-A	YAL007C	YAR002C-A	True	True	True
YAL007C_YBL003C	YAL007C	YBL003C	False	False	True
YAL007C_YBR009C	YAL007C	YBR009C	False	False	True
YAL007C_YDR086C	YAL007C	YDR086C	False	False	True
YAL007C_YDR087C	YAL007C	YDR087C	True	True	False
YAL007C_YDR101C	YAL007C	YDR101C	True	False	False
YAL007C_YDR127W	YAL007C	YDR127W	True	False	False
YAL007C_YDR174W	YAL007C	YDR174W	False	False	True
YAL007C_YDR381W	YAL007C	YDR381W	False	False	True
YAL007C_YER110C	YAL007C	YER110C	True	False	False
YAL007C_YGL008C	YAL007C	YGL008C	False	False	True
YAL007C_YGL055W	YAL007C	YGL055W	False	False	True
YAL007C_YGL200C	YAL007C	YGL200C	True	True	True
YAL007C_YGR085C	YAL007C	YGR085C	False	True	False
YAL007C_YGR231C	YAL007C	YGR231C	False	False	True
YAL007C_YJL034W	YAL007C	YJL034W	False	False	True
YAL007C_YLR075W	YAL007C	YLR075W	False	False	True
YAL007C_YLR150W	YAL007C	YLR150W	False	False	True
YAL007C_YLR342W	YAL007C	YLR342W	True	False	True
YAL007C_YML012W	YAL007C	YML012W	True	True	True
YAL007C_YMR214W	YAL007C	YMR214W	False	False	True
YAL007C_YMR290C	YAL007C	YMR290C	True	False	False
YAL007C_YNL055C	YAL007C	YNL055C	False	False	True
YAL007C_YPL211W	YAL007C	YPL211W	True	False	False
YAL008W_YJL033W	YAL008W	YJL033W	False	False	True
YAL009W_YDL040C	YAL009W	YDL040C	True	False	False
YAL009W_YDR211W	YAL009W	YDR211W	True	False	False
YAL009W_YHR004C	YAL009W	YHR004C	True	False	False
YAL009W_YJL176C	YAL009W	YJL176C	True	False	False
YAL009W_YLR342W	YAL009W	YLR342W	True	False	False
YAL010C_YJL066C	YAL010C	YJL066C	True	False	False
YAL010C_YMR203W	YAL010C	YMR203W	True	False	False
YAL010C_YPL235W	YAL010C	YPL235W	True	False	False
YAL011W_YBL003C	YAL011W	YBL003C	False	False	True
YAL011W_YBR231C	YAL011W	YBR231C	False	False	True
YAL011W_YDR190C	YAL011W	YDR190C	False	False	True
YAL011W_YDR334W	YAL011W	YDR334W	False	False	True
YAL011W_YDR485C	YAL011W	YDR485C	False	False	True
YAL011W_YGR086C	YAL011W	YGR086C	False	False	True
YAL011W_YJL081C	YAL011W	YJL081C	False	False	True
YAL011W_YLR085C	YAL011W	YLR085C	False	False	True
YAL011W_YLR385C	YAL011W	YLR385C	False	False	True
YAL011W_YML041C	YAL011W	YML041C	False	False	True
YAL011W_YPL235W	YAL011W	YPL235W	False	False	True
YAL012W_YKL210W	YAL012W	YKL210W	False	False	True
YAL012W_YMR300C	YAL012W	YMR300C	True	False	False
YAL012W_YOL013C	YAL012W	YOL013C	False	False	True
YAL013W_YBR095C	YAL013W	YBR095C	False	False	True
YAL013W_YIL084C	YAL013W	YIL084C	False	True	False
YAL013W_YMR263W	YAL013W	YMR263W	False	True	True
YAL013W_YNL330C	YAL013W	YNL330C	True	True	False
YAL013W_YPL139C	YAL013W	YPL139C	False	True	True
YAL013W_YPL181W	YAL013W	YPL181W	False	False	True
YAL016W_YAL024C	YAL016W	YAL024C	True	True	False
YAL016W_YBR079C	YAL016W	YBR079C	False	False	True
YAL016W_YDL134C	YAL016W	YDL134C	True	True	True
YAL016W_YDL188C	YAL016W	YDL188C	True	True	True
YAL016W_YGL190C	YAL016W	YGL190C	True	True	True
YAL016W_YGR161C	YAL016W	YGR161C	True	True	True
YAL016W_YGR281W	YAL016W	YGR281W	True	True	False
YAL016W_YHR158C	YAL016W	YHR158C	True	True	False
YAL016W_YIL069C	YAL016W	YIL069C	False	True	False
YAL016W_YML024W	YAL016W	YML024W	False	True	False
YAL016W_YML063W	YAL016W	YML063W	False	True	False
YAL016W_YML109W	YAL016W	YML109W	True	True	True
YAL016W_YMR273C	YAL016W	YMR273C	True	True	True
YAL016W_YNL209W	YAL016W	YNL209W	False	False	True
YAL016W_YOR014W	YAL016W	YOR014W	True	True	True
YAL016W_YOR162C	YAL016W	YOR162C	False	False	True
YAL016W_YPL090C	YAL016W	YPL090C	False	True	False
YAL016W_YPL152W	YAL016W	YPL152W	True	False	True
YAL017W_YCR020W-B	YAL017W	YCR020W-B	False	False	True
YAL017W_YDL100C	YAL017W	YDL100C	False	False	True
YAL017W_YDR099W	YAL017W	YDR099W	True	True	False
YAL017W_YGL112C	YAL017W	YGL112C	True	True	False
YAL017W_YLR150W	YAL017W	YLR150W	False	False	True
YAL017W_YNL247W	YAL017W	YNL247W	False	False	True
YAL017W_YOR196C	YAL017W	YOR196C	False	False	True
YAL017W_YPR034W	YAL017W	YPR034W	False	False	True
YAL019W_YAL026C	YAL019W	YAL026C	False	False	True
YAL019W_YBL088C	YAL019W	YBL088C	True	False	False
YAL019W_YBR084W	YAL019W	YBR084W	True	False	False
YAL019W_YDL097C	YAL019W	YDL097C	False	False	True
YAL019W_YDL147W	YAL019W	YDL147W	False	False	True
YAL019W_YFR052W	YAL019W	YFR052W	False	False	True
YAL019W_YIL035C	YAL019W	YIL035C	False	False	True
YAL019W_YJR119C	YAL019W	YJR119C	False	False	True
YAL019W_YLR027C	YAL019W	YLR027C	False	False	True
YAL020C_YBL071W-A	YAL020C	YBL071W-A	False	False	True
YAL021C_YCR093W	YAL021C	YCR093W	True	True	True
YAL021C_YDL149W	YAL021C	YDL149W	False	True	False
YAL021C_YDR188W	YAL021C	YDR188W	True	False	False
YAL021C_YDR252W	YAL021C	YDR252W	False	False	True
YAL021C_YER068W	YAL021C	YER068W	True	False	False
YAL021C_YGL195W	YAL021C	YGL195W	True	False	False
YAL021C_YGR134W	YAL021C	YGR134W	True	True	True
YAL021C_YNL288W	YAL021C	YNL288W	True	True	True
YAL021C_YNR052C	YAL021C	YNR052C	True	True	True
YAL023C_YBR159W	YAL023C	YBR159W	False	False	True
YAL023C_YCR043C	YAL023C	YCR043C	False	False	True
