A,B
Q0050,YPR140W
Q0110,YGR037C
Q0250,YIL051C
YAL001C,YBR123C
YAL001C,YDL074C
YAL001C,YDL078C
YAL001C,YDL097C
YAL001C,YDL147W
YAL001C,YDR362C
YAL001C,YDR381W
YAL001C,YDR449C
YAL001C,YDR523C
YAL001C,YFR052W
YAL001C,YGR047C
YAL001C,YMR093W
YAL001C,YOR110W
YAL001C,YPL007C
YAL002W,YLR148W
YAL002W,YLR396C
YAL002W,YMR231W
YAL002W,YPL045W
YAL003W,YBR118W
YAL003W,YKL081W
YAL003W,YPL048W
YAL003W,YPR080W
YAL005C,YCR009C
YAL005C,YDR388W
YAL005C,YJL006C
YAL005C,YKL139W
YAL005C,YNR050C
YAL005C,YOR151C
YAL005C,YOR164C
YAL005C,YPR010C
YAL007C,YAR002CA
YAL007C,YBL003C
YAL007C,YBR009C
YAL007C,YDR086C
YAL007C,YDR087C
YAL007C,YDR101C
YAL007C,YDR127W
YAL007C,YDR174W
YAL007C,YDR381W
YAL007C,YER110C
YAL007C,YGL008C
YAL007C,YGL055W
YAL007C,YGL200C
YAL007C,YGR085C
YAL007C,YGR231C
YAL007C,YJL034W
YAL007C,YLR075W
YAL007C,YLR150W
YAL007C,YLR342W
YAL007C,YML012W
YAL007C,YMR214W
YAL007C,YMR290C
YAL007C,YNL055C
YAL007C,YPL211W
YAL008W,YJL033W
YAL009W,YDL040C
YAL009W,YDR211W
YAL009W,YHR004C
YAL009W,YJL176C
YAL009W,YLR342W
YAL010C,YJL066C
YAL010C,YMR203W
YAL010C,YPL235W
YAL011W,YBL003C
YAL011W,YBR231C
YAL011W,YDR190C
YAL011W,YDR334W
YAL011W,YDR485C
YAL011W,YGR086C
YAL011W,YJL081C
YAL011W,YLR085C
YAL011W,YLR385C
YAL011W,YML041C
YAL011W,YPL235W
YAL012W,YKL210W
YAL012W,YMR300C
YAL012W,YOL013C
YAL013W,YBR095C
YAL013W,YIL084C
YAL013W,YMR263W
YAL013W,YNL330C
YAL013W,YPL139C
YAL013W,YPL181W
YAL016W,YAL024C
YAL016W,YBR079C
YAL016W,YDL134C
YAL016W,YDL188C
YAL016W,YGL190C
YAL016W,YGR161C
YAL016W,YGR281W
YAL016W,YHR158C
YAL016W,YIL069C
YAL016W,YML024W
YAL016W,YML063W
YAL016W,YML109W
YAL016W,YMR273C
YAL016W,YNL209W
YAL016W,YOR014W
YAL016W,YOR162C
