pair	gene name1	gene name2	Uniprot1	Uniprot2	PPI Score	ourID	Phys_BioGRID	Gen_BioGRID	string	ExpCont	PDB_complex	UniFun1	UniFun2	KEGG1	KEGG2	Uniloc1	Uniloc2	Phob1	Phob2	KEGGpath1	KEGGpath2	UniPubsInt	UniPubsU	Human	pdbmono1	pdbmono2	orf_name1	orf_name2	orf_name_a	orf_name_b
YAL055W_YGR133W	PEX4	PEX22	P29340	P39718	1.0	1412570at2759_1612724at2759	1.867	na	995	y2h	ortholog	Ubiquitin-conjugating enzyme E2-21 kDa (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme PEX4) (Peroxin-4) (Ubiquitin carrier protein) (Ubiquitin-protein ligase)	Peroxisome assembly protein 22 (Peroxin-22)	YGR133W	na	Peroxisome.	Peroxisome membrane {ECO:0000250}; Single-pass membrane protein {ECO:0000250}.	-	Transmembrane	genetic	na	17322287, 24374639	8	1	2y9m_A	4bwf_B	YGR133W	YAL055W	YAL055W	YGR133W
Q0045_Q0275	COX3	COX1	P00420	P00401	1.0	1304563at2759_728231at2759	na	na	999	na	ortholog	Cytochrome c oxidase subunit 3 (EC 7.1.1.9) (Cytochrome c oxidase polypeptide III)	Cytochrome c oxidase subunit 1 (EC 7.1.1.9) (Cytochrome c oxidase polypeptide I)	Q0275	Q0045	Mitochondrion inner membrane {ECO:0000269|PubMed:30598554}; Multi-pass membrane protein {ECO:0000269|PubMed:30598554}.	Mitochondrion inner membrane {ECO:0000269|PubMed:30598554}; Multi-pass membrane protein {ECO:0000269|PubMed:30598554}.	Transmembrane	Transmembrane	genetic,metabolism	genetic,metabolism	9872396, 7851399, 10775262, 10764779, 1331058, 30598554, 30598556, 24374639	12	both	6t15_c	6t15_a	Q0275	Q0045	Q0045	Q0275
YEL053C_YPR051W	MAK3	MAK10	Q03503	Q02197	1.0	1323575at2759_1370304at2759	0.004	na	999	y2h	ortholog	N-alpha-acetyltransferase 30 (EC 2.3.1.256) (L-A virus GAG protein N-acetyltransferase subunit MAK3) (Maintenance of killer protein 3) (N-terminal acetyltransferase C complex catalytic subunit MAK3) (NatC complex subunit MAK3) (NatC catalytic subunit)	N-alpha-acetyltransferase 35, NatC auxiliary subunit (Glucose repressible protein MAK10) (L-A virus GAG protein N-acetyltransferase subunit MAK10) (Maintenance of killer protein 10) (N-terminal acetyltransferase C complex subunit MAK10) (NatC complex subunit MAK10)	YPR051W	YEL053C	Cytoplasm {ECO:0000269|PubMed:14562095}. Nucleus {ECO:0000269|PubMed:14562095}.	Cytoplasm {ECO:0000269|PubMed:14562095}.	-	-	genetic	genetic	11274203, 14562095, 24374639, 14562106	11	both	6ygd_A	6ygd_B	YPR051W	YEL053C	YEL053C	YPR051W
YER050C_YKL003C	MRP17	RSM18	P28778	P40033	1.0	1473530at2759_1592020at2759	na	na	997	na	ortholog	37S ribosomal protein MRP17, mitochondrial (Mitochondrial small ribosomal subunit protein bS6m) (YmS16)	37S ribosomal protein RSM18, mitochondrial (Mitochondrial small ribosomal subunit protein bS18m)	YKL003C	YER050C	Mitochondrion {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:14576278}. Note=Mitoribosomes are tethered to the mitochondrial inner membrane and spatially aligned with the membrane insertion machinery through two distinct membrane contact sites, formed by the 21S rRNA expansion segment 96-ES1 and the inner membrane protein MBA1. {ECO:0000269|PubMed:25609543}.	Mitochondrion {ECO:0000269|PubMed:14576278}. Note=Mitoribosomes are tethered to the mitochondrial inner membrane and spatially aligned with the membrane insertion machinery through two distinct membrane contact sites, formed by the 21S rRNA expansion segment 96-ES1 and the inner membrane protein MBA1. {ECO:0000269|PubMed:25609543}.	-	-	genetic	genetic	25609543, 28154081, 14576278, 24374639	15	2	5mrf_FF	5mrf_RR	YKL003C	YER050C	YER050C	YKL003C
YGR165W_YNL137C	NAM9	MRPS35	P27929	P53292	1.0	1507367at2759_820604at2759	0	na	993	apms	ortholog	37S ribosomal protein NAM9, mitochondrial (Mitochondrial small ribosomal subunit protein uS4m) (Nuclear accommodation of mitochondria protein 9)	37S ribosomal protein S35, mitochondrial (Mitochondrial small ribosomal subunit protein mS45)	na	na	Mitochondrion {ECO:0000269|PubMed:10529174, ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:14576278}. Note=Mitoribosomes are tethered to the mitochondrial inner membrane and spatially aligned with the membrane insertion machinery through two distinct membrane contact sites, formed by the 21S rRNA expansion segment 96-ES1 and the inner membrane protein MBA1. {ECO:0000269|PubMed:25609543}.	Mitochondrion {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:16823961}. Note=Mitoribosomes are tethered to the mitochondrial inner membrane and spatially aligned with the membrane insertion machinery through two distinct membrane contact sites, formed by the 21S rRNA expansion segment 96-ES1 and the inner membrane protein MBA1. {ECO:0000269|PubMed:25609543}.	-	-	na	na	14562106, 28154081, 12392552, 25609543, 14562095, 24374639	17	na	5mrf_DD	5mrf_66	YNL137C	YGR165W	YGR165W	YNL137C
YGR143W_YMR200W	ROT1	SKN1	A6ZMR2	P33336	1.0	1494547at2759_215491at2759	na	na	315	na	na	Protein ROT1 (Reversal of TOR2 lethality protein 1)	Beta-glucan synthesis-associated protein SKN1	na	na	Endoplasmic reticulum membrane {ECO:0000250}; Single-pass type I membrane protein {ECO:0000250}.	Membrane; Single-pass type II membrane protein.	Transmembrane	Transmembrane	na	na	na	10	na	na	na	YMR200W	YGR143W	YGR143W	YMR200W
Q0105_YOR065W	COB	CYT1	P00163	P07143	1.0	1125966at2759_923710at2759	na	na	999	gold	ortholog	Cytochrome b (EC 7.1.1.8) (Complex III subunit 3) (Complex III subunit CYTB) (Complex III subunit III) (Cytochrome b-c1 complex subunit 3) (Cytochrome b-c1 complex subunit CYTB) (Ubiquinol-cytochrome c oxidoreductase complex cytochrome b subunit)	Cytochrome c1, heme protein, mitochondrial (EC 7.1.1.8) (Complex III subunit 4) (Complex III subunit IV) (Cytochrome b-c1 complex subunit 4) (Ubiquinol-cytochrome c oxidoreductase cytochrome c1 subunit) (Cytochrome c-1)	Q0105	YOR065W	Mitochondrion inner membrane {ECO:0000269|PubMed:18390544, ECO:0000269|PubMed:30598554, ECO:0000269|PubMed:8031140}; Multi-pass membrane protein {ECO:0000269|PubMed:10873857, ECO:0000269|PubMed:11880631, ECO:0000269|PubMed:18390544, ECO:0000269|PubMed:30598554, ECO:0000269|PubMed:8031140}.	Mitochondrion inner membrane {ECO:0000269|PubMed:18390544, ECO:0000269|PubMed:30598554}; Single-pass membrane protein {ECO:0000269|PubMed:18390544, ECO:0000269|PubMed:30598554}.	Transmembrane	Transmembrane	genetic,metabolism	metabolism	18390544, 11880631, 10873857, 10775262, 10764779, 30598554, 30598556, 24374639	22	both	6ymx_N	6giq_O	Q0105	YOR065W	Q0105	YOR065W
YAL033W_YHR062C	RPP1	POP5	P38786	P28005	1.0	1197518at2759_1492689at2759	0.28	na	999	apms	ortholog	Ribonuclease P/MRP protein subunit RPP1 (EC 3.1.26.5) (RNA-processing protein RPP1) (RNaseP/MRP 32.2 kDa subunit)	Ribonuclease P/MRP protein subunit POP5 (EC 3.1.26.5) (RNA-processing protein POP5) (RNase P/MRP 19.6 kDa subunit)	YHR062C	YAL033W	Nucleus {ECO:0000269|PubMed:14562095}.	Cytoplasm {ECO:0000269|PubMed:14562095}. Nucleus {ECO:0000269|PubMed:14562095}.	-	-	genetic	genetic	14562106, 15637077, 14690591, 14562095, 9620854, 24374639	11	both	7c7a_J	7c7a_E	YHR062C	YAL033W	YAL033W	YHR062C
YDR322W_YDR462W	MRPL28	MRPL35	P36527	Q06678	1.0	1540771at2759_1557122at2759	0.065	na	972	apms	ortholog	54S ribosomal protein L28, mitochondrial (Mitochondrial large ribosomal subunit protein mL40) (YmL28)	54S ribosomal protein L35, mitochondrial (Mitochondrial large ribosomal subunit protein mL38) (YmL35)	YDR462W	YDR322W	Mitochondrion {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:14576278}. Note=Mitoribosomes are tethered to the mitochondrial inner membrane and spatially aligned with the membrane insertion machinery through two distinct membrane contact sites, formed by the 21S rRNA expansion segment 96-ES1 and the inner membrane protein MBA1. {ECO:0000269|PubMed:25609543}.	Mitochondrion {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:14576278}. Note=Mitoribosomes are tethered to the mitochondrial inner membrane and spatially aligned with the membrane insertion machinery through two distinct membrane contact sites, formed by the 21S rRNA expansion segment 96-ES1 and the inner membrane protein MBA1. {ECO:0000269|PubMed:25609543}.	-	-	genetic	genetic	24675956, 14562106, 25609543, 14576278, 9169867, 14562095, 24374639	13	2	3j6b_2	3j6b_1	YDR462W	YDR322W	YDR322W	YDR462W
YCR046C_YKL170W	IMG1	MRPL38	P25626	P35996	1.0	1387536at2759_1547267at2759	na	na	972	na	ortholog	54S ribosomal protein IMG1, mitochondrial (Integrity of mitochondrial genome protein 1) (Mitochondrial large ribosomal subunit protein bL19m) (PetCR46)	54S ribosomal protein L38, mitochondrial (Mitochondrial large ribosomal subunit protein uL14m) (YmL38) [Cleaved into: 54S ribosomal protein L34, mitochondrial (YmL34)]	YCR046C	na	Mitochondrion {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:14576278}. Note=Mitoribosomes are tethered to the mitochondrial inner membrane and spatially aligned with the membrane insertion machinery through two distinct membrane contact sites, formed by the 21S rRNA expansion segment 96-ES1 and the inner membrane protein MBA1. {ECO:0000269|PubMed:25609543}.	Mitochondrion {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:16823961}. Note=Mitoribosomes are tethered to the mitochondrial inner membrane and spatially aligned with the membrane insertion machinery through two distinct membrane contact sites, formed by the 21S rRNA expansion segment 96-ES1 and the inner membrane protein MBA1. {ECO:0000269|PubMed:25609543}.	-	-	genetic	na	17322287, 24675956, 14562106, 12392552, 25609543, 14562095, 24374639	15	both	3j6b_M	5mrf_I	YCR046C	YKL170W	YCR046C	YKL170W
