pair	RANK_MAJOR	RANK_MINOR	TYPE	PDB_ID	BIO_UNIT	CHAIN1	MODEL1	SEQ_IDENT1	COVERAGE1	SEQ_BEGIN1	SEQ_END1	DOMAIN1	CHAIN2	MODEL2	SEQ_IDENT2	COVERAGE2	SEQ_BEGIN2	SEQ_END2	DOMAIN2	FILENAME	orf_name_1	gene_name_1	uniprot_ac_1	orf_name_2	gene_name_2	uniprot_ac_2	orf_name_a	orf_name_b
YPL228W_YPL228W	1	0	Structure	1d8h	2	C	0	95.7	54.5	241	539	-	C	1	95.7	54.5	241	539	-	O13297-O13297-EXP-1d8h.pdb2-C-0-C-1.pdb	YPL228W	CET1	O13297	YPL228W	CET1	O13297	YPL228W	YPL228W
YGL130W_YPL228W	1	0	Structure	3kyh	1	B	0	93.6	53.7	245	539	-	D	0	95.6	88.2	11	415	-	O13297-Q01159-EXP-3kyh.pdb1-B-0-D-0.pdb	YPL228W	CET1	O13297	YGL130W	CEG1	Q01159	YGL130W	YPL228W
YJL190C_YPL081W	1	0	Structure	6eml	1	W	0	100.0	93.9	2	186	-	b	0	100.0	99.2	2	130	-	O13516-P0C0W1-EXP-6eml.pdb1-W-0-b-0.pdb	YPL081W	RPS9A	O13516	YJL190C	RPS22A	P0C0W1	YJL190C	YPL081W
YDR064W_YJL190C	1	0	Structure	6fai	1	N	0	100.0	99.3	2	151	-	W	0	100.0	99.2	2	130	-	P05756-P0C0W1-EXP-6fai.pdb1-N-0-W-0.pdb	YDR064W	RPS13	P05756	YJL190C	RPS22A	P0C0W1	YDR064W	YJL190C
YJL190C_YKR057W	1	0	Structure	6fai	1	V	0	100.0	100.0	1	87	-	W	0	100.0	99.2	2	130	-	P0C0V8-P0C0W1-EXP-6fai.pdb1-V-0-W-0.pdb	YKR057W	RPS21A	P0C0V8	YJL190C	RPS22A	P0C0W1	YJL190C	YKR057W
YER074W_YPL081W	1	0	Structure	6fai	1	J	0	100.0	93.9	2	186	-	Y	0	100.0	99.3	2	135	-	O13516-P0CX31-EXP-6fai.pdb1-J-0-Y-0.pdb	YPL081W	RPS9A	O13516	YER074W	RPS24A	P0CX31	YER074W	YPL081W
YLR287C-A_YPL081W	1	0	Structure	6fai	1	J	0	100.0	93.9	2	186	-	e	0	78.7	96.8	1	61	-	O13516-P0CX33-EXP-6fai.pdb1-J-0-e-0.pdb	YPL081W	RPS9A	O13516	YLR287C-A	RPS30A	P0CX33	YLR287C-A	YPL081W
YGR118W_YLR287C-A	1	0	Structure	6rbe	1	X	0	100.0	99.3	2	145	-	e	0	100.0	95.2	2	61	-	P0CX29-P0CX33-EXP-6rbe.pdb1-X-0-e-0.pdb	YGR118W	RPS23A	P0CX29	YLR287C-A	RPS30A	P0CX33	YGR118W	YLR287C-A
YJR145C_YPL081W	1	0	Structure	6fai	1	J	0	100.0	93.9	2	186	-	E	0	100.0	99.6	2	261	-	O13516-P0CX35-EXP-6fai.pdb1-J-0-E-0.pdb	YPL081W	RPS9A	O13516	YJR145C	RPS4A	P0CX35	YJR145C	YPL081W
YER074W_YJR145C	1	0	Structure	6fai	1	Y	0	100.0	99.3	2	135	-	E	0	100.0	99.6	2	261	-	P0CX31-P0CX35-EXP-6fai.pdb1-Y-0-E-0.pdb	YER074W	RPS24A	P0CX31	YJR145C	RPS4A	P0CX35	YER074W	YJR145C
YGL123W_YPL081W	1	0	Structure	6fai	1	J	0	100.0	93.9	2	186	-	C	0	100.0	85.4	34	250	-	O13516-P25443-EXP-6fai.pdb1-J-0-C-0.pdb	YPL081W	RPS9A	O13516	YGL123W	RPS2	P25443	YGL123W	YPL081W
YGL123W_YKR057W	1	0	Structure	6fai	1	V	0	100.0	100.0	1	87	-	C	0	100.0	85.4	34	250	-	P0C0V8-P25443-EXP-6fai.pdb1-V-0-C-0.pdb	YKR057W	RPS21A	P0C0V8	YGL123W	RPS2	P25443	YGL123W	YKR057W
YGL123W_YJL190C	1	0	Structure	6fai	1	W	0	100.0	99.2	2	130	-	C	0	100.0	85.4	34	250	-	P0C0W1-P25443-EXP-6fai.pdb1-W-0-C-0.pdb	YJL190C	RPS22A	P0C0W1	YGL123W	RPS2	P25443	YGL123W	YJL190C
YIL075C_YLR421C	1	0	Structure	4cr4	1	X	0	100.0	81.4	7	133	-	N	0	94.9	88.1	4	836	-	O13563-P32565-EXP-4cr4.pdb1-X-0-N-0.pdb	YLR421C	RPN13	O13563	YIL075C	RPN2	P32565	YIL075C	YLR421C
YFR052W_YIL075C	1	0	Structure	5mpd	1	T	0	100.0	97.1	7	272	-	N	0	96.5	97.6	4	925	-	P32496-P32565-EXP-5mpd.pdb1-T-0-N-0.pdb	YFR052W	RPN12	P32496	YIL075C	RPN2	P32565	YFR052W	YIL075C
YLR029C_YPL249C-A	1	0	Structure	6em3	1	i	0	100.0	74.0	27	100	-	N	0	87.2	99.5	2	204	-	O14455-P05748-EXP-6em3.pdb1-i-0-N-0.pdb	YPL249C-A	RPL36B	O14455	YLR029C	RPL15A	P05748	YLR029C	YPL249C-A
YLR029C_YMR194W	1	0	Structure	6em3	1	i	0	100.0	74.0	27	100	-	N	0	87.2	99.5	2	204	-	P05745-P05748-EXP-6em3.pdb1-i-0-N-0.pdb	YMR194W	RPL36A	P05745	YLR029C	RPL15A	P05748	YLR029C	YMR194W
YKL053C-A_YKL053C-A	1	0	Structure	5jqm	1	C	0	100.0	83.7	4	75	-	A	0	94.4	83.7	4	75	-	O60200-O60200-EXP-5jqm.pdb1-C-0-A-0.pdb	YKL053C-A	MDM35	O60200	YKL053C-A	MDM35	O60200	YKL053C-A	YKL053C-A
YKL053C-A_YLR193C	1	0	Structure	4ytw	1	A	0	100.0	87.2	3	77	-	B	0	100.0	96.0	1	168	-	O60200-Q05776-EXP-4ytw.pdb1-A-0-B-0.pdb	YKL053C-A	MDM35	O60200	YLR193C	UPS1	Q05776	YKL053C-A	YLR193C
YLR193C_YLR193C	1	0	Structure	4ytw	1	D	0	100.0	96.6	1	169	-	B	0	100.0	96.0	1	168	-	Q05776-Q05776-EXP-4ytw.pdb1-D-0-B-0.pdb	YLR193C	UPS1	Q05776	YLR193C	UPS1	Q05776	YLR193C	YLR193C
YEL020W-A_YHR005C-A	1	0	Structure	3dxr	2	A	1	100.0	79.3	12	80	-	B	5	100.0	74.2	15	83	-	O74700-P87108-EXP-3dxr.pdb2-A-1-B-5.pdb	YEL020W-A	TIM9	O74700	YHR005C-A	TIM10	P87108	YEL020W-A	YHR005C-A
